,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,0,0,0,0,0,0,0,758,Estavel,30,1988
1,4,0,59,6,29,0,0,94,758,Estavel,30,1988
2,12,0,0,0,2,0,0,2,758,Estavel,30,1988
3,21,0,21,1,45,0,0,67,758,Estavel,30,1988
4,22,0,0,0,0,1,0,1,758,Estavel,30,1988
5,33,0,0,0,0,1,1,2,758,Estavel,30,1988
6,Total,0,80,7,76,2,1,166,758,Estavel,30,1988
7,3,1,4,0,2,0,0,7,757,Estavel,30,2004
8,4,1,101,4,34,4,0,144,757,Estavel,30,2004
9,12,0,0,1,1,0,0,2,757,Estavel,30,2004
10,21,0,35,1,96,1,0,133,757,Estavel,30,2004
11,22,0,0,0,2,0,0,2,757,Estavel,30,2004
12,33,0,1,0,2,0,4,7,757,Estavel,30,2004
13,Total,2,141,6,137,5,4,295,757,Estavel,30,2004
14,3,6,12,0,3,0,0,21,7621,Estavel,30,1991
15,4,2,29,0,4,0,0,35,7621,Estavel,30,1991
16,12,1,2,0,0,0,0,3,7621,Estavel,30,1991
17,21,0,8,0,15,0,0,23,7621,Estavel,30,1991
18,22,0,0,0,0,0,0,0,7621,Estavel,30,1991
19,33,0,0,0,0,0,1,1,7621,Estavel,30,1991
20,Total,9,51,0,22,0,1,83,7621,Estavel,30,1991
21,3,5,13,0,2,0,0,20,7621,Estavel,30,1994
22,4,2,30,0,2,0,0,34,7621,Estavel,30,1994
23,12,0,2,0,0,0,1,3,7621,Estavel,30,1994
24,21,0,11,0,14,0,0,25,7621,Estavel,30,1994
25,22,0,0,0,0,0,0,0,7621,Estavel,30,1994
26,33,0,0,0,0,0,1,1,7621,Estavel,30,1994
27,Total,7,56,0,18,0,2,83,7621,Estavel,30,1994
28,3,2,1,0,1,0,0,4,775,Estavel,30,1987
29,4,0,3,1,0,0,0,4,775,Estavel,30,1987
30,12,0,0,0,0,0,0,0,775,Estavel,30,1987
31,21,0,1,0,16,2,0,19,775,Estavel,30,1987
32,22,0,0,0,0,0,0,0,775,Estavel,30,1987
