,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,2,2,0,0,0,0,4,7742,FrequencyV2natUso,16,2015
1,4,2,15,0,2,0,0,19,7742,FrequencyV2natUso,16,2015
2,12,0,0,2,0,0,0,2,7742,FrequencyV2natUso,16,2015
3,21,1,17,1,92,0,0,111,7742,FrequencyV2natUso,16,2015
4,22,0,1,0,0,0,0,1,7742,FrequencyV2natUso,16,2015
5,33,0,0,0,0,0,0,0,7742,FrequencyV2natUso,16,2015
6,Total,5,35,3,94,0,0,137,7742,FrequencyV2natUso,16,2015
7,3,0,21,0,0,0,0,21,7622,FrequencyV2natUso,16,2020
8,4,0,83,0,1,0,0,84,7622,FrequencyV2natUso,16,2020
9,12,0,2,0,0,0,0,2,7622,FrequencyV2natUso,16,2020
10,21,0,12,0,2,0,0,14,7622,FrequencyV2natUso,16,2020
11,22,0,0,0,0,0,0,0,7622,FrequencyV2natUso,16,2020
12,33,0,0,0,0,0,0,0,7622,FrequencyV2natUso,16,2020
13,Total,0,118,0,3,0,0,121,7622,FrequencyV2natUso,16,2020
14,3,0,0,0,0,0,0,0,7613,FrequencyV2natUso,16,2022
15,4,0,104,0,47,0,0,151,7613,FrequencyV2natUso,16,2022
16,12,0,1,0,14,2,0,17,7613,FrequencyV2natUso,16,2022
17,21,0,8,0,14,0,0,22,7613,FrequencyV2natUso,16,2022
18,22,0,0,0,1,0,0,1,7613,FrequencyV2natUso,16,2022
19,33,0,1,0,0,0,0,1,7613,FrequencyV2natUso,16,2022
20,Total,0,114,0,76,2,0,192,7613,FrequencyV2natUso,16,2022
21,3,1,1,0,0,0,0,2,76116,FrequencyV2natUso,16,2018
22,4,5,99,13,19,0,0,136,76116,FrequencyV2natUso,16,2018
23,12,0,0,1,2,0,0,3,76116,FrequencyV2natUso,16,2018
24,21,0,13,4,64,0,0,81,76116,FrequencyV2natUso,16,2018
25,22,0,0,0,0,1,0,1,76116,FrequencyV2natUso,16,2018
26,33,0,0,0,0,0,9,9,76116,FrequencyV2natUso,16,2018
27,Total,6,113,18,85,1,9,232,76116,FrequencyV2natUso,16,2018
28,3,0,0,0,0,0,0,0,773,FrequencyV2natUso,16,2016
29,4,0,2,0,0,0,0,2,773,FrequencyV2natUso,16,2016
30,12,0,0,0,1,0,0,1,773,FrequencyV2natUso,16,2016
31,21,0,1,0,33,0,0,34,773,FrequencyV2natUso,16,2016
32,22,0,0,1,1,0,0,2,773,FrequencyV2natUso,16,2016
33,33,0,0,0,0,0,0,0,773,FrequencyV2natUso,16,2016
34,Total,0,3,1,35,0,0,39,773,FrequencyV2natUso,16,2016
35,3,1,17,0,0,0,0,18,763,FrequencyV2natUso,16,2014
36,4,2,189,0,10,0,0,201,763,FrequencyV2natUso,16,2014
37,12,0,4,5,6,0,0,15,763,FrequencyV2natUso,16,2014
38,21,0,34,0,117,0,0,151,763,FrequencyV2natUso,16,2014
39,22,0,2,1,1,0,0,4,763,FrequencyV2natUso,16,2014
40,33,0,1,0,0,0,2,3,763,FrequencyV2natUso,16,2014
41,Total,3,247,6,134,0,2,392,763,FrequencyV2natUso,16,2014
42,3,0,3,0,0,0,0,3,756,FrequencyV2natUso,16,2015
43,4,1,221,7,22,0,0,251,756,FrequencyV2natUso,16,2015
44,12,0,4,1,2,0,0,7,756,FrequencyV2natUso,16,2015
45,21,0,51,5,70,1,0,127,756,FrequencyV2natUso,16,2015
46,22,0,2,1,4,0,0,7,756,FrequencyV2natUso,16,2015
47,33,1,0,1,1,0,2,5,756,FrequencyV2natUso,16,2015
48,Total,2,281,15,99,1,2,400,756,FrequencyV2natUso,16,2015
49,3,10,6,1,1,1,0,19,751,FrequencyV2natUso,16,2010
50,4,33,95,0,5,1,0,134,751,FrequencyV2natUso,16,2010
51,12,0,3,1,4,0,0,8,751,FrequencyV2natUso,16,2010
52,21,3,29,0,12,0,0,44,751,FrequencyV2natUso,16,2010
53,22,0,4,2,2,2,0,10,751,FrequencyV2natUso,16,2010
54,33,0,1,1,0,1,0,3,751,FrequencyV2natUso,16,2010
55,Total,46,138,5,24,5,0,218,751,FrequencyV2natUso,16,2010
56,3,0,0,0,0,0,0,0,758,FrequencyV2natUso,16,2018
57,4,0,69,1,9,0,0,79,758,FrequencyV2natUso,16,2018
58,12,0,0,0,2,0,0,2,758,FrequencyV2natUso,16,2018
59,21,0,20,0,56,0,0,76,758,FrequencyV2natUso,16,2018
60,22,0,0,0,0,1,0,1,758,FrequencyV2natUso,16,2018
61,33,0,1,0,1,1,1,4,758,FrequencyV2natUso,16,2018
62,Total,0,90,1,68,2,1,162,758,FrequencyV2natUso,16,2018
63,3,0,3,0,0,0,0,3,756,FrequencyV2natUso,16,2017
64,4,1,211,3,39,0,0,254,756,FrequencyV2natUso,16,2017
65,12,0,5,0,2,0,0,7,756,FrequencyV2natUso,16,2017
66,21,0,48,5,71,0,0,124,756,FrequencyV2natUso,16,2017
67,22,0,2,0,5,0,0,7,756,FrequencyV2natUso,16,2017
68,33,0,1,1,1,0,2,5,756,FrequencyV2natUso,16,2017
69,Total,1,270,9,118,0,2,400,756,FrequencyV2natUso,16,2017
70,3,0,0,0,0,0,0,0,7618,FrequencyV2natUso,16,2022
71,4,0,89,2,8,0,0,99,7618,FrequencyV2natUso,16,2022
72,12,0,2,1,0,0,0,3,7618,FrequencyV2natUso,16,2022
73,21,0,13,0,43,0,0,56,7618,FrequencyV2natUso,16,2022
74,22,0,0,0,0,1,0,1,7618,FrequencyV2natUso,16,2022
75,33,0,0,0,0,0,0,0,7618,FrequencyV2natUso,16,2022
76,Total,0,104,3,51,1,0,159,7618,FrequencyV2natUso,16,2022
77,3,1,2,0,1,0,0,4,757,FrequencyV2natUso,16,1995
78,4,2,110,0,40,0,0,152,757,FrequencyV2natUso,16,1995
79,12,0,0,0,2,0,0,2,757,FrequencyV2natUso,16,1995
80,21,0,20,0,104,0,0,124,757,FrequencyV2natUso,16,1995
81,22,0,0,0,2,0,0,2,757,FrequencyV2natUso,16,1995
82,33,1,1,1,0,0,3,6,757,FrequencyV2natUso,16,1995
83,Total,4,133,1,149,0,3,290,757,FrequencyV2natUso,16,1995
84,3,7,19,0,1,0,0,27,7741,FrequencyV2natUso,16,2006
85,4,0,93,3,7,0,0,103,7741,FrequencyV2natUso,16,2006
86,12,0,8,0,1,0,0,9,7741,FrequencyV2natUso,16,2006
87,21,0,49,2,54,0,0,105,7741,FrequencyV2natUso,16,2006
88,22,0,0,1,0,0,0,1,7741,FrequencyV2natUso,16,2006
89,33,0,0,0,0,0,0,0,7741,FrequencyV2natUso,16,2006
90,Total,7,169,6,63,0,0,245,7741,FrequencyV2natUso,16,2006
91,3,6,20,0,0,0,0,26,7741,FrequencyV2natUso,16,2017
92,4,0,91,2,5,0,0,98,7741,FrequencyV2natUso,16,2017
