,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,1,10,0,0,0,0,11,744,FrequencyV2nat,15,2007
1,4,2,505,4,28,0,1,540,744,FrequencyV2nat,15,2007
2,12,0,9,8,3,0,0,20,744,FrequencyV2nat,15,2007
3,21,0,68,5,73,1,0,147,744,FrequencyV2nat,15,2007
4,22,0,1,1,0,0,0,2,744,FrequencyV2nat,15,2007
5,33,0,2,0,0,0,0,2,744,FrequencyV2nat,15,2007
6,Total,3,595,18,104,1,1,722,744,FrequencyV2nat,15,2007
7,3,0,0,0,0,0,0,0,7614,FrequencyV2nat,15,1998
8,4,6,65,0,5,0,0,76,7614,FrequencyV2nat,15,1998
9,12,0,0,0,0,0,0,0,7614,FrequencyV2nat,15,1998
10,21,0,22,0,34,0,0,56,7614,FrequencyV2nat,15,1998
11,22,0,0,0,0,0,0,0,7614,FrequencyV2nat,15,1998
12,33,0,0,0,0,0,0,0,7614,FrequencyV2nat,15,1998
13,Total,6,87,0,39,0,0,132,7614,FrequencyV2nat,15,1998
14,3,1,0,0,1,0,0,2,771,FrequencyV2nat,15,2009
15,4,5,69,0,39,0,0,113,771,FrequencyV2nat,15,2009
16,12,0,1,0,2,0,0,3,771,FrequencyV2nat,15,2009
17,21,1,6,0,119,0,0,126,771,FrequencyV2nat,15,2009
18,22,0,0,0,2,0,0,2,771,FrequencyV2nat,15,2009
19,33,0,0,0,0,0,0,0,771,FrequencyV2nat,15,2009
20,Total,7,76,0,163,0,0,246,771,FrequencyV2nat,15,2009
21,3,0,1,0,0,0,0,1,7421,FrequencyV2nat,15,2022
22,4,0,62,0,2,0,0,64,7421,FrequencyV2nat,15,2022
23,12,0,0,0,2,0,0,2,7421,FrequencyV2nat,15,2022
24,21,0,8,2,3,0,0,13,7421,FrequencyV2nat,15,2022
25,22,0,0,0,0,0,0,0,7421,FrequencyV2nat,15,2022
26,33,0,0,0,0,0,0,0,7421,FrequencyV2nat,15,2022
27,Total,0,71,2,7,0,0,80,7421,FrequencyV2nat,15,2022
28,3,0,12,0,3,0,0,15,765,FrequencyV2nat,15,1998
29,4,0,78,0,36,0,0,114,765,FrequencyV2nat,15,1998
30,12,0,0,0,0,0,0,0,765,FrequencyV2nat,15,1998
31,21,0,10,0,94,0,0,104,765,FrequencyV2nat,15,1998
