,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,0,3,0,0,0,0,3,7612,FrequencyV3St2,18,2005
1,4,0,97,2,3,0,0,102,7612,FrequencyV3St2,18,2005
2,12,0,1,2,5,0,0,8,7612,FrequencyV3St2,18,2005
3,21,0,31,1,26,0,0,58,7612,FrequencyV3St2,18,2005
4,22,0,0,0,3,0,0,3,7612,FrequencyV3St2,18,2005
5,33,0,0,0,0,0,3,3,7612,FrequencyV3St2,18,2005
6,Total,0,132,5,37,0,3,177,7612,FrequencyV3St2,18,2005
7,3,1,1,0,0,0,0,2,76116,FrequencyV3St2,18,2015
8,4,5,91,11,28,0,0,135,76116,FrequencyV3St2,18,2015
9,12,0,0,2,2,0,0,4,76116,FrequencyV3St2,18,2015
10,21,0,9,5,67,1,0,82,76116,FrequencyV3St2,18,2015
11,22,0,0,0,0,0,0,0,76116,FrequencyV3St2,18,2015
12,33,0,0,0,0,0,9,9,76116,FrequencyV3St2,18,2015
13,Total,6,101,18,97,1,9,232,76116,FrequencyV3St2,18,2015
14,3,0,0,0,0,0,0,0,7616,FrequencyV3St2,18,2000
15,4,0,80,0,11,0,0,91,7616,FrequencyV3St2,18,2000
16,12,0,2,1,0,0,0,3,7616,FrequencyV3St2,18,2000
17,21,0,7,0,26,0,0,33,7616,FrequencyV3St2,18,2000
18,22,0,0,0,0,0,0,0,7616,FrequencyV3St2,18,2000
19,33,0,0,0,0,0,0,0,7616,FrequencyV3St2,18,2000
20,Total,0,89,1,37,0,0,127,7616,FrequencyV3St2,18,2000
21,3,0,0,0,0,0,0,0,7618,FrequencyV3St2,18,1988
22,4,0,106,2,7,0,0,115,7618,FrequencyV3St2,18,1988
23,12,0,1,0,2,0,0,3,7618,FrequencyV3St2,18,1988
24,21,0,6,0,34,0,0,40,7618,FrequencyV3St2,18,1988
25,22,0,1,0,0,0,0,1,7618,FrequencyV3St2,18,1988
26,33,0,0,0,0,0,0,0,7618,FrequencyV3St2,18,1988
27,Total,0,114,2,43,0,0,159,7618,FrequencyV3St2,18,1988
28,3,1,1,0,0,0,0,2,775,FrequencyV3St2,18,2002
29,4,0,3,0,1,0,0,4,775,FrequencyV3St2,18,2002
30,12,0,0,0,0,0,1,1,775,FrequencyV3St2,18,2002
31,21,0,0,1,12,0,0,13,775,FrequencyV3St2,18,2002
32,22,0,0,0,0,0,0,0,775,FrequencyV3St2,18,2002
33,33,0,0,0,0,0,0,0,775,FrequencyV3St2,18,2002
34,Total,1,4,1,13,0,1,20,775,FrequencyV3St2,18,2002
35,3,0,10,0,2,0,0,12,766,FrequencyV3St2,18,2014
36,4,0,87,0,15,0,0,102,766,FrequencyV3St2,18,2014
37,12,0,3,0,2,0,0,5,766,FrequencyV3St2,18,2014
38,21,1,11,0,131,0,0,143,766,FrequencyV3St2,18,2014
39,22,0,1,0,0,1,0,2,766,FrequencyV3St2,18,2014
40,33,0,1,0,0,0,2,3,766,FrequencyV3St2,18,2014
41,Total,1,113,0,150,1,2,267,766,FrequencyV3St2,18,2014
42,3,0,5,1,0,0,0,6,7619,FrequencyV3St2,18,2004
43,4,0,254,10,11,0,0,275,7619,FrequencyV3St2,18,2004
44,12,0,8,1,1,1,2,13,7619,FrequencyV3St2,18,2004
45,21,0,11,0,42,0,0,53,7619,FrequencyV3St2,18,2004
46,22,0,1,0,0,0,0,1,7619,FrequencyV3St2,18,2004
47,33,0,0,0,0,0,1,1,7619,FrequencyV3St2,18,2004
48,Total,0,279,12,54,1,3,349,7619,FrequencyV3St2,18,2004
49,3,0,14,0,1,0,0,15,7621,FrequencyV3St2,18,2019
50,4,0,21,0,2,0,0,23,7621,FrequencyV3St2,18,2019
51,12,0,1,0,0,0,0,1,7621,FrequencyV3St2,18,2019
52,21,0,3,0,22,0,0,25,7621,FrequencyV3St2,18,2019
53,22,0,0,0,0,0,0,0,7621,FrequencyV3St2,18,2019
54,33,0,0,0,0,0,0,0,7621,FrequencyV3St2,18,2019
55,Total,0,39,0,25,0,0,64,7621,FrequencyV3St2,18,2019
56,3,0,3,0,0,0,0,3,755,FrequencyV3St2,18,2019
57,4,0,148,0,12,0,0,160,755,FrequencyV3St2,18,2019
58,12,0,0,0,4,0,0,4,755,FrequencyV3St2,18,2019
59,21,0,36,0,47,0,0,83,755,FrequencyV3St2,18,2019
60,22,0,2,0,6,3,0,11,755,FrequencyV3St2,18,2019
61,33,0,3,0,0,1,1,5,755,FrequencyV3St2,18,2019
62,Total,0,192,0,69,4,1,266,755,FrequencyV3St2,18,2019
63,3,0,0,0,0,0,0,0,7613,FrequencyV3St2,18,2009
64,4,0,113,0,39,0,0,152,7613,FrequencyV3St2,18,2009
65,12,0,0,0,15,2,0,17,7613,FrequencyV3St2,18,2009
66,21,0,8,0,13,0,0,21,7613,FrequencyV3St2,18,2009
67,22,0,0,0,1,0,0,1,7613,FrequencyV3St2,18,2009
68,33,0,0,0,0,0,1,1,7613,FrequencyV3St2,18,2009
69,Total,0,121,0,68,2,1,192,7613,FrequencyV3St2,18,2009
70,3,4,6,0,1,0,0,11,754,FrequencyV3St2,18,1992
71,4,11,368,0,108,0,0,487,754,FrequencyV3St2,18,1992
72,12,0,5,0,8,0,0,13,754,FrequencyV3St2,18,1992
73,21,2,61,0,129,0,1,193,754,FrequencyV3St2,18,1992
74,22,0,1,1,3,0,0,5,754,FrequencyV3St2,18,1992
75,33,0,5,5,1,0,4,15,754,FrequencyV3St2,18,1992
76,Total,17,446,6,250,0,5,724,754,FrequencyV3St2,18,1992
77,3,0,3,0,0,0,0,3,756,FrequencyV3St2,18,2015
78,4,1,212,4,34,0,0,251,756,FrequencyV3St2,18,2015
79,12,0,1,1,5,0,0,7,756,FrequencyV3St2,18,2015
80,21,0,45,3,78,1,0,127,756,FrequencyV3St2,18,2015
81,22,0,2,1,4,0,0,7,756,FrequencyV3St2,18,2015
82,33,2,0,2,0,0,1,5,756,FrequencyV3St2,18,2015
83,Total,3,263,11,121,1,1,400,756,FrequencyV3St2,18,2015
84,3,2,12,0,0,0,0,14,765,FrequencyV3St2,18,2011
85,4,0,79,0,31,0,0,110,765,FrequencyV3St2,18,2011
86,12,0,0,0,0,0,0,0,765,FrequencyV3St2,18,2011
87,21,1,7,0,101,0,0,109,765,FrequencyV3St2,18,2011
88,22,0,1,0,2,3,0,6,765,FrequencyV3St2,18,2011
89,33,0,0,0,0,0,2,2,765,FrequencyV3St2,18,2011
90,Total,3,99,0,134,3,2,241,765,FrequencyV3St2,18,2011
91,3,6,20,0,0,0,0,26,7741,FrequencyV3St2,18,2015
92,4,0,96,0,5,0,0,101,7741,FrequencyV3St2,18,2015
93,12,0,9,0,0,0,0,9,7741,FrequencyV3St2,18,2015
94,21,0,50,0,56,0,0,106,7741,FrequencyV3St2,18,2015
95,22,0,2,0,0,0,0,2,7741,FrequencyV3St2,18,2015
96,33,0,0,0,0,0,1,1,7741,FrequencyV3St2,18,2015
97,Total,6,177,0,61,0,1,245,7741,FrequencyV3St2,18,2015
98,3,6,8,0,1,0,0,15,776,FrequencyV3St2,18,2001
99,4,1,125,2,56,0,0,184,776,FrequencyV3St2,18,2001
100,12,0,0,7,1,1,0,9,776,FrequencyV3St2,18,2001
101,21,1,19,0,121,1,0,142,776,FrequencyV3St2,18,2001
102,22,0,0,2,0,0,0,2,776,FrequencyV3St2,18,2001
103,33,0,0,0,0,0,1,1,776,FrequencyV3St2,18,2001
104,Total,8,152,11,179,2,1,353,776,FrequencyV3St2,18,2001
105,3,0,3,0,0,0,0,3,755,FrequencyV3St2,18,2018
106,4,0,145,0,12,0,0,157,755,FrequencyV3St2,18,2018
107,12,0,0,0,4,0,0,4,755,FrequencyV3St2,18,2018
108,21,0,36,0,50,0,0,86,755,FrequencyV3St2,18,2018
109,22,0,2,0,6,3,0,11,755,FrequencyV3St2,18,2018
110,33,0,3,0,0,0,2,5,755,FrequencyV3St2,18,2018
111,Total,0,189,0,72,3,2,266,755,FrequencyV3St2,18,2018
112,3,1,17,0,0,0,0,18,763,FrequencyV3St2,18,2008
113,4,1,186,0,20,0,0,207,763,FrequencyV3St2,18,2008
114,12,0,8,4,3,0,0,15,763,FrequencyV3St2,18,2008
115,21,0,30,0,115,0,0,145,763,FrequencyV3St2,18,2008
116,22,0,2,1,1,0,0,4,763,FrequencyV3St2,18,2008
117,33,0,0,0,0,0,3,3,763,FrequencyV3St2,18,2008
118,Total,2,243,5,139,0,3,392,763,FrequencyV3St2,18,2008
119,3,0,0,0,0,0,0,0,7616,FrequencyV3St2,18,1998
120,4,0,78,0,12,0,0,90,7616,FrequencyV3St2,18,1998
121,12,0,2,1,0,0,0,3,7616,FrequencyV3St2,18,1998
122,21,0,11,0,23,0,0,34,7616,FrequencyV3St2,18,1998
123,22,0,0,0,0,0,0,0,7616,FrequencyV3St2,18,1998
124,33,0,0,0,0,0,0,0,7616,FrequencyV3St2,18,1998
125,Total,0,91,1,35,0,0,127,7616,FrequencyV3St2,18,1998
126,3,0,0,0,0,0,0,0,7613,FrequencyV3St2,18,1995
127,4,0,128,0,25,0,0,153,7613,FrequencyV3St2,18,1995
128,12,0,4,0,13,0,0,17,7613,FrequencyV3St2,18,1995
129,21,0,9,0,11,0,0,20,7613,FrequencyV3St2,18,1995
130,22,0,0,0,1,0,0,1,7613,FrequencyV3St2,18,1995
131,33,0,0,0,0,0,1,1,7613,FrequencyV3St2,18,1995
132,Total,0,141,0,50,0,1,192,7613,FrequencyV3St2,18,1995
133,3,0,0,0,0,0,0,0,773,FrequencyV3St2,18,1990
134,4,0,5,0,4,0,0,9,773,FrequencyV3St2,18,1990
135,12,0,1,0,0,0,0,1,773,FrequencyV3St2,18,1990
136,21,0,2,1,24,0,0,27,773,FrequencyV3St2,18,1990
137,22,0,0,1,1,0,0,2,773,FrequencyV3St2,18,1990
138,33,0,0,0,0,0,0,0,773,FrequencyV3St2,18,1990
139,Total,0,8,2,29,0,0,39,773,FrequencyV3St2,18,1990
140,3,6,20,0,0,0,0,26,7741,FrequencyV3St2,18,2022
141,4,0,94,0,3,0,0,97,7741,FrequencyV3St2,18,2022
142,12,0,7,0,2,0,0,9,7741,FrequencyV3St2,18,2022
143,21,0,60,0,50,0,0,110,7741,FrequencyV3St2,18,2022
144,22,0,2,0,0,0,0,2,7741,FrequencyV3St2,18,2022
145,33,0,0,0,0,0,1,1,7741,FrequencyV3St2,18,2022
146,Total,6,183,0,55,0,1,245,7741,FrequencyV3St2,18,2022
147,3,0,6,0,2,0,0,8,767,FrequencyV3St2,18,2004
148,4,0,42,0,6,0,0,48,767,FrequencyV3St2,18,2004
149,12,0,0,0,0,0,0,0,767,FrequencyV3St2,18,2004
150,21,0,10,0,34,0,0,44,767,FrequencyV3St2,18,2004
151,22,0,1,0,0,0,0,1,767,FrequencyV3St2,18,2004
152,33,0,0,0,0,0,0,0,767,FrequencyV3St2,18,2004
153,Total,0,59,0,42,0,0,101,767,FrequencyV3St2,18,2004
154,3,4,6,0,0,0,0,10,754,FrequencyV3St2,18,2003
155,4,11,373,0,96,0,0,480,754,FrequencyV3St2,18,2003
156,12,0,3,0,11,0,0,14,754,FrequencyV3St2,18,2003
157,21,3,64,1,136,0,0,204,754,FrequencyV3St2,18,2003
158,22,0,1,1,2,0,0,4,754,FrequencyV3St2,18,2003
159,33,2,3,0,2,0,5,12,754,FrequencyV3St2,18,2003
160,Total,20,450,2,247,0,5,724,754,FrequencyV3St2,18,2003
161,3,0,7,0,3,0,0,10,76111,FrequencyV3St2,18,1994
162,4,0,25,0,15,0,0,40,76111,FrequencyV3St2,18,1994
