,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,3,10,0,0,0,0,13,766,FrequencyV3,30,2006
1,4,4,96,0,28,0,0,128,766,FrequencyV3,30,2006
2,12,0,3,0,3,0,0,6,766,FrequencyV3,30,2006
3,21,1,15,0,126,0,0,142,766,FrequencyV3,30,2006
4,22,0,2,0,0,0,0,2,766,FrequencyV3,30,2006
5,33,0,0,0,2,0,2,4,766,FrequencyV3,30,2006
6,Total,8,126,0,159,0,2,295,766,FrequencyV3,30,2006
7,3,0,3,0,0,0,0,3,756,FrequencyV3,30,2012
8,4,0,203,5,43,0,0,251,756,FrequencyV3,30,2012
9,12,0,1,2,2,0,1,6,756,FrequencyV3,30,2012
10,21,0,34,6,83,0,0,123,756,FrequencyV3,30,2012
11,22,0,2,0,5,0,0,7,756,FrequencyV3,30,2012
12,33,0,0,0,2,0,8,10,756,FrequencyV3,30,2012
13,Total,0,243,13,135,0,9,400,756,FrequencyV3,30,2012
14,3,2,1,0,0,0,0,3,771,FrequencyV3,30,2017
15,4,6,90,0,12,0,0,108,771,FrequencyV3,30,2017
16,12,0,2,0,1,0,0,3,771,FrequencyV3,30,2017
17,21,5,46,0,90,0,0,141,771,FrequencyV3,30,2017
18,22,0,2,0,0,0,0,2,771,FrequencyV3,30,2017
19,33,0,0,0,0,0,0,0,771,FrequencyV3,30,2017
20,Total,13,141,0,103,0,0,257,771,FrequencyV3,30,2017
21,3,1,1,0,0,0,0,2,7615,FrequencyV3,30,2010
22,4,0,128,7,39,0,0,174,7615,FrequencyV3,30,2010
23,12,0,3,0,17,1,0,21,7615,FrequencyV3,30,2010
24,21,1,23,0,53,0,0,77,7615,FrequencyV3,30,2010
25,22,0,1,0,3,0,0,4,7615,FrequencyV3,30,2010
26,33,0,0,0,0,0,2,2,7615,FrequencyV3,30,2010
27,Total,2,156,7,112,1,2,280,7615,FrequencyV3,30,2010
28,3,1,0,0,0,0,0,1,773,FrequencyV3,30,2012
29,4,0,3,0,2,0,0,5,773,FrequencyV3,30,2012
30,12,0,1,0,0,0,0,1,773,FrequencyV3,30,2012
31,21,1,8,0,30,0,0,39,773,FrequencyV3,30,2012
32,22,0,0,1,1,0,0,2,773,FrequencyV3,30,2012
33,33,0,0,0,0,0,0,0,773,FrequencyV3,30,2012
34,Total,2,12,1,33,0,0,48,773,FrequencyV3,30,2012
35,3,0,0,0,0,0,0,0,777,FrequencyV3,30,2007
36,4,0,1,0,1,0,0,2,777,FrequencyV3,30,2007
37,12,0,1,1,0,0,0,2,777,FrequencyV3,30,2007
38,21,0,3,0,8,0,0,11,777,FrequencyV3,30,2007
39,22,0,0,0,0,0,0,0,777,FrequencyV3,30,2007
40,33,0,0,0,0,0,0,0,777,FrequencyV3,30,2007
41,Total,0,5,1,9,0,0,15,777,FrequencyV3,30,2007
42,3,3,5,0,1,0,0,9,745,FrequencyV3,30,1985
43,4,21,38,0,2,0,0,61,745,FrequencyV3,30,1985
44,12,0,0,0,2,0,0,2,745,FrequencyV3,30,1985
45,21,0,3,0,5,0,0,8,745,FrequencyV3,30,1985
46,22,0,0,0,0,0,0,0,745,FrequencyV3,30,1985
47,33,0,0,0,0,0,0,0,745,FrequencyV3,30,1985
48,Total,24,46,0,10,0,0,80,745,FrequencyV3,30,1985
49,3,0,0,0,0,0,0,0,7614,FrequencyV3,30,1991
50,4,0,75,0,8,0,1,84,7614,FrequencyV3,30,1991
51,12,0,0,0,0,0,0,0,7614,FrequencyV3,30,1991
52,21,0,14,0,34,0,0,48,7614,FrequencyV3,30,1991
53,22,0,0,0,0,0,0,0,7614,FrequencyV3,30,1991
54,33,0,0,0,0,0,0,0,7614,FrequencyV3,30,1991
55,Total,0,89,0,42,0,1,132,7614,FrequencyV3,30,1991
56,3,3,9,0,2,0,0,14,766,FrequencyV3,30,1990
57,4,4,83,0,35,0,0,122,766,FrequencyV3,30,1990
58,12,0,2,0,5,0,0,7,766,FrequencyV3,30,1990
59,21,0,11,0,136,0,0,147,766,FrequencyV3,30,1990
60,22,0,1,0,0,1,0,2,766,FrequencyV3,30,1990
61,33,0,0,0,1,0,2,3,766,FrequencyV3,30,1990
62,Total,7,106,0,179,1,2,295,766,FrequencyV3,30,1990
63,3,0,0,0,0,0,0,0,7616,FrequencyV3,30,2018
