,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year
0,3,6,4,0,0,1,0,0,11,7742,Frequency,9,2017
1,4,5,23,1,1,0,0,0,30,7742,Frequency,9,2017
2,12,0,1,2,0,0,0,0,3,7742,Frequency,9,2017
3,21,0,47,2,83,5,0,0,137,7742,Frequency,9,2017
4,22,0,1,0,0,1,0,0,2,7742,Frequency,9,2017
5,27,0,0,0,0,0,0,0,0,7742,Frequency,9,2017
6,33,0,0,0,0,0,0,0,0,7742,Frequency,9,2017
7,Total,11,76,5,84,7,0,0,183,7742,Frequency,9,2017
8,3,15,33,0,0,0,0,0,48,7741,Frequency,13,1997
9,4,4,131,1,11,0,0,0,147,7741,Frequency,13,1997
10,12,0,9,0,1,0,0,0,10,7741,Frequency,13,1997
11,21,0,80,2,73,0,0,0,155,7741,Frequency,13,1997
12,22,0,0,0,0,0,0,0,0,7741,Frequency,13,1997
13,27,0,2,0,1,0,0,0,3,7741,Frequency,13,1997
14,33,0,0,0,0,0,0,0,0,7741,Frequency,13,1997
15,Total,19,255,3,86,0,0,0,363,7741,Frequency,13,1997
16,3,1,3,0,0,0,0,0,4,7422,Frequency,10,2004
17,4,5,101,2,16,1,0,0,125,7422,Frequency,10,2004
18,12,0,3,1,2,1,0,0,7,7422,Frequency,10,2004
19,21,2,21,0,21,5,0,0,49,7422,Frequency,10,2004
20,22,0,0,0,0,0,0,0,0,7422,Frequency,10,2004
21,27,0,0,0,0,0,0,0,0,7422,Frequency,10,2004
22,33,0,0,0,0,0,0,2,2,7422,Frequency,10,2004
23,Total,8,128,3,39,7,0,2,187,7422,Frequency,10,2004
24,3,1,1,0,0,0,0,0,2,741,Frequency,10,2000
25,4,8,72,0,1,0,0,0,81,741,Frequency,10,2000
26,12,0,0,1,3,0,0,0,4,741,Frequency,10,2000
27,21,2,12,0,7,0,0,0,21,741,Frequency,10,2000
28,22,0,0,0,0,0,0,0,0,741,Frequency,10,2000
29,27,0,0,0,0,0,0,0,0,741,Frequency,10,2000
30,33,0,0,0,0,0,0,2,2,741,Frequency,10,2000
31,Total,11,85,1,11,0,0,2,110,741,Frequency,10,2000
32,3,2,1,0,0,0,0,0,3,771,Frequency,10,2017
33,4,7,97,5,4,1,0,0,114,771,Frequency,10,2017
34,12,0,4,0,0,0,0,0,4,771,Frequency,10,2017
35,21,1,66,1,95,2,0,0,165,771,Frequency,10,2017
36,22,0,1,0,2,0,0,0,3,771,Frequency,10,2017
37,27,0,0,0,0,0,0,0,0,771,Frequency,10,2017
38,33,0,0,0,0,0,0,1,1,771,Frequency,10,2017
39,Total,10,169,6,101,3,0,1,290,771,Frequency,10,2017
40,3,33,13,1,0,0,0,0,47,7741,Frequency,9,2012
41,4,19,99,6,9,2,0,1,136,7741,Frequency,9,2012
42,12,1,6,2,0,1,0,0,10,7741,Frequency,9,2012
43,21,2,61,7,72,22,0,2,166,7741,Frequency,9,2012
44,22,0,1,0,0,0,0,0,1,7741,Frequency,9,2012
45,27,0,1,0,0,1,0,0,2,7741,Frequency,9,2012
46,33,0,0,0,0,0,0,1,1,7741,Frequency,9,2012
47,Total,55,181,16,81,26,0,4,363,7741,Frequency,9,2012
48,3,0,16,0,2,0,0,0,18,7621,Frequency,13,1993
49,4,0,23,0,2,0,0,0,25,7621,Frequency,13,1993
50,12,0,0,0,1,0,0,0,1,7621,Frequency,13,1993
51,21,0,9,0,11,0,0,0,20,7621,Frequency,13,1993
52,22,0,0,0,0,0,0,0,0,7621,Frequency,13,1993
53,27,0,0,0,0,0,0,0,0,7621,Frequency,13,1993
54,33,0,0,0,0,0,0,0,0,7621,Frequency,13,1993
55,Total,0,48,0,16,0,0,0,64,7621,Frequency,13,1993
56,3,0,0,0,0,0,0,0,0,7617,Frequency,13,2002
57,4,0,136,0,15,0,0,0,151,7617,Frequency,13,2002
58,12,0,3,0,3,0,0,1,7,7617,Frequency,13,2002
59,21,0,6,0,24,0,0,0,30,7617,Frequency,13,2002
60,22,0,0,0,2,0,0,1,3,7617,Frequency,13,2002
61,27,0,0,0,0,0,0,0,0,7617,Frequency,13,2002
62,33,0,2,0,3,0,0,26,31,7617,Frequency,13,2002
63,Total,0,147,0,47,0,0,28,222,7617,Frequency,13,2002
64,3,17,15,0,0,0,0,0,32,746,Frequency,10,2022
65,4,14,111,0,2,0,0,0,127,746,Frequency,10,2022
66,12,0,3,0,0,0,0,0,3,746,Frequency,10,2022
67,21,0,9,0,10,1,0,0,20,746,Frequency,10,2022
68,22,0,1,0,0,1,0,0,2,746,Frequency,10,2022
69,27,0,0,0,0,0,0,0,0,746,Frequency,10,2022
70,33,0,0,0,0,0,0,1,1,746,Frequency,10,2022
71,Total,31,139,0,12,2,0,1,185,746,Frequency,10,2022
72,3,1,4,1,0,0,0,0,6,7619,Frequency,5,1995
73,4,5,219,34,9,8,0,0,275,7619,Frequency,5,1995
74,12,0,1,3,3,5,0,1,13,7619,Frequency,5,1995
75,21,0,10,2,48,4,0,1,65,7619,Frequency,5,1995
76,22,0,0,0,0,0,0,0,0,7619,Frequency,5,1995
77,27,0,0,0,0,0,0,0,0,7619,Frequency,5,1995
78,33,0,0,0,0,1,0,1,2,7619,Frequency,5,1995
79,Total,6,234,40,60,18,0,3,361,7619,Frequency,5,1995
80,3,0,0,0,0,0,0,0,0,7613,Frequency,13,1988
81,4,0,133,1,27,0,0,0,161,7613,Frequency,13,1988
82,12,0,2,1,14,0,0,0,17,7613,Frequency,13,1988
83,21,0,10,0,8,0,0,0,18,7613,Frequency,13,1988
84,22,0,0,0,1,0,0,0,1,7613,Frequency,13,1988
85,27,0,0,0,0,0,0,0,0,7613,Frequency,13,1988
86,33,0,0,0,0,0,0,1,1,7613,Frequency,13,1988
87,Total,0,145,2,50,0,0,1,198,7613,Frequency,13,1988
88,3,3,5,0,0,0,0,0,8,759,Frequency,10,2003
89,4,0,45,1,10,4,0,0,60,759,Frequency,10,2003
90,12,0,0,0,0,0,0,0,0,759,Frequency,10,2003
91,21,0,53,1,43,5,0,0,102,759,Frequency,10,2003
92,22,0,2,0,2,0,0,0,4,759,Frequency,10,2003
93,27,0,1,0,0,0,0,0,1,759,Frequency,10,2003
94,33,0,1,0,0,0,0,0,1,759,Frequency,10,2003
95,Total,3,107,2,55,9,0,0,176,759,Frequency,10,2003
96,3,0,10,0,16,0,0,0,26,776,Frequency,13,1988
97,4,0,161,9,112,0,0,0,282,776,Frequency,13,1988
98,12,0,0,9,0,1,0,0,10,776,Frequency,13,1988
99,21,0,13,3,146,1,0,0,163,776,Frequency,13,1988
100,22,0,0,0,1,0,0,0,1,776,Frequency,13,1988
101,27,0,0,0,2,0,0,0,2,776,Frequency,13,1988
102,33,0,0,0,0,0,0,1,1,776,Frequency,13,1988
103,Total,0,184,21,277,2,0,1,485,776,Frequency,13,1988
104,3,1,17,0,0,0,0,0,18,763,Frequency,13,2001
105,4,2,183,0,24,0,0,0,209,763,Frequency,13,2001
106,12,0,5,4,6,0,0,0,15,763,Frequency,13,2001
107,21,0,36,0,108,0,0,0,144,763,Frequency,13,2001
108,22,0,0,0,1,0,0,0,1,763,Frequency,13,2001
109,27,0,0,0,0,0,0,0,0,763,Frequency,13,2001
110,33,0,0,0,0,0,0,3,3,763,Frequency,13,2001
111,Total,3,241,4,139,0,0,3,390,763,Frequency,13,2001
112,3,0,14,0,1,1,0,0,16,765,Frequency,10,1989
113,4,0,98,0,26,1,0,0,125,765,Frequency,10,1989
114,12,0,0,0,0,0,0,0,0,765,Frequency,10,1989
115,21,0,9,0,79,5,0,0,93,765,Frequency,10,1989
116,22,0,0,0,0,0,0,0,0,765,Frequency,10,1989
117,27,0,0,0,0,0,0,0,0,765,Frequency,10,1989
118,33,0,0,0,0,0,0,2,2,765,Frequency,10,1989
119,Total,0,121,0,106,7,0,2,236,765,Frequency,10,1989
120,3,2,19,0,0,0,0,0,21,7622,Frequency,9,2003
121,4,1,74,0,3,1,0,0,79,7622,Frequency,9,2003
122,12,0,1,0,1,0,0,0,2,7622,Frequency,9,2003
123,21,0,7,0,12,0,0,0,19,7622,Frequency,9,2003
124,22,0,0,0,0,0,0,0,0,7622,Frequency,9,2003
125,27,0,0,0,0,0,0,0,0,7622,Frequency,9,2003
126,33,0,0,0,0,0,0,0,0,7622,Frequency,9,2003
127,Total,3,101,0,16,1,0,0,121,7622,Frequency,9,2003
128,3,0,5,0,0,0,0,0,5,752,Frequency,13,1993
129,4,3,119,0,4,0,0,0,126,752,Frequency,13,1993
130,12,0,3,0,1,0,0,0,4,752,Frequency,13,1993
131,21,1,28,0,4,0,0,0,33,752,Frequency,13,1993
132,22,0,2,2,0,0,0,0,4,752,Frequency,13,1993
133,27,0,0,0,0,0,0,0,0,752,Frequency,13,1993
134,33,0,0,0,1,0,0,2,3,752,Frequency,13,1993
135,Total,4,157,2,10,0,0,2,175,752,Frequency,13,1993
136,3,12,20,0,0,1,0,0,33,753,Frequency,13,1994
137,4,34,297,0,17,0,0,0,348,753,Frequency,13,1994
138,12,1,11,0,3,0,0,0,15,753,Frequency,13,1994
139,21,16,85,1,33,5,0,0,140,753,Frequency,13,1994
140,22,5,9,0,5,4,0,0,23,753,Frequency,13,1994
141,27,0,1,0,0,1,0,0,2,753,Frequency,13,1994
142,33,1,7,1,1,0,0,6,16,753,Frequency,13,1994
143,Total,69,430,2,59,11,0,6,577,753,Frequency,13,1994
144,3,0,9,0,0,1,0,0,10,76111,Frequency,5,2016
145,4,0,30,0,9,1,0,0,40,76111,Frequency,5,2016
146,12,0,0,0,0,0,0,0,0,76111,Frequency,5,2016
147,21,0,24,0,117,15,0,0,156,76111,Frequency,5,2016
148,22,0,0,0,0,2,0,0,2,76111,Frequency,5,2016
149,27,0,0,0,0,0,0,0,0,76111,Frequency,5,2016
150,33,0,0,0,0,0,0,3,3,76111,Frequency,5,2016
151,Total,0,63,0,126,19,0,3,211,76111,Frequency,5,2016
152,3,35,13,0,0,0,0,0,48,7741,Frequency,10,2015
153,4,20,101,4,11,1,0,0,137,7741,Frequency,10,2015
154,12,3,4,1,2,0,0,0,10,7741,Frequency,10,2015
155,21,4,68,1,89,4,0,0,166,7741,Frequency,10,2015
156,22,0,1,0,0,0,0,0,1,7741,Frequency,10,2015
157,27,0,0,0,0,0,0,0,0,7741,Frequency,10,2015
158,33,0,0,0,0,0,0,1,1,7741,Frequency,10,2015
159,Total,62,187,6,102,5,0,1,363,7741,Frequency,10,2015
160,3,14,3,0,1,2,0,0,20,751,Frequency,10,2018
