,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
0,3,6,4,0,0,0,1,0,0,11,7742,Frequency,9,2017
1,4,5,23,1,0,0,0,0,0,29,7742,Frequency,9,2017
2,12,0,1,2,0,0,0,0,0,3,7742,Frequency,9,2017
3,15,0,0,0,0,0,0,0,0,0,7742,Frequency,9,2017
4,18,0,0,0,0,0,0,0,0,0,7742,Frequency,9,2017
5,22,0,2,0,0,0,1,0,0,3,7742,Frequency,9,2017
6,27,0,0,0,0,0,0,0,0,0,7742,Frequency,9,2017
7,33,0,0,0,0,0,0,0,0,0,7742,Frequency,9,2017
8,Total,11,30,3,0,0,2,0,0,46,7742,Frequency,9,2017
9,3,1,3,0,0,0,0,0,0,4,7422,Frequency,10,2004
10,4,5,101,2,0,0,1,0,0,109,7422,Frequency,10,2004
11,12,0,3,1,0,0,1,0,0,5,7422,Frequency,10,2004
12,15,0,0,0,0,0,0,0,0,0,7422,Frequency,10,2004
13,18,0,0,0,0,0,0,0,0,0,7422,Frequency,10,2004
14,22,0,0,0,0,0,0,0,0,0,7422,Frequency,10,2004
15,27,0,0,0,0,0,0,0,0,0,7422,Frequency,10,2004
16,33,0,0,0,0,0,0,0,2,2,7422,Frequency,10,2004
17,Total,6,107,3,0,0,2,0,2,120,7422,Frequency,10,2004
18,3,1,1,0,0,0,0,0,0,2,741,Frequency,10,2000
19,4,8,72,0,0,0,0,0,0,80,741,Frequency,10,2000
20,12,0,0,1,0,0,0,0,0,1,741,Frequency,10,2000
21,15,0,0,0,0,0,0,0,0,0,741,Frequency,10,2000
22,18,0,0,0,0,0,0,0,0,0,741,Frequency,10,2000
23,22,0,0,0,0,0,0,0,0,0,741,Frequency,10,2000
24,27,0,0,0,0,0,0,0,0,0,741,Frequency,10,2000
25,33,0,0,0,0,0,0,0,2,2,741,Frequency,10,2000
26,Total,9,73,1,0,0,0,0,2,85,741,Frequency,10,2000
27,3,2,1,0,0,0,0,0,0,3,771,Frequency,10,2017
28,4,7,97,5,0,0,1,0,0,110,771,Frequency,10,2017
29,12,0,4,0,0,0,0,0,0,4,771,Frequency,10,2017
30,15,0,0,0,0,0,0,0,0,0,771,Frequency,10,2017
31,18,0,0,0,0,0,0,0,0,0,771,Frequency,10,2017
32,22,0,1,0,0,0,0,0,0,1,771,Frequency,10,2017
33,27,0,0,0,0,0,0,0,0,0,771,Frequency,10,2017
34,33,0,0,0,0,0,0,0,1,1,771,Frequency,10,2017
35,Total,9,103,5,0,0,1,0,1,119,771,Frequency,10,2017
36,3,33,13,1,0,0,0,0,0,47,7741,Frequency,9,2012
37,4,19,99,6,0,0,2,0,1,127,7741,Frequency,9,2012
38,12,1,6,2,0,0,1,0,0,10,7741,Frequency,9,2012
39,15,0,0,0,0,0,0,0,0,0,7741,Frequency,9,2012
40,18,0,0,0,0,0,0,0,0,0,7741,Frequency,9,2012
41,22,0,1,1,0,0,0,0,0,2,7741,Frequency,9,2012
42,27,0,1,0,0,0,1,0,0,2,7741,Frequency,9,2012
43,33,0,0,0,0,0,0,0,1,1,7741,Frequency,9,2012
44,Total,53,120,10,0,0,4,0,2,189,7741,Frequency,9,2012
45,3,17,15,0,0,0,0,0,0,32,746,Frequency,10,2022
46,4,14,111,0,0,0,0,0,0,125,746,Frequency,10,2022
47,12,0,3,0,0,0,0,0,0,3,746,Frequency,10,2022
48,15,0,0,0,0,0,0,0,0,0,746,Frequency,10,2022
49,18,0,0,0,0,0,0,0,0,0,746,Frequency,10,2022
50,22,0,2,0,0,0,2,0,0,4,746,Frequency,10,2022
51,27,0,0,0,0,0,0,0,0,0,746,Frequency,10,2022
52,33,0,0,0,0,0,0,0,1,1,746,Frequency,10,2022
53,Total,31,131,0,0,0,2,0,1,165,746,Frequency,10,2022
54,3,1,4,1,0,0,0,0,0,6,7619,Frequency,5,1995
55,4,5,219,34,0,0,8,0,0,266,7619,Frequency,5,1995
56,12,0,1,3,0,0,5,0,1,10,7619,Frequency,5,1995
57,15,0,0,0,0,0,0,0,0,0,7619,Frequency,5,1995
58,18,0,0,0,0,0,0,0,0,0,7619,Frequency,5,1995
59,22,0,1,0,0,0,0,0,0,1,7619,Frequency,5,1995
60,27,0,0,0,0,0,0,0,0,0,7619,Frequency,5,1995
61,33,0,0,0,0,0,1,0,1,2,7619,Frequency,5,1995
62,Total,6,225,38,0,0,14,0,2,285,7619,Frequency,5,1995
63,3,3,5,0,0,0,0,0,0,8,759,Frequency,10,2003
64,4,0,45,1,0,0,4,0,0,50,759,Frequency,10,2003
65,12,0,0,0,0,0,0,0,0,0,759,Frequency,10,2003
66,15,0,0,0,0,0,0,0,0,0,759,Frequency,10,2003
