,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
0,3,0,0,0,0,0,0,0,0,7617,GTB,7,1997
1,4,0,74,29,13,11,2,0,129,7617,GTB,7,1997
2,12,0,0,1,0,3,0,0,4,7617,GTB,7,1997
3,15,0,2,6,7,1,2,0,18,7617,GTB,7,1997
4,18,0,0,2,1,2,0,0,5,7617,GTB,7,1997
5,22,0,0,0,0,0,0,0,0,7617,GTB,7,1997
6,33,0,0,0,0,0,0,30,30,7617,GTB,7,1997
7,Total,0,76,38,21,17,4,30,186,7617,GTB,7,1997
8,3,0,0,0,0,0,0,0,0,773,GTB,7,2000
9,4,1,2,0,1,0,0,0,4,773,GTB,7,2000
10,12,0,0,0,0,0,0,1,1,773,GTB,7,2000
11,15,0,5,0,9,1,0,0,15,773,GTB,7,2000
12,18,0,0,0,0,0,0,0,0,773,GTB,7,2000
13,22,0,0,0,0,0,0,0,0,773,GTB,7,2000
14,33,0,0,0,0,0,0,0,0,773,GTB,7,2000
15,Total,1,7,0,10,1,0,1,20,773,GTB,7,2000
16,3,0,0,0,0,0,0,0,0,773,GTB,7,1987
17,4,0,4,0,0,0,1,0,5,773,GTB,7,1987
18,12,0,0,0,0,0,1,0,1,773,GTB,7,1987
19,15,0,3,0,9,0,2,0,14,773,GTB,7,1987
20,18,0,0,0,0,0,0,0,0,773,GTB,7,1987
21,22,0,0,0,0,0,0,0,0,773,GTB,7,1987
22,33,0,0,0,0,0,0,0,0,773,GTB,7,1987
23,Total,0,7,0,9,0,4,0,20,773,GTB,7,1987
24,3,0,0,0,0,0,0,0,0,7421,GTB,5,1986
25,4,0,12,0,2,0,0,0,14,7421,GTB,5,1986
26,12,0,0,0,1,0,0,0,1,7421,GTB,5,1986
27,15,0,0,1,2,0,1,0,4,7421,GTB,5,1986
28,18,0,0,0,0,0,0,0,0,7421,GTB,5,1986
29,22,0,0,0,0,0,0,0,0,7421,GTB,5,1986
30,33,0,0,0,0,0,0,0,0,7421,GTB,5,1986
31,Total,0,12,1,5,0,1,0,19,7421,GTB,5,1986
32,3,0,0,0,0,0,0,0,0,7617,GTB,7,2020
33,4,0,78,22,12,11,4,0,127,7617,GTB,7,2020
34,12,0,0,1,1,1,1,1,5,7617,GTB,7,2020
35,15,0,1,4,5,2,7,0,19,7617,GTB,7,2020
36,18,0,2,2,0,2,0,0,6,7617,GTB,7,2020
37,22,0,0,0,0,0,0,0,0,7617,GTB,7,2020
38,33,0,0,0,0,0,1,28,29,7617,GTB,7,2020
39,Total,0,81,29,18,16,13,29,186,7617,GTB,7,2020
40,3,0,6,0,0,0,0,0,6,767,GTB,9,2001
41,4,0,33,0,5,2,0,0,40,767,GTB,9,2001
42,12,0,0,0,0,0,0,0,0,767,GTB,9,2001
43,15,0,6,0,23,6,1,0,36,767,GTB,9,2001
44,18,0,3,0,0,0,0,0,3,767,GTB,9,2001
45,22,0,0,0,0,0,0,0,0,767,GTB,9,2001
46,33,0,0,0,0,0,0,0,0,767,GTB,9,2001
47,Total,0,48,0,28,8,1,0,85,767,GTB,9,2001
48,3,0,0,0,0,0,0,0,0,7613,GTB,9,2021
49,4,0,62,40,31,0,4,0,137,7613,GTB,9,2021
50,12,0,0,4,5,0,5,0,14,7613,GTB,9,2021
51,15,0,5,3,6,0,0,0,14,7613,GTB,9,2021
52,18,0,0,0,0,0,0,0,0,7613,GTB,9,2021
53,22,0,0,1,0,0,0,0,1,7613,GTB,9,2021
54,33,0,1,0,0,0,0,0,1,7613,GTB,9,2021
