,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,3,1,0,0,0,0,4,741,GTB,30,1995
1,4,17,73,5,3,0,1,99,741,GTB,30,1995
2,12,0,2,1,1,0,0,4,741,GTB,30,1995
3,21,3,19,1,4,0,0,27,741,GTB,30,1995
4,22,0,1,0,0,0,0,1,741,GTB,30,1995
5,33,0,1,0,0,0,1,2,741,GTB,30,1995
6,Total,23,97,7,8,0,2,137,741,GTB,30,1995
7,3,0,0,0,0,0,0,0,7614,GTB,30,2015
8,4,6,52,8,4,0,0,70,7614,GTB,30,2015
9,12,0,0,0,0,0,0,0,7614,GTB,30,2015
10,21,2,14,8,36,2,0,62,7614,GTB,30,2015
11,22,0,0,0,0,0,0,0,7614,GTB,30,2015
12,33,0,0,0,0,0,0,0,7614,GTB,30,2015
13,Total,8,66,16,40,2,0,132,7614,GTB,30,2015
14,3,12,4,1,1,1,0,19,751,GTB,30,2009
15,4,49,78,0,6,0,0,133,751,GTB,30,2009
16,12,0,3,1,3,1,0,8,751,GTB,30,2009
17,21,8,24,2,11,0,0,45,751,GTB,30,2009
18,22,0,2,2,2,0,0,6,751,GTB,30,2009
19,33,0,1,1,0,1,0,3,751,GTB,30,2009
20,Total,69,112,7,23,3,0,214,751,GTB,30,2009
21,3,7,2,0,0,0,0,9,772,GTB,30,2011
22,4,13,60,7,29,0,0,109,772,GTB,30,2011
23,12,0,1,0,0,0,0,1,772,GTB,30,2011
24,21,4,45,18,127,6,1,201,772,GTB,30,2011
25,22,0,0,0,1,0,0,1,772,GTB,30,2011
26,33,0,0,1,0,0,0,1,772,GTB,30,2011
27,Total,24,108,26,157,6,1,322,772,GTB,30,2011
28,3,5,5,0,0,0,0,10,764,GTB,30,1999
29,4,2,30,0,15,0,0,47,764,GTB,30,1999
30,12,0,0,0,0,0,0,0,764,GTB,30,1999
31,21,1,1,0,38,0,0,40,764,GTB,30,1999
32,22,0,2,0,0,0,0,2,764,GTB,30,1999
33,33,0,0,0,0,0,0,0,764,GTB,30,1999
34,Total,8,38,0,53,0,0,99,764,GTB,30,1999
35,3,0,4,0,0,0,0,4,7619,GTB,30,1985
36,4,9,35,3,2,0,0,49,7619,GTB,30,1985
37,12,0,1,0,0,0,0,1,7619,GTB,30,1985
38,21,0,0,0,2,0,0,2,7619,GTB,30,1985
39,22,0,0,0,0,0,0,0,7619,GTB,30,1985
40,33,0,0,0,0,0,0,0,7619,GTB,30,1985
41,Total,9,40,3,4,0,0,56,7619,GTB,30,1985
42,3,4,5,0,0,0,0,9,764,GTB,30,2021
43,4,1,34,0,3,0,0,38,764,GTB,30,2021
44,12,0,0,0,0,0,0,0,764,GTB,30,2021
45,21,1,19,0,30,0,0,50,764,GTB,30,2021
46,22,0,2,0,0,0,0,2,764,GTB,30,2021
47,33,0,0,0,0,0,0,0,764,GTB,30,2021
48,Total,6,60,0,33,0,0,99,764,GTB,30,2021
49,3,8,5,0,0,0,0,13,759,GTB,30,2022
50,4,3,23,0,8,0,0,34,759,GTB,30,2022
51,12,0,0,0,0,0,0,0,759,GTB,30,2022
52,21,3,15,10,49,2,0,79,759,GTB,30,2022
53,22,0,0,0,0,2,0,2,759,GTB,30,2022
54,33,0,1,0,1,0,0,2,759,GTB,30,2022
55,Total,14,44,10,58,4,0,130,759,GTB,30,2022
56,3,9,8,0,1,2,0,20,751,GTB,30,2015
57,4,55,73,0,7,0,0,135,751,GTB,30,2015
58,12,1,0,2,5,0,0,8,751,GTB,30,2015
59,21,7,22,1,12,0,0,42,751,GTB,30,2015
60,22,0,4,1,1,1,0,7,751,GTB,30,2015
61,33,0,1,1,1,0,1,4,751,GTB,30,2015
62,Total,72,108,5,27,3,1,216,751,GTB,30,2015
63,3,1,1,0,0,0,0,2,76116,GTB,30,2004
64,4,5,84,6,38,3,0,136,76116,GTB,30,2004
65,12,0,1,0,4,0,0,5,76116,GTB,30,2004
66,21,0,16,7,54,2,0,79,76116,GTB,30,2004
67,22,0,0,0,0,0,0,0,76116,GTB,30,2004
68,33,0,0,0,0,0,9,9,76116,GTB,30,2004
69,Total,6,102,13,96,5,9,231,76116,GTB,30,2004
70,3,0,0,0,0,0,0,0,7616,GTB,30,1995
71,4,1,66,4,19,1,1,92,7616,GTB,30,1995
72,12,0,1,2,0,0,0,3,7616,GTB,30,1995
73,21,0,4,2,26,0,0,32,7616,GTB,30,1995
74,22,0,0,0,0,0,0,0,7616,GTB,30,1995
75,33,0,0,0,0,0,0,0,7616,GTB,30,1995
76,Total,1,71,8,45,1,1,127,7616,GTB,30,1995
77,3,2,2,0,0,0,0,4,741,GTB,30,2007
78,4,16,75,0,4,0,0,95,741,GTB,30,2007
79,12,0,1,2,1,0,0,4,741,GTB,30,2007
80,21,2,18,1,10,0,0,31,741,GTB,30,2007
81,22,0,0,1,1,0,0,2,741,GTB,30,2007
82,33,0,0,1,0,0,1,2,741,GTB,30,2007
83,Total,20,96,5,16,0,1,138,741,GTB,30,2007
84,3,5,6,0,0,0,0,11,754,GTB,30,1991
85,4,62,256,27,155,0,0,500,754,GTB,30,1991
86,12,0,4,2,7,0,0,13,754,GTB,30,1991
87,21,11,32,12,122,2,1,180,754,GTB,30,1991
88,22,0,0,1,4,0,0,5,754,GTB,30,1991
89,33,0,3,5,1,0,6,15,754,GTB,30,1991
90,Total,78,301,47,289,2,7,724,754,GTB,30,1991
91,3,3,13,0,1,0,0,17,765,GTB,30,2008
92,4,1,99,0,30,0,0,130,765,GTB,30,2008
93,12,0,0,0,0,0,0,0,765,GTB,30,2008
94,21,1,17,0,93,1,0,112,765,GTB,30,2008
95,22,0,1,0,1,3,1,6,765,GTB,30,2008
96,33,0,1,0,0,0,1,2,765,GTB,30,2008
97,Total,5,131,0,125,4,2,267,765,GTB,30,2008
98,3,10,7,0,0,0,0,17,776,GTB,30,2021
99,4,14,132,5,21,0,0,172,776,GTB,30,2021
100,12,0,1,6,2,0,0,9,776,GTB,30,2021
101,21,5,55,6,111,3,0,180,776,GTB,30,2021
102,22,0,0,2,0,0,0,2,776,GTB,30,2021
103,33,0,0,0,1,0,0,1,776,GTB,30,2021
104,Total,29,195,19,135,3,0,381,776,GTB,30,2021
105,3,3,0,0,0,0,0,3,771,GTB,30,2017
106,4,6,79,2,21,0,0,108,771,GTB,30,2017
107,12,0,2,0,1,0,0,3,771,GTB,30,2017
108,21,6,49,1,85,0,0,141,771,GTB,30,2017
109,22,0,2,0,0,0,0,2,771,GTB,30,2017
110,33,0,0,0,0,0,0,0,771,GTB,30,2017
111,Total,15,132,3,107,0,0,257,771,GTB,30,2017
112,3,1,0,0,0,0,0,1,773,GTB,30,1999
113,4,0,1,0,6,0,0,7,773,GTB,30,1999
114,12,0,0,0,0,0,1,1,773,GTB,30,1999
115,21,2,7,4,23,0,0,36,773,GTB,30,1999
116,22,0,0,0,2,0,0,2,773,GTB,30,1999
117,33,0,0,0,0,0,0,0,773,GTB,30,1999
118,Total,3,8,4,31,0,1,47,773,GTB,30,1999
119,3,3,1,0,0,0,0,4,7742,GTB,30,1999
120,4,2,11,1,8,0,2,24,7742,GTB,30,1999
121,12,0,0,0,2,0,0,2,7742,GTB,30,1999
122,21,2,10,7,87,0,0,106,7742,GTB,30,1999
123,22,0,0,0,1,0,0,1,7742,GTB,30,1999
124,33,0,0,0,0,0,2,2,7742,GTB,30,1999
125,Total,7,22,8,98,0,4,139,7742,GTB,30,1999
126,3,6,0,0,1,0,0,7,772,GTB,30,1992
127,4,12,85,3,51,0,0,151,772,GTB,30,1992
128,12,0,0,0,0,0,0,0,772,GTB,30,1992
129,21,8,36,8,113,2,0,167,772,GTB,30,1992
130,22,0,0,0,0,1,0,1,772,GTB,30,1992
131,33,0,0,0,0,0,0,0,772,GTB,30,1992
132,Total,26,121,11,165,3,0,326,772,GTB,30,1992
133,3,3,4,1,4,0,0,12,759,GTB,30,2003
134,4,0,23,3,8,0,0,34,759,GTB,30,2003
135,12,0,0,0,0,0,0,0,759,GTB,30,2003
136,21,0,26,4,45,5,0,80,759,GTB,30,2003
137,22,0,2,0,0,0,0,2,759,GTB,30,2003
138,33,0,0,0,1,0,0,1,759,GTB,30,2003
139,Total,3,55,8,58,5,0,129,759,GTB,30,2003
140,3,2,1,0,1,0,0,4,775,GTB,30,1992
141,4,0,3,1,1,0,0,5,775,GTB,30,1992
142,12,0,0,0,0,0,1,1,775,GTB,30,1992
143,21,1,5,0,11,0,0,17,775,GTB,30,1992
144,22,0,0,0,0,0,0,0,775,GTB,30,1992
145,33,0,0,0,0,0,0,0,775,GTB,30,1992
146,Total,3,9,1,13,0,1,27,775,GTB,30,1992
147,3,11,4,0,2,0,0,17,776,GTB,30,2017
148,4,16,123,7,27,0,0,173,776,GTB,30,2017
149,12,0,0,6,2,1,0,9,776,GTB,30,2017
150,21,1,36,4,136,2,0,179,776,GTB,30,2017
151,22,0,0,2,0,0,0,2,776,GTB,30,2017
152,33,0,0,0,0,0,1,1,776,GTB,30,2017
153,Total,28,163,19,167,3,1,381,776,GTB,30,2017
154,3,1,5,1,0,0,0,7,7619,GTB,30,1986
155,4,5,238,15,17,1,0,276,7619,GTB,30,1986
156,12,0,4,2,3,0,3,12,7619,GTB,30,1986
157,21,0,13,2,35,0,1,51,7619,GTB,30,1986
158,22,0,1,0,0,0,0,1,7619,GTB,30,1986
159,33,0,0,0,0,0,2,2,7619,GTB,30,1986
160,Total,6,261,20,55,1,6,349,7619,GTB,30,1986
161,3,18,19,0,1,0,0,38,746,GTB,30,1991
162,4,14,132,0,12,0,0,158,746,GTB,30,1991
163,12,0,2,0,3,0,0,5,746,GTB,30,1991
164,21,0,2,0,15,0,0,17,746,GTB,30,1991
165,22,0,1,0,2,0,0,3,746,GTB,30,1991
166,33,0,0,0,0,0,1,1,746,GTB,30,1991
167,Total,32,156,0,33,0,1,222,746,GTB,30,1991
168,3,0,5,1,0,0,0,6,7619,GTB,30,1996
169,4,2,222,15,31,0,0,270,7619,GTB,30,1996
170,12,0,2,1,8,1,0,12,7619,GTB,30,1996
171,21,0,11,3,44,0,0,58,7619,GTB,30,1996
172,22,0,1,0,0,0,0,1,7619,GTB,30,1996
173,33,0,0,0,0,0,1,1,7619,GTB,30,1996
174,Total,2,241,20,83,1,1,348,7619,GTB,30,1996
175,3,2,17,0,0,0,0,19,763,GTB,30,1990
176,4,7,189,1,46,0,0,243,763,GTB,30,1990
177,12,0,5,4,5,1,0,15,763,GTB,30,1990
178,21,0,28,4,107,0,0,139,763,GTB,30,1990
179,22,0,1,1,1,0,3,6,763,GTB,30,1990
180,33,0,0,0,0,0,3,3,763,GTB,30,1990
181,Total,9,240,10,159,1,6,425,763,GTB,30,1990
182,3,0,0,0,0,0,0,0,758,GTB,30,1986
183,4,7,56,12,19,1,1,96,758,GTB,30,1986
184,12,0,0,0,0,2,0,2,758,GTB,30,1986
185,21,10,10,4,33,1,1,59,758,GTB,30,1986
186,22,0,0,0,0,1,0,1,758,GTB,30,1986
187,33,0,0,0,0,0,2,2,758,GTB,30,1986
188,Total,17,66,16,52,5,4,160,758,GTB,30,1986
189,3,4,20,0,2,0,0,26,7741,GTB,30,2011
190,4,7,69,9,16,0,0,101,7741,GTB,30,2011
191,12,0,7,1,1,0,0,9,7741,GTB,30,2011
192,21,1,32,4,64,3,1,105,7741,GTB,30,2011
193,22,0,1,0,1,0,0,2,7741,GTB,30,2011
194,33,0,0,0,0,0,1,1,7741,GTB,30,2011
195,Total,12,129,14,84,3,2,244,7741,GTB,30,2011
196,3,0,0,0,0,0,0,0,7617,GTB,30,1988
197,4,1,123,5,23,0,2,154,7617,GTB,30,1988
198,12,0,2,2,2,0,0,6,7617,GTB,30,1988
