,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
0,3,19,6,0,0,0,1,0,26,753,Gap-fill,5,2002
1,4,89,212,1,0,0,12,0,314,753,Gap-fill,5,2002
2,12,2,4,0,0,0,4,0,10,753,Gap-fill,5,2002
3,15,0,0,0,0,0,0,0,0,753,Gap-fill,5,2002
4,18,0,0,0,0,0,0,0,0,753,Gap-fill,5,2002
5,22,3,1,0,0,0,18,0,22,753,Gap-fill,5,2002
6,33,3,1,1,0,0,1,10,16,753,Gap-fill,5,2002
7,Total,116,224,2,0,0,36,10,388,753,Gap-fill,5,2002
8,3,0,0,0,0,0,0,0,0,773,Gap-fill,5,1991
9,4,1,4,0,0,0,0,0,5,773,Gap-fill,5,1991
10,12,0,0,0,0,0,0,1,1,773,Gap-fill,5,1991
11,15,0,0,0,0,0,0,0,0,773,Gap-fill,5,1991
12,18,0,0,0,0,0,0,0,0,773,Gap-fill,5,1991
13,22,0,0,0,0,0,0,1,1,773,Gap-fill,5,1991
14,33,0,0,0,0,0,0,0,0,773,Gap-fill,5,1991
15,Total,1,4,0,0,0,0,2,7,773,Gap-fill,5,1991
16,3,0,4,0,0,0,0,0,4,755,Gap-fill,5,1991
17,4,4,128,1,0,0,4,2,139,755,Gap-fill,5,1991
18,12,0,1,1,0,0,1,0,3,755,Gap-fill,5,1991
19,15,0,0,0,0,0,0,0,0,755,Gap-fill,5,1991
20,18,0,0,0,0,0,0,0,0,755,Gap-fill,5,1991
21,22,0,1,1,0,0,5,0,7,755,Gap-fill,5,1991
22,33,1,0,0,0,0,0,2,3,755,Gap-fill,5,1991
23,Total,5,134,3,0,0,10,4,156,755,Gap-fill,5,1991
24,3,129,155,5,0,0,7,3,299,Caatinga,Gap-fill,5,2011
25,4,572,3556,335,0,0,61,10,4534,Caatinga,Gap-fill,5,2011
26,12,15,40,44,0,0,43,7,149,Caatinga,Gap-fill,5,2011
27,15,0,0,0,0,0,0,0,0,Caatinga,Gap-fill,5,2011
28,18,0,0,0,0,0,0,0,0,Caatinga,Gap-fill,5,2011
29,22,6,20,9,0,0,54,0,89,Caatinga,Gap-fill,5,2011
30,33,9,12,4,0,0,6,108,139,Caatinga,Gap-fill,5,2011
31,Total,731,3783,397,0,0,171,128,5210,Caatinga,Gap-fill,5,2011
32,3,1,1,0,0,0,0,0,2,741,Gap-fill,5,1986
33,4,18,62,1,0,0,0,0,81,741,Gap-fill,5,1986
34,12,0,1,1,0,0,0,0,2,741,Gap-fill,5,1986
35,15,0,0,0,0,0,0,0,0,741,Gap-fill,5,1986
36,18,0,0,0,0,0,0,0,0,741,Gap-fill,5,1986
37,22,0,0,0,0,0,0,0,0,741,Gap-fill,5,1986
38,33,0,0,0,0,0,0,2,2,741,Gap-fill,5,1986
39,Total,19,64,2,0,0,0,2,87,741,Gap-fill,5,1986
40,3,8,10,0,0,0,0,0,18,763,Gap-fill,5,2014
41,4,23,149,11,0,0,0,0,183,763,Gap-fill,5,2014
42,12,0,3,7,0,0,0,0,10,763,Gap-fill,5,2014
43,15,0,0,0,0,0,0,0,0,763,Gap-fill,5,2014
44,18,0,0,0,0,0,0,0,0,763,Gap-fill,5,2014
45,22,0,0,3,0,0,1,0,4,763,Gap-fill,5,2014
46,33,1,0,0,0,0,0,2,3,763,Gap-fill,5,2014
47,Total,32,162,21,0,0,1,2,218,763,Gap-fill,5,2014
48,3,1,3,0,0,0,0,0,4,7422,Gap-fill,5,2022
49,4,4,75,33,0,0,0,1,113,7422,Gap-fill,5,2022
50,12,0,0,1,0,0,0,0,1,7422,Gap-fill,5,2022
51,15,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2022
52,18,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2022
53,22,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2022
54,33,0,0,0,0,0,0,2,2,7422,Gap-fill,5,2022
55,Total,5,78,34,0,0,0,3,120,7422,Gap-fill,5,2022
56,3,0,3,0,0,0,0,0,3,755,Gap-fill,5,2022
57,4,10,113,7,0,0,3,0,133,755,Gap-fill,5,2022
58,12,0,0,1,0,0,1,0,2,755,Gap-fill,5,2022
59,15,0,0,0,0,0,0,0,0,755,Gap-fill,5,2022
60,18,0,0,0,0,0,0,0,0,755,Gap-fill,5,2022
61,22,0,1,1,0,0,6,0,8,755,Gap-fill,5,2022
62,33,3,1,0,0,0,0,2,6,755,Gap-fill,5,2022
63,Total,13,118,9,0,0,10,2,152,755,Gap-fill,5,2022
64,3,7,1,0,0,0,1,0,9,772,Gap-fill,5,2011
65,4,22,79,7,0,0,1,0,109,772,Gap-fill,5,2011
66,12,1,0,0,0,0,0,0,1,772,Gap-fill,5,2011
67,15,0,0,0,0,0,0,0,0,772,Gap-fill,5,2011
68,18,0,0,0,0,0,0,0,0,772,Gap-fill,5,2011
69,22,0,0,0,0,0,1,0,1,772,Gap-fill,5,2011
70,33,0,0,0,0,0,0,1,1,772,Gap-fill,5,2011
71,Total,30,80,7,0,0,3,1,121,772,Gap-fill,5,2011
72,3,0,0,0,0,0,0,0,0,758,Gap-fill,5,2012
73,4,0,70,3,0,0,1,0,74,758,Gap-fill,5,2012
74,12,0,0,0,0,0,1,0,1,758,Gap-fill,5,2012
75,15,0,0,0,0,0,0,0,0,758,Gap-fill,5,2012
76,18,0,0,0,0,0,0,0,0,758,Gap-fill,5,2012
77,22,0,0,0,0,0,1,0,1,758,Gap-fill,5,2012
78,33,0,0,0,0,0,2,1,3,758,Gap-fill,5,2012
79,Total,0,70,3,0,0,5,1,79,758,Gap-fill,5,2012
80,3,0,2,0,0,0,0,0,2,76116,Gap-fill,5,2020
81,4,1,100,4,0,0,2,0,107,76116,Gap-fill,5,2020
82,12,0,0,1,0,0,1,0,2,76116,Gap-fill,5,2020
83,15,0,0,0,0,0,0,0,0,76116,Gap-fill,5,2020
84,18,0,0,0,0,0,0,0,0,76116,Gap-fill,5,2020
85,22,0,0,0,0,0,1,0,1,76116,Gap-fill,5,2020
86,33,9,0,0,0,0,0,0,9,76116,Gap-fill,5,2020
87,Total,10,102,5,0,0,4,0,121,76116,Gap-fill,5,2020
88,3,0,0,0,0,0,0,0,0,773,Gap-fill,9,2010
89,4,0,1,0,0,0,0,0,1,773,Gap-fill,9,2010
90,12,0,0,0,0,0,0,1,1,773,Gap-fill,9,2010
91,15,0,0,0,0,0,0,0,0,773,Gap-fill,9,2010
92,18,0,0,0,0,0,0,0,0,773,Gap-fill,9,2010
93,22,1,0,0,0,0,0,0,1,773,Gap-fill,9,2010
94,33,0,0,0,0,0,0,0,0,773,Gap-fill,9,2010
95,Total,1,1,0,0,0,0,1,3,773,Gap-fill,9,2010
96,3,4,8,0,0,0,0,0,12,754,Gap-fill,9,1988
97,4,65,381,0,0,0,2,0,448,754,Gap-fill,9,1988
98,12,0,5,0,0,0,1,0,6,754,Gap-fill,9,1988
99,15,0,0,0,0,0,0,0,0,754,Gap-fill,9,1988
100,18,0,0,0,0,0,0,0,0,754,Gap-fill,9,1988
101,22,0,1,0,0,0,3,0,4,754,Gap-fill,9,1988
102,33,1,3,0,0,0,1,12,17,754,Gap-fill,9,1988
103,Total,70,398,0,0,0,7,12,487,754,Gap-fill,9,1988
104,3,1,15,1,0,0,2,0,19,751,Gap-fill,9,2008
105,4,0,123,1,0,0,1,0,125,751,Gap-fill,9,2008
106,12,0,2,1,0,0,2,0,5,751,Gap-fill,9,2008
107,15,0,0,0,0,0,0,0,0,751,Gap-fill,9,2008
108,18,0,0,0,0,0,0,0,0,751,Gap-fill,9,2008
109,22,0,2,3,0,0,4,0,9,751,Gap-fill,9,2008
110,33,0,0,1,0,0,2,0,3,751,Gap-fill,9,2008
111,Total,1,142,7,0,0,11,0,161,751,Gap-fill,9,2008
112,3,0,1,0,0,0,0,0,1,7421,Gap-fill,9,2019
113,4,3,55,3,0,0,1,0,62,7421,Gap-fill,9,2019
114,12,0,0,0,0,0,1,0,1,7421,Gap-fill,9,2019
115,15,0,0,0,0,0,0,0,0,7421,Gap-fill,9,2019
116,18,0,0,0,0,0,0,0,0,7421,Gap-fill,9,2019
117,22,0,0,0,0,0,0,0,0,7421,Gap-fill,9,2019
118,33,0,0,0,0,0,0,0,0,7421,Gap-fill,9,2019
119,Total,3,56,3,0,0,2,0,64,7421,Gap-fill,9,2019
120,3,15,11,0,0,0,0,1,27,7741,Gap-fill,5,1989
121,4,26,71,6,0,0,2,0,105,7741,Gap-fill,5,1989
122,12,0,7,2,0,0,0,0,9,7741,Gap-fill,5,1989
123,15,0,0,0,0,0,0,0,0,7741,Gap-fill,5,1989
124,18,0,0,0,0,0,0,0,0,7741,Gap-fill,5,1989
125,22,0,1,0,0,0,0,0,1,7741,Gap-fill,5,1989
126,33,0,0,0,0,0,0,0,0,7741,Gap-fill,5,1989
127,Total,41,90,8,0,0,2,1,142,7741,Gap-fill,5,1989
128,3,2,2,0,0,0,0,0,4,7422,Gap-fill,5,2020
