,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,0,7,0,2,0,0,9,76111,Gap-fillV2,15,2018
1,4,0,24,3,8,0,0,35,76111,Gap-fillV2,15,2018
2,12,0,0,0,0,0,0,0,76111,Gap-fillV2,15,2018
3,21,0,38,18,75,0,0,131,76111,Gap-fillV2,15,2018
4,22,0,0,2,0,0,0,2,76111,Gap-fillV2,15,2018
5,33,0,0,0,0,0,3,3,76111,Gap-fillV2,15,2018
6,Total,0,69,23,85,0,3,180,76111,Gap-fillV2,15,2018
7,3,2,2,2,2,0,0,8,759,Gap-fillV2,15,2003
8,4,0,16,8,10,0,0,34,759,Gap-fillV2,15,2003
9,12,0,0,0,0,0,0,0,759,Gap-fillV2,15,2003
10,21,1,19,11,38,1,0,70,759,Gap-fillV2,15,2003
11,22,0,2,0,0,0,0,2,759,Gap-fillV2,15,2003
12,33,0,0,0,1,0,0,1,759,Gap-fillV2,15,2003
13,Total,3,39,21,51,1,0,115,759,Gap-fillV2,15,2003
14,3,0,0,0,0,0,0,0,7614,Gap-fillV2,15,2021
15,4,6,51,4,7,0,0,68,7614,Gap-fillV2,15,2021
16,12,0,0,0,0,0,0,0,7614,Gap-fillV2,15,2021
17,21,2,25,6,30,0,1,64,7614,Gap-fillV2,15,2021
18,22,0,0,0,0,0,0,0,7614,Gap-fillV2,15,2021
19,33,0,0,0,0,0,0,0,7614,Gap-fillV2,15,2021
20,Total,8,76,10,37,0,1,132,7614,Gap-fillV2,15,2021
21,3,0,6,0,2,0,0,8,767,Gap-fillV2,15,1987
22,4,0,46,0,8,0,0,54,767,Gap-fillV2,15,1987
23,12,0,0,0,1,0,0,1,767,Gap-fillV2,15,1987
24,21,0,4,0,33,0,0,37,767,Gap-fillV2,15,1987
25,22,0,1,0,0,0,0,1,767,Gap-fillV2,15,1987
26,33,0,0,0,0,0,0,0,767,Gap-fillV2,15,1987
27,Total,0,57,0,44,0,0,101,767,Gap-fillV2,15,1987
28,3,1,1,0,0,0,0,2,741,Gap-fillV2,15,1998
29,4,11,63,5,0,0,0,79,741,Gap-fillV2,15,1998
30,12,0,2,0,2,0,0,4,741,Gap-fillV2,15,1998
31,21,3,10,2,3,2,0,20,741,Gap-fillV2,15,1998
32,22,0,0,0,0,0,0,0,741,Gap-fillV2,15,1998
33,33,0,0,0,0,0,2,2,741,Gap-fillV2,15,1998
34,Total,15,76,7,5,2,2,107,741,Gap-fillV2,15,1998
35,3,1,1,0,0,0,0,2,741,Gap-fillV2,15,2000
36,4,7,71,2,0,0,0,80,741,Gap-fillV2,15,2000
37,12,0,0,1,3,0,0,4,741,Gap-fillV2,15,2000
38,21,2,9,3,5,0,0,19,741,Gap-fillV2,15,2000
39,22,0,0,0,0,0,0,0,741,Gap-fillV2,15,2000
40,33,0,0,0,0,0,2,2,741,Gap-fillV2,15,2000
41,Total,10,81,6,8,0,2,107,741,Gap-fillV2,15,2000
42,3,2,1,0,0,0,0,3,752,Gap-fillV2,15,2017
43,4,7,104,7,3,0,0,121,752,Gap-fillV2,15,2017
44,12,1,3,0,0,0,0,4,752,Gap-fillV2,15,2017
45,21,0,22,1,8,0,0,31,752,Gap-fillV2,15,2017
46,22,0,1,0,3,0,0,4,752,Gap-fillV2,15,2017
47,33,0,0,1,0,0,1,2,752,Gap-fillV2,15,2017
48,Total,10,131,9,14,0,1,165,752,Gap-fillV2,15,2017
49,3,1,3,0,0,0,0,4,7422,Gap-fillV2,15,2010
50,4,5,83,14,21,0,0,123,7422,Gap-fillV2,15,2010
51,12,0,1,0,5,1,0,7,7422,Gap-fillV2,15,2010
52,21,2,16,5,21,2,0,46,7422,Gap-fillV2,15,2010
53,22,0,0,0,0,0,0,0,7422,Gap-fillV2,15,2010
54,33,0,0,0,0,0,1,1,7422,Gap-fillV2,15,2010
55,Total,8,103,19,47,3,1,181,7422,Gap-fillV2,15,2010
56,3,0,0,0,0,0,0,0,773,Gap-fillV2,15,2017
57,4,0,0,0,2,0,0,2,773,Gap-fillV2,15,2017
58,12,0,1,0,0,0,0,1,773,Gap-fillV2,15,2017
59,21,0,3,1,30,0,0,34,773,Gap-fillV2,15,2017
60,22,1,0,0,1,0,0,2,773,Gap-fillV2,15,2017
61,33,0,0,0,0,0,0,0,773,Gap-fillV2,15,2017
62,Total,1,4,1,33,0,0,39,773,Gap-fillV2,15,2017
63,3,0,8,0,5,0,0,13,776,Gap-fillV2,15,2007
64,4,0,109,12,57,0,0,178,776,Gap-fillV2,15,2007
65,12,0,0,8,1,0,0,9,776,Gap-fillV2,15,2007
66,21,0,38,17,93,3,0,151,776,Gap-fillV2,15,2007
67,22,0,0,2,0,0,0,2,776,Gap-fillV2,15,2007
68,33,0,0,0,0,0,0,0,776,Gap-fillV2,15,2007
69,Total,0,155,39,156,3,0,353,776,Gap-fillV2,15,2007
70,3,0,0,0,0,0,0,0,773,Gap-fillV2,15,2002
71,4,0,4,0,0,0,0,4,773,Gap-fillV2,15,2002
72,12,0,1,0,0,0,0,1,773,Gap-fillV2,15,2002
73,21,1,4,2,25,0,0,32,773,Gap-fillV2,15,2002
74,22,0,0,0,2,0,0,2,773,Gap-fillV2,15,2002
75,33,0,0,0,0,0,0,0,773,Gap-fillV2,15,2002
76,Total,1,9,2,27,0,0,39,773,Gap-fillV2,15,2002
77,3,0,2,0,1,0,0,3,7612,Gap-fillV2,15,2000
78,4,0,85,9,11,0,0,105,7612,Gap-fillV2,15,2000
79,12,0,2,4,2,0,0,8,7612,Gap-fillV2,15,2000
80,21,0,20,7,27,1,0,55,7612,Gap-fillV2,15,2000
81,22,0,0,1,2,0,0,3,7612,Gap-fillV2,15,2000
82,33,0,1,0,0,0,2,3,7612,Gap-fillV2,15,2000
83,Total,0,110,21,43,1,2,177,7612,Gap-fillV2,15,2000
84,3,0,6,1,4,0,0,11,776,Gap-fillV2,15,2011
85,4,0,98,17,55,0,0,170,776,Gap-fillV2,15,2011
86,12,0,0,8,0,1,0,9,776,Gap-fillV2,15,2011
87,21,0,17,17,122,5,0,161,776,Gap-fillV2,15,2011
88,22,0,0,2,0,0,0,2,776,Gap-fillV2,15,2011
89,33,0,0,0,0,0,0,0,776,Gap-fillV2,15,2011
90,Total,0,121,45,181,6,0,353,776,Gap-fillV2,15,2011
91,3,15,10,0,2,0,0,27,7741,Gap-fillV2,15,2003
92,4,12,72,11,8,0,0,103,7741,Gap-fillV2,15,2003
93,12,0,9,0,0,0,0,9,7741,Gap-fillV2,15,2003
94,21,2,46,11,46,0,0,105,7741,Gap-fillV2,15,2003
95,22,0,0,1,0,0,0,1,7741,Gap-fillV2,15,2003
96,33,0,0,0,0,0,0,0,7741,Gap-fillV2,15,2003
97,Total,29,137,23,56,0,0,245,7741,Gap-fillV2,15,2003
98,3,17,6,0,0,1,0,24,753,Gap-fillV2,15,1988
99,4,94,229,9,11,0,0,343,753,Gap-fillV2,15,1988
100,12,1,7,0,1,1,0,10,753,Gap-fillV2,15,1988
101,21,21,56,2,14,4,0,97,753,Gap-fillV2,15,1988
102,22,6,2,2,3,5,1,19,753,Gap-fillV2,15,1988
103,33,5,2,2,0,1,8,18,753,Gap-fillV2,15,1988
104,Total,144,302,15,29,12,9,511,753,Gap-fillV2,15,1988
105,3,5,22,0,0,0,0,27,7741,Gap-fillV2,15,1989
106,4,12,82,9,12,0,0,115,7741,Gap-fillV2,15,1989
107,12,0,7,0,2,0,0,9,7741,Gap-fillV2,15,1989
108,21,0,42,9,41,1,0,93,7741,Gap-fillV2,15,1989
109,22,0,1,0,0,0,0,1,7741,Gap-fillV2,15,1989
110,33,0,0,0,0,0,0,0,7741,Gap-fillV2,15,1989
111,Total,17,154,18,55,1,0,245,7741,Gap-fillV2,15,1989
112,3,2,0,0,0,0,0,2,775,Gap-fillV2,15,2022
113,4,1,3,0,0,0,0,4,775,Gap-fillV2,15,2022
114,12,0,0,0,0,0,1,1,775,Gap-fillV2,15,2022
115,21,1,2,2,8,0,0,13,775,Gap-fillV2,15,2022
116,22,0,0,0,0,0,0,0,775,Gap-fillV2,15,2022
117,33,0,0,0,0,0,0,0,775,Gap-fillV2,15,2022
118,Total,4,5,2,8,0,1,20,775,Gap-fillV2,15,2022
119,3,17,17,0,0,0,0,34,746,Gap-fillV2,15,1995
120,4,19,107,0,7,0,0,133,746,Gap-fillV2,15,1995
121,12,1,0,0,2,0,0,3,746,Gap-fillV2,15,1995
122,21,0,7,0,5,0,0,12,746,Gap-fillV2,15,1995
123,22,0,2,0,1,0,0,3,746,Gap-fillV2,15,1995
124,33,0,0,0,0,0,1,1,746,Gap-fillV2,15,1995
