,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year
0,3,0,15,0,1,0,0,0,16,7621,Gap-fill,10,2005
1,4,0,21,0,4,0,0,0,25,7621,Gap-fill,10,2005
2,12,0,1,0,0,0,0,0,1,7621,Gap-fill,10,2005
3,21,0,2,0,19,1,0,0,22,7621,Gap-fill,10,2005
4,22,0,0,0,0,0,0,0,0,7621,Gap-fill,10,2005
5,27,0,0,0,0,0,0,0,0,7621,Gap-fill,10,2005
6,33,0,0,0,0,0,0,0,0,7621,Gap-fill,10,2005
7,Total,0,39,0,24,1,0,0,64,7621,Gap-fill,10,2005
8,3,25,7,0,0,1,0,0,33,753,Gap-fill,5,2002
9,4,106,218,1,9,18,0,0,352,753,Gap-fill,5,2002
10,12,3,6,0,2,4,0,0,15,753,Gap-fill,5,2002
11,21,29,51,1,11,44,0,0,136,753,Gap-fill,5,2002
12,22,3,1,0,0,19,0,0,23,753,Gap-fill,5,2002
13,27,0,0,0,0,0,0,0,0,753,Gap-fill,5,2002
14,33,4,1,2,0,1,0,10,18,753,Gap-fill,5,2002
15,Total,170,284,4,22,87,0,10,577,753,Gap-fill,5,2002
16,3,1,1,0,1,0,0,0,3,771,Gap-fill,10,2005
17,4,7,84,11,17,4,0,1,124,771,Gap-fill,10,2005
18,12,0,2,1,1,0,0,0,4,771,Gap-fill,10,2005
19,21,3,52,1,92,6,0,1,155,771,Gap-fill,10,2005
20,22,0,1,0,1,0,0,0,2,771,Gap-fill,10,2005
21,27,0,1,0,0,0,0,0,1,771,Gap-fill,10,2005
22,33,0,0,0,0,0,0,1,1,771,Gap-fill,10,2005
23,Total,11,141,13,112,10,0,3,290,771,Gap-fill,10,2005
24,3,0,0,0,0,0,0,0,0,773,Gap-fill,5,1991
25,4,1,6,0,2,0,0,0,9,773,Gap-fill,5,1991
26,12,0,0,0,0,0,0,1,1,773,Gap-fill,5,1991
27,21,0,13,0,22,0,0,0,35,773,Gap-fill,5,1991
28,22,0,0,0,1,0,0,1,2,773,Gap-fill,5,1991
29,27,0,0,0,0,0,0,0,0,773,Gap-fill,5,1991
30,33,0,0,0,0,0,0,0,0,773,Gap-fill,5,1991
