,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
0,3,0,15,0,0,0,0,0,0,15,7621,Gap-fill,10,2005
1,4,0,21,0,0,0,0,0,0,21,7621,Gap-fill,10,2005
2,12,0,1,0,0,0,0,0,0,1,7621,Gap-fill,10,2005
3,15,0,0,0,0,0,0,0,0,0,7621,Gap-fill,10,2005
4,18,0,0,0,0,0,0,0,0,0,7621,Gap-fill,10,2005
5,22,0,0,0,0,0,0,0,0,0,7621,Gap-fill,10,2005
6,27,0,0,0,0,0,0,0,0,0,7621,Gap-fill,10,2005
7,33,0,0,0,0,0,0,0,0,0,7621,Gap-fill,10,2005
8,Total,0,37,0,0,0,0,0,0,37,7621,Gap-fill,10,2005
9,3,25,7,0,0,0,1,0,0,33,753,Gap-fill,5,2002
10,4,106,218,1,0,0,18,0,0,343,753,Gap-fill,5,2002
11,12,3,6,0,0,0,4,0,0,13,753,Gap-fill,5,2002
12,15,0,0,0,0,0,0,0,0,0,753,Gap-fill,5,2002
13,18,0,0,0,0,0,0,0,0,0,753,Gap-fill,5,2002
14,22,3,1,0,0,0,19,0,0,23,753,Gap-fill,5,2002
15,27,0,0,0,0,0,0,0,0,0,753,Gap-fill,5,2002
16,33,4,1,2,0,0,1,0,10,18,753,Gap-fill,5,2002
17,Total,141,233,3,0,0,43,0,10,430,753,Gap-fill,5,2002
18,3,1,1,0,0,0,0,0,0,2,771,Gap-fill,10,2005
19,4,7,84,11,0,0,4,0,1,107,771,Gap-fill,10,2005
20,12,0,2,1,0,0,0,0,0,3,771,Gap-fill,10,2005
21,15,0,0,0,0,0,0,0,0,0,771,Gap-fill,10,2005
22,18,0,0,0,0,0,0,0,0,0,771,Gap-fill,10,2005
23,22,0,1,0,0,0,0,0,0,1,771,Gap-fill,10,2005
24,27,0,1,0,0,0,0,0,0,1,771,Gap-fill,10,2005
25,33,0,0,0,0,0,0,0,1,1,771,Gap-fill,10,2005
26,Total,8,89,12,0,0,4,0,2,115,771,Gap-fill,10,2005
27,3,0,0,0,0,0,0,0,0,0,773,Gap-fill,5,1991
28,4,1,6,0,0,0,0,0,0,7,773,Gap-fill,5,1991
29,12,0,0,0,0,0,0,0,1,1,773,Gap-fill,5,1991
30,15,0,0,0,0,0,0,0,0,0,773,Gap-fill,5,1991
31,18,0,0,0,0,0,0,0,0,0,773,Gap-fill,5,1991
32,22,0,0,0,0,0,0,0,1,1,773,Gap-fill,5,1991
33,27,0,0,0,0,0,0,0,0,0,773,Gap-fill,5,1991
34,33,0,0,0,0,0,0,0,0,0,773,Gap-fill,5,1991
35,Total,1,6,0,0,0,0,0,2,9,773,Gap-fill,5,1991
36,3,0,4,0,0,0,0,0,0,4,755,Gap-fill,5,1991
37,4,4,131,1,0,0,4,0,2,142,755,Gap-fill,5,1991
38,12,0,1,1,0,0,1,0,0,3,755,Gap-fill,5,1991
39,15,0,0,0,0,0,0,0,0,0,755,Gap-fill,5,1991
40,18,0,0,0,0,0,0,0,0,0,755,Gap-fill,5,1991
41,22,0,1,1,0,0,6,0,0,8,755,Gap-fill,5,1991
42,27,0,0,0,0,0,0,0,0,0,755,Gap-fill,5,1991
43,33,1,0,0,0,0,0,0,2,3,755,Gap-fill,5,1991
44,Total,5,137,3,0,0,11,0,4,160,755,Gap-fill,5,1991
45,3,167,181,5,0,0,9,0,4,366,Caatinga,Gap-fill,5,2011
46,4,619,3778,356,0,0,65,0,10,4828,Caatinga,Gap-fill,5,2011
47,12,16,46,46,0,0,44,0,8,160,Caatinga,Gap-fill,5,2011
48,15,0,0,0,0,0,0,0,0,0,Caatinga,Gap-fill,5,2011
49,18,0,0,0,0,0,0,0,0,0,Caatinga,Gap-fill,5,2011
50,22,6,25,10,0,0,66,0,1,108,Caatinga,Gap-fill,5,2011
51,27,6,3,0,0,0,0,0,0,9,Caatinga,Gap-fill,5,2011
52,33,11,14,4,0,0,6,0,115,150,Caatinga,Gap-fill,5,2011
53,Total,825,4047,421,0,0,190,0,138,5621,Caatinga,Gap-fill,5,2011
54,3,0,1,0,0,0,0,0,0,1,7618,Gap-fill,10,1992
55,4,0,93,17,0,0,1,0,0,111,7618,Gap-fill,10,1992
56,12,0,2,1,0,0,0,0,0,3,7618,Gap-fill,10,1992
57,15,0,0,0,0,0,0,0,0,0,7618,Gap-fill,10,1992
58,18,0,0,0,0,0,0,0,0,0,7618,Gap-fill,10,1992
59,22,0,0,0,0,0,1,0,0,1,7618,Gap-fill,10,1992
60,27,0,0,0,0,0,0,0,0,0,7618,Gap-fill,10,1992
61,33,0,0,0,0,0,0,0,0,0,7618,Gap-fill,10,1992
62,Total,0,96,18,0,0,2,0,0,116,7618,Gap-fill,10,1992
63,3,1,1,0,0,0,0,0,0,2,741,Gap-fill,5,1986
64,4,20,63,1,0,0,0,0,0,84,741,Gap-fill,5,1986
65,12,0,1,1,0,0,0,0,0,2,741,Gap-fill,5,1986
66,15,0,0,0,0,0,0,0,0,0,741,Gap-fill,5,1986
67,18,0,0,0,0,0,0,0,0,0,741,Gap-fill,5,1986
68,22,0,0,0,0,0,0,0,0,0,741,Gap-fill,5,1986
69,27,0,0,0,0,0,0,0,0,0,741,Gap-fill,5,1986
70,33,0,0,0,0,0,0,0,2,2,741,Gap-fill,5,1986
71,Total,21,65,2,0,0,0,0,2,90,741,Gap-fill,5,1986
72,3,8,10,0,0,0,0,0,0,18,763,Gap-fill,5,2014
73,4,23,149,11,0,0,1,0,0,184,763,Gap-fill,5,2014
74,12,0,3,7,0,0,0,0,0,10,763,Gap-fill,5,2014
75,15,0,0,0,0,0,0,0,0,0,763,Gap-fill,5,2014
76,18,0,0,0,0,0,0,0,0,0,763,Gap-fill,5,2014
77,22,0,0,3,0,0,1,0,0,4,763,Gap-fill,5,2014
78,27,0,0,0,0,0,0,0,0,0,763,Gap-fill,5,2014
79,33,1,0,0,0,0,0,0,2,3,763,Gap-fill,5,2014
80,Total,32,162,21,0,0,2,0,2,219,763,Gap-fill,5,2014
81,3,1,3,0,0,0,0,0,0,4,7422,Gap-fill,5,2022
82,4,4,76,35,0,0,0,0,1,116,7422,Gap-fill,5,2022
83,12,0,0,1,0,0,0,0,0,1,7422,Gap-fill,5,2022
84,15,0,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2022
85,18,0,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2022
86,22,0,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2022
87,27,0,0,0,0,0,0,0,0,0,7422,Gap-fill,5,2022
