,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
0,3,0,6,0,1,0,0,0,7,7622,RF,7,2008
1,4,0,20,1,2,0,0,0,23,7622,RF,7,2008
2,12,0,0,0,1,0,0,0,1,7622,RF,7,2008
3,15,0,2,0,4,0,0,0,6,7622,RF,7,2008
4,18,0,0,0,0,0,0,0,0,7622,RF,7,2008
5,22,0,0,0,0,0,0,0,0,7622,RF,7,2008
6,33,0,0,0,0,0,0,0,0,7622,RF,7,2008
7,Total,0,28,1,8,0,0,0,37,7622,RF,7,2008
8,3,0,0,0,0,0,0,0,0,772,RF,7,2013
9,4,2,10,0,6,2,0,0,20,772,RF,7,2013
10,12,0,0,0,0,0,0,0,0,772,RF,7,2013
11,15,2,2,2,7,1,4,0,18,772,RF,7,2013
12,18,0,0,0,1,0,0,0,1,772,RF,7,2013
13,22,0,0,0,0,0,0,0,0,772,RF,7,2013
14,33,0,0,0,0,0,0,0,0,772,RF,7,2013
15,Total,4,12,2,14,3,4,0,39,772,RF,7,2013
16,3,2,0,0,1,0,0,0,3,7612,RF,6,2000
17,4,7,53,2,6,0,0,0,68,7612,RF,6,2000
18,12,0,0,1,4,0,2,0,7,7612,RF,6,2000
19,15,0,7,1,16,0,0,0,24,7612,RF,6,2000
20,18,0,0,0,0,0,0,0,0,7612,RF,6,2000
21,22,0,0,0,0,0,1,0,1,7612,RF,6,2000
22,33,1,0,0,0,0,0,2,3,7612,RF,6,2000
23,Total,10,60,4,27,0,3,2,106,7612,RF,6,2000
24,3,1,1,0,0,0,0,0,2,76116,RF,5,2014
25,4,7,56,9,26,0,4,0,102,76116,RF,5,2014
26,12,0,0,1,1,0,2,0,4,76116,RF,5,2014
27,15,0,7,5,30,0,6,0,48,76116,RF,5,2014
28,18,0,0,0,2,0,0,0,2,76116,RF,5,2014
29,22,0,0,0,0,0,0,0,0,76116,RF,5,2014
30,33,0,0,0,0,0,0,9,9,76116,RF,5,2014
31,Total,8,64,15,59,0,12,9,167,76116,RF,5,2014
32,3,0,0,0,0,0,0,0,0,7616,RF,7,1993
33,4,0,32,21,0,7,0,0,60,7616,RF,7,1993
34,12,0,0,3,0,0,0,0,3,7616,RF,7,1993
35,15,0,2,3,0,2,6,0,13,7616,RF,7,1993
36,18,0,2,1,0,4,0,0,7,7616,RF,7,1993
37,22,0,0,0,0,0,0,0,0,7616,RF,7,1993
38,33,0,0,0,0,0,0,0,0,7616,RF,7,1993
39,Total,0,36,28,0,13,6,0,83,7616,RF,7,1993
40,3,4,9,1,0,0,0,0,14,763,RF,6,1995
41,4,10,90,15,13,0,0,0,128,763,RF,6,1995
42,12,0,2,6,1,0,0,0,9,763,RF,6,1995
43,15,0,11,8,71,0,6,0,96,763,RF,6,1995
44,18,0,0,0,0,0,0,0,0,763,RF,6,1995
45,22,0,0,1,0,0,1,0,2,763,RF,6,1995
46,33,0,0,0,0,0,0,1,1,763,RF,6,1995
47,Total,14,112,31,85,0,7,1,250,763,RF,6,1995
48,3,0,0,0,0,0,0,0,0,7618,RF,7,2012
49,4,0,39,16,2,0,1,0,58,7618,RF,7,2012
50,12,0,0,1,0,0,0,0,1,7618,RF,7,2012
51,15,0,3,1,6,15,0,0,25,7618,RF,7,2012
52,18,0,0,0,0,0,0,0,0,7618,RF,7,2012
53,22,0,0,0,0,0,1,0,1,7618,RF,7,2012
54,33,0,0,0,0,0,0,0,0,7618,RF,7,2012
55,Total,0,42,18,8,15,2,0,85,7618,RF,7,2012
56,3,2,0,0,0,0,0,0,2,745,RF,5,2001
57,4,23,1,0,0,0,1,0,25,745,RF,5,2001
58,12,0,0,0,0,0,0,0,0,745,RF,5,2001
59,15,0,1,0,1,0,0,0,2,745,RF,5,2001
60,18,0,2,0,0,0,0,0,2,745,RF,5,2001
61,22,0,0,0,0,0,0,0,0,745,RF,5,2001
62,33,0,0,0,0,0,0,0,0,745,RF,5,2001
63,Total,25,4,0,1,0,1,0,31,745,RF,5,2001
64,3,1,3,0,0,3,0,0,7,754,RF,7,1992
65,4,7,78,15,11,58,9,0,178,754,RF,7,1992
66,12,0,3,0,2,1,1,0,7,754,RF,7,1992
67,15,4,12,1,10,22,11,0,60,754,RF,7,1992
68,18,0,0,0,3,0,1,0,4,754,RF,7,1992
69,22,0,0,0,1,0,2,0,3,754,RF,7,1992
70,33,1,0,3,1,0,1,5,11,754,RF,7,1992
71,Total,13,96,19,28,84,25,5,270,754,RF,7,1992
