,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year,15,18
0,3,4,2,2,0.0,0,0.0,0,8,759,RF,12,2000,,
1,4,10,19,10,20.0,0,0.0,0,59,759,RF,12,2000,,
2,12,0,0,0,0.0,0,0.0,0,0,759,RF,12,2000,,
3,21,6,11,31,54.0,0,0.0,0,102,759,RF,12,2000,,
4,22,0,0,4,0.0,0,0.0,0,4,759,RF,12,2000,,
5,27,0,0,0,1.0,0,0.0,0,1,759,RF,12,2000,,
6,33,0,1,0,0.0,0,0.0,0,1,759,RF,12,2000,,
7,Total,20,33,47,75.0,0,0.0,0,175,759,RF,12,2000,,
8,3,0,3,0,0.0,0,0.0,0,3,755,RF,11,2019,,
9,4,0,148,0,15.0,1,0.0,0,164,755,RF,11,2019,,
10,12,0,2,0,2.0,0,0.0,0,4,755,RF,11,2019,,
11,21,0,50,0,37.0,1,0.0,0,88,755,RF,11,2019,,
12,22,0,3,0,4.0,2,0.0,1,10,755,RF,11,2019,,
13,27,0,0,0,0.0,0,0.0,0,0,755,RF,11,2019,,
14,33,0,3,0,0.0,1,0.0,1,5,755,RF,11,2019,,
15,Total,0,209,0,58.0,5,0.0,2,274,755,RF,11,2019,,
16,3,7,3,0,0.0,0,0.0,0,10,772,RF,11,2014,,
17,4,7,112,6,1.0,0,0.0,0,126,772,RF,11,2014,,
18,12,0,1,0,0.0,0,0.0,0,1,772,RF,11,2014,,
19,21,6,169,32,62.0,3,0.0,0,272,772,RF,11,2014,,
20,22,0,0,0,2.0,0,0.0,0,2,772,RF,11,2014,,
21,27,0,1,0,0.0,0,0.0,0,1,772,RF,11,2014,,
22,33,0,1,0,0.0,0,0.0,0,1,772,RF,11,2014,,
23,Total,20,287,38,65.0,3,0.0,0,413,772,RF,11,2014,,
24,3,0,0,0,0.0,0,0.0,0,0,773,RF,10,2003,,
25,4,0,4,0,1.0,0,0.0,0,5,773,RF,10,2003,,
26,12,0,1,0,0.0,0,0.0,0,1,773,RF,10,2003,,
27,21,3,25,0,10.0,0,0.0,0,38,773,RF,10,2003,,
28,22,0,2,0,1.0,0,0.0,0,3,773,RF,10,2003,,
