,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,0,1,0,1,0,0,2,7615,RF,30,1985
1,4,0,149,1,42,0,0,192,7615,RF,30,1985
2,12,0,10,0,11,0,0,21,7615,RF,30,1985
3,21,0,20,0,25,0,1,46,7615,RF,30,1985
4,22,0,1,0,2,0,0,3,7615,RF,30,1985
5,33,0,0,0,0,0,2,2,7615,RF,30,1985
6,Total,0,181,1,81,0,3,266,7615,RF,30,1985
7,3,10,17,0,0,0,0,27,7741,RF,30,1994
8,4,16,67,6,14,0,1,104,7741,RF,30,1994
9,12,0,5,1,2,0,0,8,7741,RF,30,1994
10,21,5,28,9,46,0,1,89,7741,RF,30,1994
11,22,0,0,1,0,0,0,1,7741,RF,30,1994
12,33,0,0,0,0,0,0,0,7741,RF,30,1994
13,Total,31,117,17,62,0,2,229,7741,RF,30,1994
14,3,5,14,0,1,0,0,20,765,RF,30,1986
15,4,3,113,0,41,0,0,157,765,RF,30,1986
16,12,0,0,0,0,0,0,0,765,RF,30,1986
17,21,0,18,0,65,0,0,83,765,RF,30,1986
18,22,0,1,0,1,0,3,5,765,RF,30,1986
19,33,0,0,0,0,0,2,2,765,RF,30,1986
20,Total,8,146,0,108,0,5,267,765,RF,30,1986
21,3,0,0,0,0,0,0,0,7613,RF,30,1994
22,4,1,109,0,43,0,0,153,7613,RF,30,1994
23,12,0,2,0,15,0,0,17,7613,RF,30,1994
24,21,0,13,0,7,0,0,20,7613,RF,30,1994
25,22,0,1,0,0,0,0,1,7613,RF,30,1994
26,33,0,0,0,0,0,1,1,7613,RF,30,1994
27,Total,1,125,0,65,0,1,192,7613,RF,30,1994
28,3,0,0,0,0,0,0,0,7613,RF,30,2013
29,4,3,117,0,29,0,1,150,7613,RF,30,2013
30,12,0,3,0,13,0,0,16,7613,RF,30,2013
31,21,0,11,0,12,0,0,23,7613,RF,30,2013
32,22,0,1,0,0,0,0,1,7613,RF,30,2013
33,33,1,0,0,0,0,0,1,7613,RF,30,2013
34,Total,4,132,0,54,0,1,191,7613,RF,30,2013
35,3,11,6,0,2,0,0,19,751,RF,30,2009
36,4,48,81,1,3,0,0,133,751,RF,30,2009
37,12,0,3,3,2,0,0,8,751,RF,30,2009
38,21,8,29,0,8,0,0,45,751,RF,30,2009
39,22,0,5,1,0,0,0,6,751,RF,30,2009
40,33,0,1,2,0,0,0,3,751,RF,30,2009
41,Total,67,125,7,15,0,0,214,751,RF,30,2009
42,3,0,0,0,0,0,0,0,7617,RF,30,2007
43,4,0,129,0,20,0,0,149,7617,RF,30,2007
44,12,0,2,0,2,0,1,5,7617,RF,30,2007
45,21,0,10,0,20,0,0,30,7617,RF,30,2007
46,22,0,0,0,0,0,1,1,7617,RF,30,2007
47,33,1,0,0,0,0,34,35,7617,RF,30,2007
48,Total,1,141,0,42,0,36,220,7617,RF,30,2007
49,3,16,7,2,2,0,0,27,753,RF,30,2010
50,4,87,82,7,137,0,1,314,753,RF,30,2010
51,12,2,1,2,4,0,0,9,753,RF,30,2010
52,21,20,15,3,63,0,2,103,753,RF,30,2010
53,22,2,0,2,14,0,0,18,753,RF,30,2010
54,33,2,1,4,2,0,7,16,753,RF,30,2010
55,Total,129,106,20,222,0,10,487,753,RF,30,2010
56,3,4,1,0,2,0,0,7,757,RF,30,2014
57,4,13,59,1,69,0,0,142,757,RF,30,2014
58,12,0,0,0,2,0,0,2,757,RF,30,2014
59,21,8,17,1,108,0,0,134,757,RF,30,2014
60,22,0,1,0,2,0,0,3,757,RF,30,2014
61,33,2,0,0,3,0,2,7,757,RF,30,2014
62,Total,27,78,2,186,0,2,295,757,RF,30,2014
63,3,3,3,0,1,0,0,7,757,RF,30,2005
64,4,17,90,1,34,0,0,142,757,RF,30,2005
65,12,0,0,0,2,0,0,2,757,RF,30,2005
66,21,7,40,3,81,3,0,134,757,RF,30,2005
67,22,0,1,0,2,0,0,3,757,RF,30,2005
68,33,1,2,0,0,0,4,7,757,RF,30,2005
69,Total,28,136,4,120,3,4,295,757,RF,30,2005
70,3,2,1,0,1,0,0,4,7742,RF,30,1999
71,4,2,11,0,9,0,2,24,7742,RF,30,1999
72,12,0,0,0,2,0,0,2,7742,RF,30,1999
73,21,2,12,0,92,0,0,106,7742,RF,30,1999
74,22,0,0,0,1,0,0,1,7742,RF,30,1999
75,33,0,0,0,0,0,2,2,7742,RF,30,1999
76,Total,6,24,0,105,0,4,139,7742,RF,30,1999
77,3,9,7,3,1,0,0,20,776,RF,30,1998
78,4,9,95,2,72,0,0,178,776,RF,30,1998
79,12,0,4,0,5,0,0,9,776,RF,30,1998
80,21,5,19,1,119,0,0,144,776,RF,30,1998
81,22,0,0,1,1,0,0,2,776,RF,30,1998
82,33,0,0,0,0,0,1,1,776,RF,30,1998
83,Total,23,125,7,198,0,1,354,776,RF,30,1998
84,3,9,10,0,0,0,0,19,7741,RF,30,1995
85,4,3,76,2,13,0,0,94,7741,RF,30,1995
86,12,0,7,1,0,0,0,8,7741,RF,30,1995
87,21,3,40,2,41,0,0,86,7741,RF,30,1995
88,22,0,0,1,0,0,0,1,7741,RF,30,1995
89,33,0,0,0,0,0,0,0,7741,RF,30,1995
90,Total,15,133,6,54,0,0,208,7741,RF,30,1995
91,3,4,8,0,1,0,0,13,744,RF,30,1985
92,4,40,307,4,64,0,1,416,744,RF,30,1985
93,12,0,6,2,7,0,1,16,744,RF,30,1985
94,21,0,13,1,37,0,0,51,744,RF,30,1985
95,22,0,1,0,0,0,0,1,744,RF,30,1985
96,33,0,1,0,1,0,0,2,744,RF,30,1985
97,Total,44,336,7,110,0,2,499,744,RF,30,1985
98,3,12,24,0,2,0,0,38,746,RF,30,1988
99,4,8,129,0,22,0,0,159,746,RF,30,1988
100,12,0,1,0,4,0,0,5,746,RF,30,1988
101,21,0,4,0,12,0,0,16,746,RF,30,1988
102,22,0,1,0,2,0,0,3,746,RF,30,1988
103,33,0,0,0,0,0,1,1,746,RF,30,1988
104,Total,20,159,0,42,0,1,222,746,RF,30,1988
105,3,0,0,0,0,0,0,0,7618,RF,30,2014
106,4,1,80,3,18,0,0,102,7618,RF,30,2014
107,12,0,1,0,2,0,0,3,7618,RF,30,2014
108,21,0,8,0,45,0,0,53,7618,RF,30,2014
109,22,0,0,0,0,1,0,1,7618,RF,30,2014
110,33,0,0,0,0,0,0,0,7618,RF,30,2014
111,Total,1,89,3,65,1,0,159,7618,RF,30,2014
112,3,3,8,0,2,0,0,13,766,RF,30,2022
113,4,0,106,0,14,1,0,121,766,RF,30,2022
114,12,0,5,0,1,1,0,7,766,RF,30,2022
115,21,1,29,0,116,2,0,148,766,RF,30,2022
116,22,0,1,0,3,0,0,4,766,RF,30,2022
117,33,0,0,0,0,0,2,2,766,RF,30,2022
118,Total,4,149,0,136,4,2,295,766,RF,30,2022
119,3,3,15,0,1,0,0,19,763,RF,30,2011
120,4,10,165,4,54,0,0,233,763,RF,30,2011
121,12,1,4,4,6,0,0,15,763,RF,30,2011
122,21,1,24,0,125,0,1,151,763,RF,30,2011
123,22,0,2,1,1,0,0,4,763,RF,30,2011
124,33,0,0,0,0,0,3,3,763,RF,30,2011
125,Total,15,210,9,187,0,4,425,763,RF,30,2011
126,3,1,0,0,1,0,0,2,76116,RF,30,2006
127,4,9,44,4,78,0,0,135,76116,RF,30,2006
