,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
0,3,0,0,0,0,0,0,0.0,0,0,773,RF,10,2003
1,4,0,4,0,1,0,0,0.0,0,5,773,RF,10,2003
2,12,0,1,0,0,0,0,0.0,0,1,773,RF,10,2003
3,15,3,25,0,10,0,0,0.0,0,38,773,RF,10,2003
4,18,0,0,0,0,0,0,0.0,0,0,773,RF,10,2003
5,22,0,2,0,1,0,0,0.0,0,3,773,RF,10,2003
6,27,0,0,0,0,0,0,0.0,0,0,773,RF,10,2003
7,33,0,0,0,0,0,0,0.0,0,0,773,RF,10,2003
8,Total,3,32,0,12,0,0,0.0,0,47,773,RF,10,2003
9,3,0,4,0,0,0,0,0.0,0,4,755,RF,10,1996
10,4,0,98,0,36,0,3,23.0,0,160,755,RF,10,1996
11,12,0,0,0,3,0,3,0.0,0,6,755,RF,10,1996
12,15,0,24,0,42,0,8,8.0,0,82,755,RF,10,1996
13,18,0,0,0,5,0,0,3.0,0,8,755,RF,10,1996
14,22,0,0,0,2,0,4,5.0,0,11,755,RF,10,1996
15,27,0,0,0,0,0,0,0.0,0,0,755,RF,10,1996
16,33,0,1,0,1,0,0,1.0,1,4,755,RF,10,1996
17,Total,0,127,0,89,0,18,40.0,1,275,755,RF,10,1996
18,3,0,6,0,1,0,0,,0,7,7622,RF,7,2008
19,4,0,20,1,2,0,0,,0,23,7622,RF,7,2008
20,12,0,0,0,1,0,0,,0,1,7622,RF,7,2008
21,15,0,2,0,4,0,0,,0,6,7622,RF,7,2008
22,18,0,0,0,0,0,0,,0,0,7622,RF,7,2008
23,22,0,0,0,0,0,0,,0,0,7622,RF,7,2008
24,33,0,0,0,0,0,0,,0,0,7622,RF,7,2008
25,Total,0,28,1,8,0,0,,0,37,7622,RF,7,2008
26,3,0,0,0,0,0,0,,0,0,772,RF,7,2013
27,4,2,10,0,6,2,0,,0,20,772,RF,7,2013
28,12,0,0,0,0,0,0,,0,0,772,RF,7,2013
29,15,2,2,2,7,1,4,,0,18,772,RF,7,2013
30,18,0,0,0,1,0,0,,0,1,772,RF,7,2013
31,22,0,0,0,0,0,0,,0,0,772,RF,7,2013
32,33,0,0,0,0,0,0,,0,0,772,RF,7,2013
33,Total,4,12,2,14,3,4,,0,39,772,RF,7,2013
34,3,0,11,0,0,0,0,0.0,0,11,76111,RF,10,1992
35,4,0,42,1,5,0,0,0.0,0,48,76111,RF,10,1992
36,12,0,0,0,0,0,0,0.0,0,0,76111,RF,10,1992
37,15,0,90,8,42,0,4,1.0,1,146,76111,RF,10,1992
38,18,0,1,0,0,0,0,0.0,0,1,76111,RF,10,1992
39,22,0,0,0,0,0,1,0.0,0,1,76111,RF,10,1992
40,27,0,0,0,1,0,0,0.0,0,1,76111,RF,10,1992
41,33,0,0,0,0,0,0,0.0,3,3,76111,RF,10,1992
42,Total,0,144,9,48,0,5,1.0,4,211,76111,RF,10,1992
43,3,2,0,0,1,0,0,,0,3,7612,RF,6,2000
44,4,7,53,2,6,0,0,,0,68,7612,RF,6,2000
45,12,0,0,1,4,0,2,,0,7,7612,RF,6,2000
46,15,0,7,1,16,0,0,,0,24,7612,RF,6,2000
47,18,0,0,0,0,0,0,,0,0,7612,RF,6,2000
48,22,0,0,0,0,0,1,,0,1,7612,RF,6,2000
49,33,1,0,0,0,0,0,,2,3,7612,RF,6,2000
50,Total,10,60,4,27,0,3,,2,106,7612,RF,6,2000
51,3,0,24,0,2,0,0,0.0,0,26,776,RF,10,1986
