,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
0,3,0,12,1,0,0,1,4,18,751,Spatial,9,2020
1,4,0,130,0,0,0,0,1,131,751,Spatial,9,2020
2,12,0,6,0,0,0,2,0,8,751,Spatial,9,2020
3,15,0,0,0,0,0,0,0,0,751,Spatial,9,2020
4,18,0,0,0,0,0,0,0,0,751,Spatial,9,2020
5,22,0,5,1,0,0,5,0,11,751,Spatial,9,2020
6,33,0,0,0,0,0,1,2,3,751,Spatial,9,2020
7,Total,0,153,2,0,0,9,7,171,751,Spatial,9,2020
8,3,0,0,0,0,0,0,0,0,773,Spatial,9,2003
9,4,1,2,0,0,0,1,0,4,773,Spatial,9,2003
10,12,1,0,0,0,0,0,0,1,773,Spatial,9,2003
11,15,0,0,0,0,0,0,0,0,773,Spatial,9,2003
12,18,0,0,0,0,0,0,0,0,773,Spatial,9,2003
13,22,0,0,0,0,0,0,0,0,773,Spatial,9,2003
14,33,0,0,0,0,0,0,0,0,773,Spatial,9,2003
15,Total,2,2,0,0,0,1,0,5,773,Spatial,9,2003
16,3,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
17,4,10,56,0,0,0,0,0,66,7614,Spatial,5,2014
18,12,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
19,15,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
20,18,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
21,22,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
22,33,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
23,Total,10,56,0,0,0,0,0,66,7614,Spatial,5,2014
24,3,0,4,0,0,0,0,0,4,755,Spatial,9,1987
25,4,0,151,0,0,0,3,0,154,755,Spatial,9,1987
26,12,0,1,0,0,0,4,0,5,755,Spatial,9,1987
27,15,0,0,0,0,0,0,0,0,755,Spatial,9,1987
28,18,0,0,0,0,0,0,0,0,755,Spatial,9,1987
29,22,0,0,0,0,0,5,0,5,755,Spatial,9,1987
30,33,0,1,0,0,0,0,2,3,755,Spatial,9,1987
31,Total,0,157,0,0,0,12,2,171,755,Spatial,9,1987
32,3,0,14,0,0,0,0,0,14,765,Spatial,9,1998
33,4,0,75,0,0,0,2,0,77,765,Spatial,9,1998
34,12,0,0,0,0,0,0,0,0,765,Spatial,9,1998
35,15,0,0,0,0,0,0,0,0,765,Spatial,9,1998
36,18,0,0,0,0,0,0,0,0,765,Spatial,9,1998
37,22,0,1,0,0,0,4,0,5,765,Spatial,9,1998
38,33,0,1,0,0,0,0,1,2,765,Spatial,9,1998
39,Total,0,91,0,0,0,6,1,98,765,Spatial,9,1998
40,3,4,4,0,0,0,0,0,8,764,Spatial,5,2006
41,4,1,21,0,0,0,2,0,24,764,Spatial,5,2006
