,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year
0,3,5,10,0,2,0,0,0,17,Caatinga,SpatialV2,15,2012
1,4,18,777,6,144,0,0,1,946,Caatinga,SpatialV2,15,2012
2,12,0,2,3,17,0,0,1,23,Caatinga,SpatialV2,15,2012
3,21,1,190,6,333,3,0,1,534,Caatinga,SpatialV2,15,2012
4,22,0,3,0,5,0,0,0,8,Caatinga,SpatialV2,15,2012
5,27,0,0,0,0,0,0,0,0,Caatinga,SpatialV2,15,2012
6,33,1,3,0,8,1,0,27,40,Caatinga,SpatialV2,15,2012
7,Total,25,985,15,509,4,0,30,1568,Caatinga,SpatialV2,15,2012
8,3,0,0,0,0,0,0,0,0,758,SpatialV2,15,2001
9,4,0,61,0,28,0,0,0,89,758,SpatialV2,15,2001
10,12,0,0,1,1,0,0,0,2,758,SpatialV2,15,2001
11,21,0,23,1,42,1,0,1,68,758,SpatialV2,15,2001
12,22,0,0,0,0,0,0,0,0,758,SpatialV2,15,2001
13,27,0,0,0,0,0,0,0,0,758,SpatialV2,15,2001
14,33,0,0,0,2,0,0,0,2,758,SpatialV2,15,2001
15,Total,0,84,2,73,1,0,1,161,758,SpatialV2,15,2001
16,3,0,0,0,0,0,0,0,0,758,SpatialV2,15,2019
17,4,0,65,2,12,0,0,0,79,758,SpatialV2,15,2019
18,12,0,0,0,2,0,0,0,2,758,SpatialV2,15,2019
19,21,1,24,2,49,0,0,0,76,758,SpatialV2,15,2019
20,22,0,0,0,0,0,0,0,0,758,SpatialV2,15,2019
21,27,0,0,0,0,0,0,0,0,758,SpatialV2,15,2019
22,33,0,1,0,1,1,0,1,4,758,SpatialV2,15,2019
23,Total,1,90,4,64,1,0,1,161,758,SpatialV2,15,2019
24,3,5,10,0,2,0,0,0,17,Caatinga,SpatialV2,15,2006
25,4,17,699,1,221,0,0,1,939,Caatinga,SpatialV2,15,2006
26,12,1,5,3,14,0,0,1,24,Caatinga,SpatialV2,15,2006
27,21,4,185,8,341,1,0,3,542,Caatinga,SpatialV2,15,2006
28,22,0,2,1,5,1,0,0,9,Caatinga,SpatialV2,15,2006
29,27,0,0,0,0,0,0,0,0,Caatinga,SpatialV2,15,2006
30,33,3,5,0,2,0,0,27,37,Caatinga,SpatialV2,15,2006
31,Total,30,906,13,585,2,0,32,1568,Caatinga,SpatialV2,15,2006
32,3,5,14,0,2,0,0,0,21,Caatinga,SpatialV2,15,1990
33,4,17,734,6,231,4,0,0,992,Caatinga,SpatialV2,15,1990
34,12,0,5,1,16,0,0,1,23,Caatinga,SpatialV2,15,1990
35,21,5,180,1,303,2,0,2,493,Caatinga,SpatialV2,15,1990
36,22,0,1,0,7,1,0,0,9,Caatinga,SpatialV2,15,1990
37,27,0,0,0,0,0,0,0,0,Caatinga,SpatialV2,15,1990
38,33,0,7,3,2,0,0,18,30,Caatinga,SpatialV2,15,1990
39,Total,27,941,11,561,7,0,21,1568,Caatinga,SpatialV2,15,1990
40,3,4,6,0,0,0,0,0,10,754,SpatialV2,15,1998
41,4,10,376,3,91,0,0,0,480,754,SpatialV2,15,1998
42,12,0,6,1,7,0,0,0,14,754,SpatialV2,15,1998
43,21,3,83,7,109,0,0,2,204,754,SpatialV2,15,1998
44,22,0,2,0,2,0,0,0,4,754,SpatialV2,15,1998
45,27,0,0,0,0,0,0,0,0,754,SpatialV2,15,1998
46,33,2,3,0,1,0,0,5,11,754,SpatialV2,15,1998
47,Total,19,476,11,210,0,0,7,723,754,SpatialV2,15,1998
48,3,0,4,0,0,0,0,0,4,756,SpatialV2,15,2019
49,4,2,218,8,26,0,0,0,254,756,SpatialV2,15,2019
50,12,1,2,2,2,0,0,0,7,756,SpatialV2,15,2019
51,21,0,52,4,65,1,0,0,122,756,SpatialV2,15,2019
52,22,0,0,1,1,0,0,0,2,756,SpatialV2,15,2019
53,27,0,0,0,0,0,0,0,0,756,SpatialV2,15,2019
54,33,0,0,0,0,0,0,6,6,756,SpatialV2,15,2019
55,Total,3,276,15,94,1,0,6,395,756,SpatialV2,15,2019
56,3,0,0,0,0,0,0,0,0,758,SpatialV2,15,1986
57,4,0,78,1,17,1,0,1,98,758,SpatialV2,15,1986
58,12,0,0,1,0,1,0,0,2,758,SpatialV2,15,1986
59,21,1,27,1,29,1,0,0,59,758,SpatialV2,15,1986
60,22,0,0,0,0,0,0,0,0,758,SpatialV2,15,1986
61,27,0,0,0,0,0,0,0,0,758,SpatialV2,15,1986
62,33,0,0,0,0,0,0,2,2,758,SpatialV2,15,1986
63,Total,1,105,3,46,3,0,3,161,758,SpatialV2,15,1986
64,3,2,1,0,1,0,0,0,4,757,SpatialV2,15,1987
65,4,7,114,0,34,1,0,0,156,757,SpatialV2,15,1987
66,12,0,1,0,1,0,0,0,2,757,SpatialV2,15,1987
67,21,2,36,0,82,0,0,0,120,757,SpatialV2,15,1987
68,22,0,0,0,1,0,0,0,1,757,SpatialV2,15,1987
69,27,0,0,0,0,0,0,0,0,757,SpatialV2,15,1987
70,33,1,1,0,1,0,0,3,6,757,SpatialV2,15,1987
71,Total,12,153,0,120,1,0,3,289,757,SpatialV2,15,1987
72,3,4,6,0,0,0,0,0,10,754,SpatialV2,15,1996
73,4,9,355,1,113,0,0,0,478,754,SpatialV2,15,1996
74,12,0,2,1,10,0,0,1,14,754,SpatialV2,15,1996
75,21,3,85,3,112,0,0,2,205,754,SpatialV2,15,1996
76,22,0,0,0,4,0,0,0,4,754,SpatialV2,15,1996
77,27,0,0,0,0,0,0,0,0,754,SpatialV2,15,1996
78,33,0,4,2,0,0,0,6,12,754,SpatialV2,15,1996
79,Total,16,452,7,239,0,0,9,723,754,SpatialV2,15,1996
80,3,1,2,0,1,0,0,0,4,757,SpatialV2,15,2013
81,4,4,101,0,35,0,0,0,140,757,SpatialV2,15,2013
82,12,0,0,0,2,0,0,0,2,757,SpatialV2,15,2013
83,21,0,29,0,105,0,0,0,134,757,SpatialV2,15,2013
84,22,0,1,0,1,0,0,0,2,757,SpatialV2,15,2013
85,27,0,0,0,0,0,0,0,0,757,SpatialV2,15,2013
86,33,1,1,0,3,0,0,2,7,757,SpatialV2,15,2013
87,Total,6,134,0,147,0,0,2,289,757,SpatialV2,15,2013
88,3,6,15,0,1,0,0,0,22,Caatinga,SpatialV2,15,1987
89,4,19,823,6,183,3,0,1,1035,Caatinga,SpatialV2,15,1987
90,12,0,8,2,11,1,0,1,23,Caatinga,SpatialV2,15,1987
91,21,5,173,8,263,0,0,0,449,Caatinga,SpatialV2,15,1987
92,22,0,1,1,3,2,0,0,7,Caatinga,SpatialV2,15,1987
93,27,0,0,0,0,0,0,0,0,Caatinga,SpatialV2,15,1987
94,33,1,4,3,4,1,0,19,32,Caatinga,SpatialV2,15,1987
95,Total,31,1024,20,465,7,0,21,1568,Caatinga,SpatialV2,15,1987
96,3,4,6,0,2,0,0,0,12,754,SpatialV2,15,2018
97,4,10,360,0,94,0,0,0,464,754,SpatialV2,15,2018
98,12,0,4,2,8,0,0,0,14,754,SpatialV2,15,2018
99,21,2,73,1,138,1,0,1,216,754,SpatialV2,15,2018
100,22,0,1,0,3,0,0,0,4,754,SpatialV2,15,2018
101,27,0,0,0,0,0,0,0,0,754,SpatialV2,15,2018
102,33,1,4,0,1,0,0,7,13,754,SpatialV2,15,2018
103,Total,17,448,3,246,1,0,8,723,754,SpatialV2,15,2018
104,3,1,2,0,1,0,0,0,4,757,SpatialV2,15,1989
105,4,3,108,0,44,0,0,0,155,757,SpatialV2,15,1989
106,12,0,0,0,2,0,0,0,2,757,SpatialV2,15,1989
107,21,3,18,0,96,4,0,0,121,757,SpatialV2,15,1989
108,22,0,0,0,0,1,0,0,1,757,SpatialV2,15,1989
109,27,0,0,0,0,0,0,0,0,757,SpatialV2,15,1989
110,33,1,0,1,2,0,0,2,6,757,SpatialV2,15,1989
111,Total,8,128,1,145,5,0,2,289,757,SpatialV2,15,1989
112,3,4,7,0,0,0,0,0,11,754,SpatialV2,15,2016
113,4,10,367,0,90,0,0,0,467,754,SpatialV2,15,2016
114,12,0,5,2,7,0,0,0,14,754,SpatialV2,15,2016
115,21,1,66,2,148,0,0,0,217,754,SpatialV2,15,2016
116,22,0,1,0,3,0,0,0,4,754,SpatialV2,15,2016
117,27,0,0,0,0,0,0,0,0,754,SpatialV2,15,2016
118,33,1,3,0,1,1,0,4,10,754,SpatialV2,15,2016
119,Total,16,449,4,249,1,0,4,723,754,SpatialV2,15,2016
120,3,0,0,0,0,0,0,0,0,758,SpatialV2,15,2008
121,4,0,58,0,25,0,0,0,83,758,SpatialV2,15,2008
122,12,0,0,1,0,1,0,0,2,758,SpatialV2,15,2008
123,21,1,42,3,26,1,0,0,73,758,SpatialV2,15,2008
124,22,0,0,0,0,0,0,0,0,758,SpatialV2,15,2008
125,27,0,0,0,0,0,0,0,0,758,SpatialV2,15,2008
126,33,0,1,0,0,0,0,2,3,758,SpatialV2,15,2008
127,Total,1,101,4,51,2,0,2,161,758,SpatialV2,15,2008
128,3,0,6,0,0,0,0,0,6,756,SpatialV2,15,2000
129,4,2,171,9,63,0,0,0,245,756,SpatialV2,15,2000
130,12,0,1,1,4,0,0,0,6,756,SpatialV2,15,2000
