,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,0,0,0,0,0,0,0,7618,SpatialV3St1,18,2014
1,4,0,94,4,4,0,0,102,7618,SpatialV3St1,18,2014
2,12,0,2,0,0,1,0,3,7618,SpatialV3St1,18,2014
3,21,0,14,1,38,0,0,53,7618,SpatialV3St1,18,2014
4,22,0,0,1,0,0,0,1,7618,SpatialV3St1,18,2014
5,33,0,0,0,0,0,0,0,7618,SpatialV3St1,18,2014
6,Total,0,110,6,42,1,0,159,7618,SpatialV3St1,18,2014
7,3,0,5,1,0,0,0,6,7619,SpatialV3St1,18,2000
8,4,0,253,14,5,1,0,273,7619,SpatialV3St1,18,2000
9,12,0,7,2,1,1,2,13,7619,SpatialV3St1,18,2000
10,21,0,13,7,33,0,2,55,7619,SpatialV3St1,18,2000
11,22,0,1,0,0,0,0,1,7619,SpatialV3St1,18,2000
12,33,0,0,0,0,0,1,1,7619,SpatialV3St1,18,2000
13,Total,0,279,24,39,2,5,349,7619,SpatialV3St1,18,2000
14,3,2,2,0,0,0,0,4,7742,SpatialV3St1,18,2015
15,4,2,13,0,4,0,0,19,7742,SpatialV3St1,18,2015
16,12,0,0,2,0,0,0,2,7742,SpatialV3St1,18,2015
17,21,1,12,9,89,0,0,111,7742,SpatialV3St1,18,2015
18,22,0,0,0,1,0,0,1,7742,SpatialV3St1,18,2015
19,33,0,0,0,0,0,0,0,7742,SpatialV3St1,18,2015
20,Total,5,27,11,94,0,0,137,7742,SpatialV3St1,18,2015
21,3,1,3,0,0,0,0,4,757,SpatialV3St1,18,2016
22,4,3,110,1,28,0,1,143,757,SpatialV3St1,18,2016
23,12,0,1,0,1,0,0,2,757,SpatialV3St1,18,2016
24,21,1,22,0,108,0,0,131,757,SpatialV3St1,18,2016
25,22,0,1,0,2,0,0,3,757,SpatialV3St1,18,2016
26,33,1,1,0,3,0,2,7,757,SpatialV3St1,18,2016
27,Total,6,138,1,142,0,3,290,757,SpatialV3St1,18,2016
28,3,0,0,0,0,0,0,0,7613,SpatialV3St1,18,2013
29,4,0,117,0,32,1,0,150,7613,SpatialV3St1,18,2013
30,12,0,3,0,14,0,0,17,7613,SpatialV3St1,18,2013
31,21,0,11,0,12,0,0,23,7613,SpatialV3St1,18,2013
32,22,0,1,0,0,0,0,1,7613,SpatialV3St1,18,2013
33,33,0,0,0,0,0,1,1,7613,SpatialV3St1,18,2013
34,Total,0,132,0,58,1,1,192,7613,SpatialV3St1,18,2013
35,3,0,5,1,0,0,0,6,7619,SpatialV3St1,18,2015
36,4,0,251,11,10,0,0,272,7619,SpatialV3St1,18,2015
37,12,0,6,3,3,1,0,13,7619,SpatialV3St1,18,2015
38,21,0,16,4,36,0,0,56,7619,SpatialV3St1,18,2015
39,22,0,1,0,0,0,0,1,7619,SpatialV3St1,18,2015
40,33,0,0,0,0,0,1,1,7619,SpatialV3St1,18,2015
41,Total,0,279,19,49,1,1,349,7619,SpatialV3St1,18,2015
42,3,0,16,0,2,0,0,18,7621,SpatialV3St1,18,1990
43,4,0,21,0,6,0,0,27,7621,SpatialV3St1,18,1990
44,12,0,1,0,0,0,0,1,7621,SpatialV3St1,18,1990
45,21,0,5,0,13,0,0,18,7621,SpatialV3St1,18,1990
46,22,0,0,0,0,0,0,0,7621,SpatialV3St1,18,1990
47,33,0,0,0,0,0,0,0,7621,SpatialV3St1,18,1990
48,Total,0,43,0,21,0,0,64,7621,SpatialV3St1,18,1990
49,3,0,3,0,0,0,0,3,7612,SpatialV3St1,18,2008
50,4,0,91,5,6,0,0,102,7612,SpatialV3St1,18,2008
51,12,0,2,4,2,0,0,8,7612,SpatialV3St1,18,2008
52,21,0,23,5,29,0,0,57,7612,SpatialV3St1,18,2008
53,22,0,0,2,1,1,0,4,7612,SpatialV3St1,18,2008
