,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,0,0,0,0,0,0,0,7613,SpatialV3,30,2009
1,4,5,100,5,42,0,0,152,7613,SpatialV3,30,2009
2,12,0,3,2,7,5,0,17,7613,SpatialV3,30,2009
3,21,0,6,1,14,0,0,21,7613,SpatialV3,30,2009
4,22,0,0,0,1,0,0,1,7613,SpatialV3,30,2009
5,33,0,0,0,0,0,1,1,7613,SpatialV3,30,2009
6,Total,5,109,8,64,5,1,192,7613,SpatialV3,30,2009
7,3,0,2,0,0,0,0,2,76116,SpatialV3,30,2000
8,4,4,96,1,35,0,0,136,76116,SpatialV3,30,2000
9,12,0,1,0,3,1,0,5,76116,SpatialV3,30,2000
10,21,1,16,4,58,1,0,80,76116,SpatialV3,30,2000
11,22,0,0,0,0,0,0,0,76116,SpatialV3,30,2000
12,33,0,0,0,0,0,9,9,76116,SpatialV3,30,2000
13,Total,5,115,5,96,2,9,232,76116,SpatialV3,30,2000
14,3,0,0,0,0,0,0,0,758,SpatialV3,30,2005
15,4,0,60,0,27,0,0,87,758,SpatialV3,30,2005
16,12,0,0,0,2,0,0,2,758,SpatialV3,30,2005
17,21,0,18,1,54,0,0,73,758,SpatialV3,30,2005
18,22,0,0,0,1,0,0,1,758,SpatialV3,30,2005
19,33,0,0,0,2,0,1,3,758,SpatialV3,30,2005
20,Total,0,78,1,86,0,1,166,758,SpatialV3,30,2005
21,3,1,3,0,0,0,0,4,755,SpatialV3,30,1995
22,4,13,97,0,46,2,0,158,755,SpatialV3,30,1995
23,12,0,0,0,6,0,0,6,755,SpatialV3,30,1995
24,21,0,20,0,59,4,0,83,755,SpatialV3,30,1995
25,22,0,0,0,6,5,0,11,755,SpatialV3,30,1995
26,33,1,0,0,1,0,2,4,755,SpatialV3,30,1995
27,Total,15,120,0,118,11,2,266,755,SpatialV3,30,1995
28,3,0,1,0,0,0,0,1,7421,SpatialV3,30,2001
29,4,0,57,1,11,0,0,69,7421,SpatialV3,30,2001
30,12,0,1,1,0,0,0,2,7421,SpatialV3,30,2001
31,21,0,8,2,7,0,0,17,7421,SpatialV3,30,2001
32,22,0,0,0,0,0,0,0,7421,SpatialV3,30,2001
33,33,0,0,0,0,0,0,0,7421,SpatialV3,30,2001
34,Total,0,67,4,18,0,0,89,7421,SpatialV3,30,2001
35,3,1,5,1,0,0,0,7,7619,SpatialV3,30,1990
36,4,10,231,10,19,0,0,270,7619,SpatialV3,30,1990
37,12,0,2,3,2,1,4,12,7619,SpatialV3,30,1990
38,21,0,7,1,48,0,1,57,7619,SpatialV3,30,1990
39,22,0,1,0,0,0,0,1,7619,SpatialV3,30,1990
40,33,0,0,0,0,0,2,2,7619,SpatialV3,30,1990
41,Total,11,246,15,69,1,7,349,7619,SpatialV3,30,1990
42,3,5,21,0,0,0,0,26,7622,SpatialV3,30,2008
43,4,4,94,0,5,0,0,103,7622,SpatialV3,30,2008
44,12,0,2,0,0,0,0,2,7622,SpatialV3,30,2008
45,21,0,10,0,9,0,0,19,7622,SpatialV3,30,2008
46,22,0,0,0,0,0,0,0,7622,SpatialV3,30,2008
47,33,0,0,0,0,0,0,0,7622,SpatialV3,30,2008
48,Total,9,127,0,14,0,0,150,7622,SpatialV3,30,2008
49,3,1,3,0,0,0,0,4,756,SpatialV3,30,2007
50,4,0,155,15,78,0,0,248,756,SpatialV3,30,2007
51,12,0,3,1,1,0,1,6,756,SpatialV3,30,2007
52,21,0,32,8,83,1,1,125,756,SpatialV3,30,2007
53,22,0,2,1,5,0,0,8,756,SpatialV3,30,2007
54,33,0,0,1,0,0,8,9,756,SpatialV3,30,2007
55,Total,1,195,26,167,1,10,400,756,SpatialV3,30,2007
56,3,1,0,0,1,0,0,2,76116,SpatialV3,30,2008
57,4,7,77,8,47,0,0,139,76116,SpatialV3,30,2008
58,12,0,0,1,4,0,0,5,76116,SpatialV3,30,2008
59,21,0,11,4,61,1,0,77,76116,SpatialV3,30,2008
60,22,0,0,0,0,0,0,0,76116,SpatialV3,30,2008
61,33,0,0,0,0,0,9,9,76116,SpatialV3,30,2008
62,Total,8,88,13,113,1,9,232,76116,SpatialV3,30,2008
63,3,3,1,0,0,0,0,4,775,SpatialV3,30,2016
64,4,0,4,0,2,0,0,6,775,SpatialV3,30,2016
65,12,0,0,0,1,0,0,1,775,SpatialV3,30,2016
66,21,1,4,2,9,0,0,16,775,SpatialV3,30,2016
67,22,0,0,0,0,0,0,0,775,SpatialV3,30,2016
68,33,0,0,0,0,0,0,0,775,SpatialV3,30,2016
69,Total,4,9,2,12,0,0,27,775,SpatialV3,30,2016
70,3,13,9,0,1,0,0,23,776,SpatialV3,30,1990
71,4,37,117,8,51,0,0,213,776,SpatialV3,30,1990
72,12,0,0,8,0,1,0,9,776,SpatialV3,30,1990
73,21,6,21,4,100,2,0,133,776,SpatialV3,30,1990
74,22,0,0,2,0,0,0,2,776,SpatialV3,30,1990
75,33,0,0,0,0,0,1,1,776,SpatialV3,30,1990
76,Total,56,147,22,152,3,1,381,776,SpatialV3,30,1990
77,3,0,1,0,0,0,0,1,7421,SpatialV3,30,2020
78,4,0,66,4,2,0,0,72,7421,SpatialV3,30,2020
79,12,0,0,0,2,0,0,2,7421,SpatialV3,30,2020
80,21,0,10,1,3,0,0,14,7421,SpatialV3,30,2020
