,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,0,1,0,0,0,0,1,777,SpatialV3su,36,1985
1,4,0,2,0,0,0,0,2,777,SpatialV3su,36,1985
2,12,0,1,1,0,0,0,2,777,SpatialV3su,36,1985
3,21,0,5,0,5,0,0,10,777,SpatialV3su,36,1985
4,22,0,0,0,0,0,0,0,777,SpatialV3su,36,1985
5,33,0,0,0,0,0,0,0,777,SpatialV3su,36,1985
6,Total,0,9,1,5,0,0,15,777,SpatialV3su,36,1985
7,3,3,5,0,1,0,0,9,745,SpatialV3su,36,1990
8,4,22,35,0,0,0,0,57,745,SpatialV3su,36,1990
9,12,0,2,0,0,0,0,2,745,SpatialV3su,36,1990
10,21,0,3,0,9,0,0,12,745,SpatialV3su,36,1990
11,22,0,0,0,0,0,0,0,745,SpatialV3su,36,1990
12,33,0,0,0,0,0,0,0,745,SpatialV3su,36,1990
13,Total,25,45,0,10,0,0,80,745,SpatialV3su,36,1990
14,3,1,12,0,0,0,0,13,744,SpatialV3su,36,2013
15,4,0,533,3,20,0,0,556,744,SpatialV3su,36,2013
16,12,0,10,3,6,0,0,19,744,SpatialV3su,36,2013
17,21,0,53,2,96,0,0,151,744,SpatialV3su,36,2013
18,22,0,1,0,1,0,0,2,744,SpatialV3su,36,2013
19,33,0,2,0,0,0,0,2,744,SpatialV3su,36,2013
20,Total,1,611,8,123,0,0,743,744,SpatialV3su,36,2013
21,3,0,0,0,0,0,0,0,7492,SpatialV3su,36,2012
22,4,0,2,0,1,0,0,3,7492,SpatialV3su,36,2012
23,12,0,0,0,0,0,0,0,7492,SpatialV3su,36,2012
24,21,0,0,0,0,0,0,0,7492,SpatialV3su,36,2012
25,22,0,0,0,0,0,0,0,7492,SpatialV3su,36,2012
26,33,0,0,0,0,0,0,0,7492,SpatialV3su,36,2012
27,Total,0,2,0,1,0,0,3,7492,SpatialV3su,36,2012
28,3,19,19,0,0,0,0,38,746,SpatialV3su,36,1990
29,4,10,141,0,7,0,0,158,746,SpatialV3su,36,1990
30,12,0,4,0,1,0,0,5,746,SpatialV3su,36,1990
31,21,0,7,0,10,0,0,17,746,SpatialV3su,36,1990
32,22,0,2,0,1,0,0,3,746,SpatialV3su,36,1990
33,33,0,0,0,0,0,1,1,746,SpatialV3su,36,1990
34,Total,29,173,0,19,0,1,222,746,SpatialV3su,36,1990
35,3,0,0,0,0,0,0,0,7616,SpatialV3su,36,1998
36,4,0,73,0,17,0,0,90,7616,SpatialV3su,36,1998
37,12,0,2,1,0,0,0,3,7616,SpatialV3su,36,1998
38,21,0,7,0,27,0,0,34,7616,SpatialV3su,36,1998
39,22,0,0,0,0,0,0,0,7616,SpatialV3su,36,1998
40,33,0,0,0,0,0,0,0,7616,SpatialV3su,36,1998
41,Total,0,82,1,44,0,0,127,7616,SpatialV3su,36,1998
42,3,5,6,0,1,0,0,12,759,SpatialV3su,36,1991
43,4,0,28,0,7,0,0,35,759,SpatialV3su,36,1991
44,12,0,0,0,0,0,0,0,759,SpatialV3su,36,1991
