,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year
0,3,13,20,0,0,0,0,0,33,746,Spatial,13,2000
1,4,23,106,0,4,0,0,0,133,746,Spatial,13,2000
2,12,0,1,0,2,0,0,0,3,746,Spatial,13,2000
3,21,0,7,0,6,0,0,0,13,746,Spatial,13,2000
4,22,0,0,0,2,0,0,0,2,746,Spatial,13,2000
5,27,0,0,0,0,0,0,0,0,746,Spatial,13,2000
6,33,0,0,0,0,0,0,1,1,746,Spatial,13,2000
7,Total,36,134,0,14,0,0,1,185,746,Spatial,13,2000
8,3,0,14,1,1,1,0,4,21,751,Spatial,9,2020
9,4,0,138,0,5,0,0,1,144,751,Spatial,9,2020
10,12,0,6,0,1,2,0,0,9,751,Spatial,9,2020
11,21,0,28,0,11,8,0,1,48,751,Spatial,9,2020
12,22,0,4,1,1,5,0,0,11,751,Spatial,9,2020
13,27,0,0,0,0,0,0,0,0,751,Spatial,9,2020
14,33,0,0,0,1,1,0,2,4,751,Spatial,9,2020
15,Total,0,190,2,20,17,0,8,237,751,Spatial,9,2020
16,3,0,0,0,0,0,0,0,0,773,Spatial,9,2003
17,4,1,3,0,0,1,0,0,5,773,Spatial,9,2003
18,12,1,0,0,0,0,0,0,1,773,Spatial,9,2003
19,21,2,14,0,21,1,0,0,38,773,Spatial,9,2003
20,22,0,0,0,2,1,0,0,3,773,Spatial,9,2003
21,27,0,0,0,0,0,0,0,0,773,Spatial,9,2003
22,33,0,0,0,0,0,0,0,0,773,Spatial,9,2003
23,Total,4,17,0,23,3,0,0,47,773,Spatial,9,2003
24,3,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
25,4,13,62,0,8,0,0,0,83,7614,Spatial,5,2014
26,12,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
27,21,2,21,0,46,7,0,0,76,7614,Spatial,5,2014
28,22,0,0,0,0,2,0,0,2,7614,Spatial,5,2014
29,27,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
30,33,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
31,Total,15,83,0,54,9,0,0,161,7614,Spatial,5,2014
32,3,0,4,0,0,0,0,0,4,755,Spatial,9,1987
33,4,0,154,0,22,3,0,0,179,755,Spatial,9,1987
34,12,0,1,0,1,4,0,0,6,755,Spatial,9,1987
35,21,0,29,0,37,10,0,0,76,755,Spatial,9,1987
36,22,0,0,0,2,5,0,0,7,755,Spatial,9,1987
37,27,0,0,0,0,0,0,0,0,755,Spatial,9,1987
38,33,0,1,0,0,0,0,2,3,755,Spatial,9,1987
39,Total,0,189,0,62,22,0,2,275,755,Spatial,9,1987
40,3,5,2,0,1,0,0,0,8,745,Spatial,10,1999
41,4,24,22,0,4,2,0,0,52,745,Spatial,10,1999
42,12,0,0,0,0,1,0,0,1,745,Spatial,10,1999
43,21,0,5,0,4,1,0,0,10,745,Spatial,10,1999
44,22,0,0,0,0,0,0,0,0,745,Spatial,10,1999
45,27,0,0,0,0,0,0,0,0,745,Spatial,10,1999
46,33,0,0,0,0,0,0,0,0,745,Spatial,10,1999
47,Total,29,29,0,9,4,0,0,71,745,Spatial,10,1999
48,3,18,13,1,0,1,0,0,33,753,Spatial,13,1995
49,4,57,265,3,17,4,0,0,346,753,Spatial,13,1995
50,12,2,11,0,1,1,0,0,15,753,Spatial,13,1995
51,21,27,62,2,33,13,0,0,137,753,Spatial,13,1995
52,22,8,8,1,1,5,0,0,23,753,Spatial,13,1995
53,27,2,0,0,2,3,0,0,7,753,Spatial,13,1995
54,33,5,3,3,0,0,0,5,16,753,Spatial,13,1995
55,Total,119,362,10,54,27,0,5,577,753,Spatial,13,1995
56,3,14,3,2,1,0,0,0,20,751,Spatial,13,2019
57,4,63,74,2,5,0,0,0,144,751,Spatial,13,2019
58,12,0,2,2,4,0,0,0,8,751,Spatial,13,2019
59,21,8,20,9,11,0,0,0,48,751,Spatial,13,2019
60,22,0,4,2,2,1,0,0,9,751,Spatial,13,2019
61,27,0,0,0,0,0,0,0,0,751,Spatial,13,2019
62,33,0,1,1,0,1,0,1,4,751,Spatial,13,2019
63,Total,85,104,18,23,2,0,1,233,751,Spatial,13,2019
64,3,0,14,0,1,0,0,0,15,765,Spatial,9,1998
65,4,0,75,0,37,2,0,0,114,765,Spatial,9,1998
66,12,0,0,0,0,0,0,0,0,765,Spatial,9,1998
67,21,0,12,0,89,3,0,0,104,765,Spatial,9,1998
68,22,0,0,0,1,0,0,0,1,765,Spatial,9,1998
69,27,0,0,0,0,0,0,0,0,765,Spatial,9,1998
70,33,0,1,0,0,0,0,1,2,765,Spatial,9,1998
71,Total,0,102,0,128,5,0,1,236,765,Spatial,9,1998
72,3,4,4,0,0,0,0,0,8,764,Spatial,5,2006
73,4,1,21,0,5,2,0,0,29,764,Spatial,5,2006
74,12,0,0,0,0,0,0,0,0,764,Spatial,5,2006
75,21,1,8,0,28,0,0,0,37,764,Spatial,5,2006
76,22,0,1,0,0,0,0,0,1,764,Spatial,5,2006
77,27,0,0,0,0,0,0,0,0,764,Spatial,5,2006
78,33,0,0,0,0,0,0,0,0,764,Spatial,5,2006
79,Total,6,34,0,33,2,0,0,75,764,Spatial,5,2006
80,3,2,4,0,0,0,0,0,6,752,Spatial,5,1997
81,4,23,92,1,9,0,0,1,126,752,Spatial,5,1997
82,12,0,1,0,3,0,0,0,4,752,Spatial,5,1997
83,21,8,12,1,11,0,0,0,32,752,Spatial,5,1997
84,22,0,1,0,1,2,0,0,4,752,Spatial,5,1997
85,27,0,0,0,0,0,0,0,0,752,Spatial,5,1997
86,33,0,0,0,0,1,0,2,3,752,Spatial,5,1997
87,Total,33,110,2,24,3,0,3,175,752,Spatial,5,1997
88,3,0,6,0,0,0,0,0,6,756,Spatial,13,1986
89,4,0,246,0,26,4,0,0,276,756,Spatial,13,1986
90,12,0,4,0,2,0,0,1,7,756,Spatial,13,1986
91,21,0,60,0,58,4,0,1,123,756,Spatial,13,1986
92,22,0,1,0,1,1,0,0,3,756,Spatial,13,1986
93,27,0,4,0,2,0,0,0,6,756,Spatial,13,1986
94,33,0,1,0,0,0,0,7,8,756,Spatial,13,1986
95,Total,0,322,0,89,9,0,9,429,756,Spatial,13,1986
96,3,2,5,0,1,0,0,0,8,759,Spatial,9,2008
97,4,0,33,1,21,1,0,2,58,759,Spatial,9,2008
98,12,0,0,0,0,0,0,0,0,759,Spatial,9,2008
99,21,1,34,8,51,8,0,1,103,759,Spatial,9,2008
100,22,0,0,0,2,2,0,0,4,759,Spatial,9,2008
101,27,0,2,0,0,0,0,0,2,759,Spatial,9,2008
102,33,0,1,0,0,0,0,0,1,759,Spatial,9,2008
103,Total,3,75,9,75,11,0,3,176,759,Spatial,9,2008
104,3,0,4,0,0,0,0,0,4,755,Spatial,10,1988
105,4,0,145,0,23,3,0,0,171,755,Spatial,10,1988
106,12,0,1,0,1,3,0,1,6,755,Spatial,10,1988
107,21,0,43,0,37,4,0,0,84,755,Spatial,10,1988
108,22,0,0,0,2,5,0,0,7,755,Spatial,10,1988
109,27,0,0,0,0,0,0,0,0,755,Spatial,10,1988
110,33,0,1,0,0,0,0,2,3,755,Spatial,10,1988
111,Total,0,194,0,63,15,0,3,275,755,Spatial,10,1988
112,3,0,15,0,0,0,0,0,15,7621,Spatial,5,2018
113,4,0,16,0,7,0,0,0,23,7621,Spatial,5,2018
114,12,0,1,0,0,0,0,0,1,7621,Spatial,5,2018
115,21,0,2,1,22,0,0,0,25,7621,Spatial,5,2018
116,22,0,0,0,0,0,0,0,0,7621,Spatial,5,2018
117,27,0,0,0,0,0,0,0,0,7621,Spatial,5,2018
118,33,0,0,0,0,0,0,0,0,7621,Spatial,5,2018
119,Total,0,34,1,29,0,0,0,64,7621,Spatial,5,2018
120,3,10,9,0,0,0,0,0,19,754,Spatial,10,1989
121,4,65,385,0,97,8,0,2,557,754,Spatial,10,1989
122,12,1,4,0,8,1,0,0,14,754,Spatial,10,1989
123,21,11,78,0,94,7,0,2,192,754,Spatial,10,1989
124,22,0,1,0,1,2,0,0,4,754,Spatial,10,1989
125,27,0,2,0,0,0,0,0,2,754,Spatial,10,1989
126,33,0,2,0,1,1,0,15,19,754,Spatial,10,1989
127,Total,87,481,0,201,19,0,19,807,754,Spatial,10,1989
128,3,0,4,0,0,0,0,0,4,755,Spatial,5,1999
129,4,10,133,2,1,17,0,0,163,755,Spatial,5,1999
130,12,0,1,1,0,4,0,0,6,755,Spatial,5,1999
131,21,1,31,6,19,30,0,0,87,755,Spatial,5,1999
132,22,0,2,0,1,8,0,0,11,755,Spatial,5,1999
133,27,0,0,0,0,0,0,0,0,755,Spatial,5,1999
134,33,1,0,0,0,1,0,2,4,755,Spatial,5,1999
135,Total,12,171,9,21,60,0,2,275,755,Spatial,5,1999
136,3,0,3,0,0,0,0,0,3,76116,Spatial,5,1994
137,4,0,107,9,30,3,0,0,149,76116,Spatial,5,1994
138,12,0,0,2,2,1,0,0,5,76116,Spatial,5,1994
139,21,0,14,3,69,2,0,0,88,76116,Spatial,5,1994
140,22,0,0,0,0,0,0,0,0,76116,Spatial,5,1994
141,27,0,1,0,0,0,0,0,1,76116,Spatial,5,1994
