,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
0,3,0,3,0,0,0,0,0,3,756,Temporal,5,2015
1,4,8,178,10,0,0,2,0,198,756,Temporal,5,2015
2,12,0,1,1,0,0,0,0,2,756,Temporal,5,2015
3,15,0,0,0,0,0,0,0,0,756,Temporal,5,2015
4,18,0,0,0,0,0,0,0,0,756,Temporal,5,2015
5,22,0,4,0,0,0,2,0,6,756,Temporal,5,2015
6,33,0,1,0,0,0,0,3,4,756,Temporal,5,2015
7,Total,8,187,11,0,0,4,3,213,756,Temporal,5,2015
8,3,0,4,0,0,0,0,0,4,755,Temporal,9,2000
9,4,0,145,0,0,0,2,0,147,755,Temporal,9,2000
10,12,0,1,0,0,0,3,0,4,755,Temporal,9,2000
11,15,0,0,0,0,0,0,0,0,755,Temporal,9,2000
12,18,0,0,0,0,0,0,0,0,755,Temporal,9,2000
13,22,0,2,0,0,0,6,0,8,755,Temporal,9,2000
14,33,0,3,0,0,0,0,1,4,755,Temporal,9,2000
15,Total,0,155,0,0,0,11,1,167,755,Temporal,9,2000
16,3,7,1,0,0,0,0,0,8,772,Temporal,5,1992
17,4,10,110,4,0,0,0,0,124,772,Temporal,5,1992
18,12,0,1,0,0,0,0,0,1,772,Temporal,5,1992
19,15,0,0,0,0,0,0,0,0,772,Temporal,5,1992
20,18,0,0,0,0,0,0,0,0,772,Temporal,5,1992
21,22,0,0,0,0,0,1,0,1,772,Temporal,5,1992
22,33,0,0,0,0,0,0,0,0,772,Temporal,5,1992
23,Total,17,112,4,0,0,1,0,134,772,Temporal,5,1992
24,3,1,1,0,0,0,0,0,2,741,Temporal,9,2015
25,4,4,68,1,0,0,1,0,74,741,Temporal,9,2015
26,12,0,1,0,0,0,0,0,1,741,Temporal,9,2015
27,15,0,0,0,0,0,0,0,0,741,Temporal,9,2015
28,18,0,0,0,0,0,0,0,0,741,Temporal,9,2015
29,22,0,0,0,0,0,0,0,0,741,Temporal,9,2015
30,33,0,0,1,0,0,0,1,2,741,Temporal,9,2015
31,Total,5,70,2,0,0,1,1,79,741,Temporal,9,2015
32,3,2,2,0,0,0,0,0,4,7422,Temporal,9,1987
33,4,5,116,0,0,0,1,0,122,7422,Temporal,9,1987
34,12,0,5,0,0,0,1,0,6,7422,Temporal,9,1987
35,15,0,0,0,0,0,0,0,0,7422,Temporal,9,1987
36,18,0,0,0,0,0,0,0,0,7422,Temporal,9,1987
37,22,0,0,0,0,0,0,0,0,7422,Temporal,9,1987
38,33,0,0,0,0,0,0,2,2,7422,Temporal,9,1987
39,Total,7,123,0,0,0,2,2,134,7422,Temporal,9,1987
40,3,0,1,0,0,0,0,0,1,7615,Temporal,9,1985
41,4,0,144,24,0,0,0,0,168,7615,Temporal,9,1985
42,12,0,0,2,0,0,2,0,4,7615,Temporal,9,1985
43,15,0,0,0,0,0,0,0,0,7615,Temporal,9,1985
44,18,0,0,0,0,0,0,0,0,7615,Temporal,9,1985
45,22,0,1,0,0,0,1,0,2,7615,Temporal,9,1985
46,33,0,0,0,0,0,0,2,2,7615,Temporal,9,1985
47,Total,0,146,26,0,0,3,2,177,7615,Temporal,9,1985
48,3,1,3,0,0,0,0,0,4,757,Temporal,5,1994
49,4,4,121,2,0,0,3,0,130,757,Temporal,5,1994
50,12,0,0,0,0,0,0,0,0,757,Temporal,5,1994
51,15,0,0,0,0,0,0,0,0,757,Temporal,5,1994
52,18,0,0,0,0,0,0,0,0,757,Temporal,5,1994
53,22,0,0,0,0,0,1,0,1,757,Temporal,5,1994
54,33,0,1,0,0,0,0,5,6,757,Temporal,5,1994
55,Total,5,125,2,0,0,4,5,141,757,Temporal,5,1994
56,3,3,9,0,0,0,0,0,12,754,Temporal,9,1987
57,4,39,439,0,0,0,2,0,480,754,Temporal,9,1987
58,12,0,4,0,0,0,0,0,4,754,Temporal,9,1987
59,15,0,0,0,0,0,0,0,0,754,Temporal,9,1987
60,18,0,0,0,0,0,0,0,0,754,Temporal,9,1987
61,22,0,1,0,0,0,2,1,4,754,Temporal,9,1987
62,33,0,2,0,0,0,0,15,17,754,Temporal,9,1987
63,Total,42,455,0,0,0,4,16,517,754,Temporal,9,1987
64,3,0,0,0,0,0,0,0,0,7618,Temporal,5,1995
65,4,0,96,0,0,0,1,0,97,7618,Temporal,5,1995
66,12,0,2,0,0,0,0,0,2,7618,Temporal,5,1995
67,15,0,0,0,0,0,0,0,0,7618,Temporal,5,1995
68,18,0,0,0,0,0,0,0,0,7618,Temporal,5,1995
69,22,0,0,0,0,0,1,0,1,7618,Temporal,5,1995
70,33,0,0,0,0,0,0,0,0,7618,Temporal,5,1995
71,Total,0,98,0,0,0,2,0,100,7618,Temporal,5,1995
72,3,5,2,1,0,0,0,0,8,772,Temporal,5,1996
73,4,12,101,0,0,0,0,1,114,772,Temporal,5,1996
74,12,0,1,0,0,0,0,0,1,772,Temporal,5,1996
75,15,0,0,0,0,0,0,0,0,772,Temporal,5,1996
76,18,0,0,0,0,0,0,0,0,772,Temporal,5,1996
77,22,0,0,0,0,0,0,0,0,772,Temporal,5,1996
78,33,0,0,0,0,0,0,0,0,772,Temporal,5,1996
79,Total,17,104,1,0,0,0,1,123,772,Temporal,5,1996
80,3,0,0,0,0,0,0,0,0,7613,Temporal,5,2004
81,4,2,93,24,0,0,1,0,120,7613,Temporal,5,2004
82,12,0,0,2,0,0,7,0,9,7613,Temporal,5,2004
83,15,0,0,0,0,0,0,0,0,7613,Temporal,5,2004
84,18,0,0,0,0,0,0,0,0,7613,Temporal,5,2004
85,22,0,0,0,0,0,0,0,0,7613,Temporal,5,2004
