,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,0,0,0,0,0,0,0,7614,TemporalV3J5,35,2021
1,4,0,62,0,6,0,0,68,7614,TemporalV3J5,35,2021
2,12,0,0,0,0,0,0,0,7614,TemporalV3J5,35,2021
3,21,0,29,0,35,0,0,64,7614,TemporalV3J5,35,2021
4,22,0,0,0,0,0,0,0,7614,TemporalV3J5,35,2021
5,33,0,0,0,0,0,0,0,7614,TemporalV3J5,35,2021
6,Total,0,91,0,41,0,0,132,7614,TemporalV3J5,35,2021
7,3,0,0,0,0,0,0,0,7617,TemporalV3J5,35,1999
8,4,0,123,0,27,0,0,150,7617,TemporalV3J5,35,1999
9,12,0,1,0,4,0,0,5,7617,TemporalV3J5,35,1999
10,21,0,4,0,26,0,0,30,7617,TemporalV3J5,35,1999
11,22,0,0,0,1,0,0,1,7617,TemporalV3J5,35,1999
12,33,0,1,0,5,0,28,34,7617,TemporalV3J5,35,1999
13,Total,0,129,0,63,0,28,220,7617,TemporalV3J5,35,1999
14,3,8,1,0,0,0,0,9,772,TemporalV3J5,35,2022
15,4,11,57,0,34,0,0,102,772,TemporalV3J5,35,2022
16,12,0,0,0,1,0,0,1,772,TemporalV3J5,35,2022
17,21,0,29,0,195,0,0,224,772,TemporalV3J5,35,2022
18,22,0,0,0,1,0,0,1,772,TemporalV3J5,35,2022
19,33,0,1,0,0,0,0,1,772,TemporalV3J5,35,2022
20,Total,19,88,0,231,0,0,338,772,TemporalV3J5,35,2022
21,3,3,7,0,1,0,0,11,767,TemporalV3J5,35,2019
22,4,8,50,0,4,0,0,62,767,TemporalV3J5,35,2019
23,12,0,0,0,0,0,0,0,767,TemporalV3J5,35,2019
24,21,0,10,0,53,0,0,63,767,TemporalV3J5,35,2019
25,22,0,1,0,0,0,0,1,767,TemporalV3J5,35,2019
26,33,0,0,0,0,0,0,0,767,TemporalV3J5,35,2019
27,Total,11,68,0,58,0,0,137,767,TemporalV3J5,35,2019
28,3,0,0,0,0,0,0,0,7614,TemporalV3J5,35,1987
29,4,0,83,0,8,0,0,91,7614,TemporalV3J5,35,1987
30,12,0,0,0,0,0,0,0,7614,TemporalV3J5,35,1987
31,21,0,12,0,29,0,0,41,7614,TemporalV3J5,35,1987
32,22,0,0,0,0,0,0,0,7614,TemporalV3J5,35,1987
33,33,0,0,0,0,0,0,0,7614,TemporalV3J5,35,1987
34,Total,0,95,0,37,0,0,132,7614,TemporalV3J5,35,1987
35,3,1,11,0,1,0,0,13,744,TemporalV3J5,35,2010
36,4,0,495,1,60,0,1,557,744,TemporalV3J5,35,2010
37,12,0,7,4,8,0,0,19,744,TemporalV3J5,35,2010
38,21,0,34,0,116,0,0,150,744,TemporalV3J5,35,2010
39,22,0,1,0,1,0,0,2,744,TemporalV3J5,35,2010
40,33,0,2,0,0,0,0,2,744,TemporalV3J5,35,2010
41,Total,1,550,5,186,0,1,743,744,TemporalV3J5,35,2010
42,3,2,0,0,1,0,0,3,7612,TemporalV3J5,35,2005
43,4,3,92,1,6,0,0,102,7612,TemporalV3J5,35,2005
44,12,0,1,2,5,0,0,8,7612,TemporalV3J5,35,2005
45,21,0,28,0,30,0,0,58,7612,TemporalV3J5,35,2005
46,22,0,0,0,3,0,0,3,7612,TemporalV3J5,35,2005
47,33,0,0,0,0,0,3,3,7612,TemporalV3J5,35,2005
48,Total,5,121,3,45,0,3,177,7612,TemporalV3J5,35,2005
49,3,4,13,0,1,0,0,18,7621,TemporalV3J5,35,2003
50,4,2,27,0,4,0,0,33,7621,TemporalV3J5,35,2003
51,12,0,2,0,0,0,1,3,7621,TemporalV3J5,35,2003
52,21,0,5,0,23,0,0,28,7621,TemporalV3J5,35,2003
53,22,0,0,0,0,0,0,0,7621,TemporalV3J5,35,2003
54,33,0,0,0,0,0,1,1,7621,TemporalV3J5,35,2003
55,Total,6,47,0,28,0,2,83,7621,TemporalV3J5,35,2003
56,3,19,17,0,0,0,0,36,746,TemporalV3J5,35,2009
57,4,12,135,0,7,0,0,154,746,TemporalV3J5,35,2009
58,12,0,3,0,1,0,0,4,746,TemporalV3J5,35,2009
59,21,0,9,0,14,0,0,23,746,TemporalV3J5,35,2009
