,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year
0,3,0,3,0,0,0,0,0,3,756,Temporal,5,2015
1,4,8,186,15,57,2,0,0,268,756,Temporal,5,2015
2,12,0,1,1,6,0,0,0,8,756,Temporal,5,2015
3,21,1,32,4,97,8,0,0,142,756,Temporal,5,2015
4,22,0,0,0,2,1,0,0,3,756,Temporal,5,2015
5,27,0,0,0,0,0,0,0,0,756,Temporal,5,2015
6,33,0,1,0,1,0,0,3,5,756,Temporal,5,2015
7,Total,9,223,20,163,11,0,3,429,756,Temporal,5,2015
8,3,0,4,0,0,0,0,0,4,755,Temporal,9,2000
9,4,0,149,0,10,3,0,0,162,755,Temporal,9,2000
10,12,0,1,0,2,3,0,0,6,755,Temporal,9,2000
11,21,0,38,0,42,8,0,0,88,755,Temporal,9,2000
12,22,0,2,0,3,6,0,0,11,755,Temporal,9,2000
13,27,0,0,0,0,0,0,0,0,755,Temporal,9,2000
14,33,0,3,0,0,0,0,1,4,755,Temporal,9,2000
15,Total,0,197,0,57,20,0,1,275,755,Temporal,9,2000
16,3,7,2,0,0,0,0,0,9,772,Temporal,5,1992
17,4,12,128,4,36,0,0,0,180,772,Temporal,5,1992
18,12,0,1,0,0,0,0,0,1,772,Temporal,5,1992
19,21,7,43,4,153,7,0,0,214,772,Temporal,5,1992
20,22,0,0,0,1,1,0,0,2,772,Temporal,5,1992
21,27,0,1,0,6,0,0,0,7,772,Temporal,5,1992
22,33,0,0,0,0,0,0,0,0,772,Temporal,5,1992
23,Total,26,175,8,196,8,0,0,413,772,Temporal,5,1992
24,3,1,1,0,0,0,0,0,2,741,Temporal,9,2015
25,4,4,70,1,2,1,0,0,78,741,Temporal,9,2015
26,12,0,1,0,3,0,0,0,4,741,Temporal,9,2015
27,21,1,10,1,10,1,0,0,23,741,Temporal,9,2015
28,22,0,0,0,1,0,0,0,1,741,Temporal,9,2015
29,27,0,0,0,0,0,0,0,0,741,Temporal,9,2015
30,33,0,0,1,0,0,0,1,2,741,Temporal,9,2015
31,Total,6,82,3,16,2,0,1,110,741,Temporal,9,2015
32,3,0,6,0,7,0,0,0,13,757,Temporal,10,2003
33,4,0,144,2,33,3,0,0,182,757,Temporal,10,2003
34,12,0,2,0,2,1,0,0,5,757,Temporal,10,2003
35,21,0,51,0,145,6,0,0,202,757,Temporal,10,2003
36,22,0,0,0,2,0,0,0,2,757,Temporal,10,2003
37,27,0,2,0,3,0,0,0,5,757,Temporal,10,2003
38,33,0,2,0,2,0,0,3,7,757,Temporal,10,2003
39,Total,0,207,2,194,10,0,3,416,757,Temporal,10,2003
40,3,2,2,0,0,0,0,0,4,7422,Temporal,9,1987
41,4,5,119,0,11,1,0,0,136,7422,Temporal,9,1987
42,12,0,5,0,0,1,0,0,6,7422,Temporal,9,1987
43,21,0,21,0,10,6,0,0,37,7422,Temporal,9,1987
44,22,0,0,0,0,0,0,0,0,7422,Temporal,9,1987
45,27,0,0,1,0,0,0,0,1,7422,Temporal,9,1987
46,33,0,0,0,0,0,0,3,3,7422,Temporal,9,1987
47,Total,7,147,1,21,8,0,3,187,7422,Temporal,9,1987
48,3,2,11,0,0,0,0,0,13,766,Temporal,10,1994
49,4,0,87,0,21,0,0,0,108,766,Temporal,10,1994
50,12,0,3,0,2,1,0,0,6,766,Temporal,10,1994
51,21,0,18,0,114,3,0,0,135,766,Temporal,10,1994
52,22,0,1,0,0,0,0,0,1,766,Temporal,10,1994
53,27,0,0,0,0,0,0,0,0,766,Temporal,10,1994
54,33,0,0,0,1,0,0,2,3,766,Temporal,10,1994
55,Total,2,120,0,138,4,0,2,266,766,Temporal,10,1994
56,3,0,1,0,1,0,0,0,2,7615,Temporal,9,1985
57,4,0,148,24,33,0,0,0,205,7615,Temporal,9,1985
58,12,0,0,2,17,2,0,0,21,7615,Temporal,9,1985
59,21,0,13,4,31,2,0,1,51,7615,Temporal,9,1985
60,22,0,1,0,1,1,0,0,3,7615,Temporal,9,1985
61,27,0,0,4,0,0,0,0,4,7615,Temporal,9,1985
62,33,0,0,0,0,0,0,2,2,7615,Temporal,9,1985
63,Total,0,163,34,83,5,0,3,288,7615,Temporal,9,1985
64,3,1,17,0,0,0,0,0,18,763,Temporal,10,1995
65,4,4,167,0,37,0,0,1,209,763,Temporal,10,1995
66,12,0,4,4,6,1,0,0,15,763,Temporal,10,1995
67,21,0,19,0,120,5,0,0,144,763,Temporal,10,1995
68,22,0,0,0,0,2,0,0,2,763,Temporal,10,1995
69,27,0,0,0,0,0,0,0,0,763,Temporal,10,1995
70,33,0,0,0,0,0,0,2,2,763,Temporal,10,1995
71,Total,5,207,4,163,8,0,3,390,763,Temporal,10,1995
72,3,3,8,0,1,0,0,0,12,757,Temporal,5,1994
73,4,6,150,4,29,4,0,0,193,757,Temporal,5,1994
74,12,0,1,1,2,0,0,0,4,757,Temporal,5,1994
75,21,2,72,4,109,7,0,0,194,757,Temporal,5,1994
76,22,0,1,0,0,1,0,0,2,757,Temporal,5,1994
77,27,0,5,0,0,0,0,0,5,757,Temporal,5,1994
78,33,0,1,0,0,0,0,5,6,757,Temporal,5,1994
79,Total,11,238,9,141,12,0,5,416,757,Temporal,5,1994
80,3,6,13,0,0,0,0,0,19,754,Temporal,9,1987
81,4,41,467,0,60,2,0,0,570,754,Temporal,9,1987
82,12,0,4,0,10,0,0,0,14,754,Temporal,9,1987
83,21,3,79,0,92,6,0,0,180,754,Temporal,9,1987
84,22,0,1,0,0,2,0,0,3,754,Temporal,9,1987
85,27,0,1,0,0,1,0,0,2,754,Temporal,9,1987
86,33,1,2,0,0,0,0,16,19,754,Temporal,9,1987
87,Total,51,567,0,162,11,0,16,807,754,Temporal,9,1987
88,3,20,13,0,0,0,0,0,33,746,Temporal,10,1997
89,4,16,114,0,4,0,0,0,134,746,Temporal,10,1997
90,12,0,2,0,0,1,0,0,3,746,Temporal,10,1997
91,21,0,3,0,9,0,0,0,12,746,Temporal,10,1997
92,22,0,1,0,1,0,0,0,2,746,Temporal,10,1997
93,27,0,0,0,0,0,0,0,0,746,Temporal,10,1997
