,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
0,3,0,3,0,0,0,0,0,0,3,756,Temporal,5,2015
1,4,8,186,15,0,0,2,0,0,211,756,Temporal,5,2015
2,12,0,1,1,0,0,0,0,0,2,756,Temporal,5,2015
3,15,0,0,0,0,0,0,0,0,0,756,Temporal,5,2015
4,18,0,0,0,0,0,0,0,0,0,756,Temporal,5,2015
5,22,0,5,0,0,0,2,0,0,7,756,Temporal,5,2015
6,27,0,0,0,0,0,0,0,0,0,756,Temporal,5,2015
7,33,0,1,0,0,0,0,0,3,4,756,Temporal,5,2015
8,Total,8,196,16,0,0,4,0,3,227,756,Temporal,5,2015
9,3,0,4,0,0,0,0,0,0,4,755,Temporal,9,2000
10,4,0,149,0,0,0,3,0,0,152,755,Temporal,9,2000
11,12,0,1,0,0,0,3,0,0,4,755,Temporal,9,2000
12,15,0,0,0,0,0,0,0,0,0,755,Temporal,9,2000
13,18,0,0,0,0,0,0,0,0,0,755,Temporal,9,2000
14,22,0,2,0,0,0,6,0,0,8,755,Temporal,9,2000
15,27,0,0,0,0,0,0,0,0,0,755,Temporal,9,2000
16,33,0,3,0,0,0,0,0,1,4,755,Temporal,9,2000
17,Total,0,159,0,0,0,12,0,1,172,755,Temporal,9,2000
18,3,7,2,0,0,0,0,0,0,9,772,Temporal,5,1992
19,4,12,128,4,0,0,0,0,0,144,772,Temporal,5,1992
20,12,0,1,0,0,0,0,0,0,1,772,Temporal,5,1992
21,15,0,0,0,0,0,0,0,0,0,772,Temporal,5,1992
22,18,0,0,0,0,0,0,0,0,0,772,Temporal,5,1992
23,22,0,0,0,0,0,1,0,0,1,772,Temporal,5,1992
24,27,0,1,0,0,0,0,0,0,1,772,Temporal,5,1992
25,33,0,0,0,0,0,0,0,0,0,772,Temporal,5,1992
26,Total,19,132,4,0,0,1,0,0,156,772,Temporal,5,1992
27,3,1,1,0,0,0,0,0,0,2,741,Temporal,9,2015
28,4,4,70,1,0,0,1,0,0,76,741,Temporal,9,2015
29,12,0,1,0,0,0,0,0,0,1,741,Temporal,9,2015
30,15,0,0,0,0,0,0,0,0,0,741,Temporal,9,2015
31,18,0,0,0,0,0,0,0,0,0,741,Temporal,9,2015
32,22,0,0,0,0,0,0,0,0,0,741,Temporal,9,2015
33,27,0,0,0,0,0,0,0,0,0,741,Temporal,9,2015
34,33,0,0,1,0,0,0,0,1,2,741,Temporal,9,2015
35,Total,5,72,2,0,0,1,0,1,81,741,Temporal,9,2015
36,3,0,6,0,0,0,0,0,0,6,757,Temporal,10,2003
37,4,0,144,2,0,0,3,0,0,149,757,Temporal,10,2003
38,12,0,2,0,0,0,1,0,0,3,757,Temporal,10,2003
39,15,0,0,0,0,0,0,0,0,0,757,Temporal,10,2003
40,18,0,0,0,0,0,0,0,0,0,757,Temporal,10,2003
41,22,0,1,0,0,0,0,0,0,1,757,Temporal,10,2003
42,27,0,2,0,0,0,0,0,0,2,757,Temporal,10,2003
43,33,0,2,0,0,0,0,0,3,5,757,Temporal,10,2003
44,Total,0,157,2,0,0,4,0,3,166,757,Temporal,10,2003
45,3,2,2,0,0,0,0,0,0,4,7422,Temporal,9,1987
46,4,5,119,0,0,0,1,0,0,125,7422,Temporal,9,1987
47,12,0,5,0,0,0,1,0,0,6,7422,Temporal,9,1987
48,15,0,0,0,0,0,0,0,0,0,7422,Temporal,9,1987
49,18,0,0,0,0,0,0,0,0,0,7422,Temporal,9,1987
50,22,0,0,0,0,0,0,0,0,0,7422,Temporal,9,1987
51,27,0,0,1,0,0,0,0,0,1,7422,Temporal,9,1987
52,33,0,0,0,0,0,0,0,3,3,7422,Temporal,9,1987
53,Total,7,126,1,0,0,2,0,3,139,7422,Temporal,9,1987
54,3,2,11,0,0,0,0,0,0,13,766,Temporal,10,1994
55,4,0,87,0,0,0,0,0,0,87,766,Temporal,10,1994
56,12,0,3,0,0,0,1,0,0,4,766,Temporal,10,1994
57,15,0,0,0,0,0,0,0,0,0,766,Temporal,10,1994
58,18,0,0,0,0,0,0,0,0,0,766,Temporal,10,1994
59,22,0,1,0,0,0,1,0,0,2,766,Temporal,10,1994
60,27,0,0,0,0,0,0,0,0,0,766,Temporal,10,1994
61,33,0,0,0,0,0,0,0,2,2,766,Temporal,10,1994
62,Total,2,102,0,0,0,2,0,2,108,766,Temporal,10,1994
63,3,0,1,0,0,0,0,0,0,1,7615,Temporal,9,1985
64,4,0,148,24,0,0,0,0,0,172,7615,Temporal,9,1985
65,12,0,0,2,0,0,2,0,0,4,7615,Temporal,9,1985
66,15,0,0,0,0,0,0,0,0,0,7615,Temporal,9,1985
67,18,0,0,0,0,0,0,0,0,0,7615,Temporal,9,1985
68,22,0,1,0,0,0,1,0,0,2,7615,Temporal,9,1985
69,27,0,0,4,0,0,0,0,0,4,7615,Temporal,9,1985
70,33,0,0,0,0,0,0,0,2,2,7615,Temporal,9,1985
71,Total,0,150,30,0,0,3,0,2,185,7615,Temporal,9,1985
72,3,1,17,0,0,0,0,0,0,18,763,Temporal,10,1995
73,4,4,167,0,0,0,0,0,1,172,763,Temporal,10,1995
74,12,0,4,4,0,0,1,0,0,9,763,Temporal,10,1995
75,15,0,0,0,0,0,0,0,0,0,763,Temporal,10,1995
76,18,0,0,0,0,0,0,0,0,0,763,Temporal,10,1995
77,22,0,1,0,0,0,3,0,0,4,763,Temporal,10,1995
78,27,0,0,0,0,0,0,0,0,0,763,Temporal,10,1995
79,33,0,0,0,0,0,0,0,2,2,763,Temporal,10,1995
80,Total,5,189,4,0,0,4,0,3,205,763,Temporal,10,1995
81,3,3,8,0,0,0,0,0,0,11,757,Temporal,5,1994
82,4,6,150,4,0,0,4,0,0,164,757,Temporal,5,1994
83,12,0,1,1,0,0,0,0,0,2,757,Temporal,5,1994
84,15,0,0,0,0,0,0,0,0,0,757,Temporal,5,1994
85,18,0,0,0,0,0,0,0,0,0,757,Temporal,5,1994
86,22,0,1,0,0,0,1,0,0,2,757,Temporal,5,1994
87,27,0,5,0,0,0,0,0,0,5,757,Temporal,5,1994
