,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
0,3,0,1,0,0,0,0,0,1,7421,toExport,9,2009
1,4,0,61,0,0,0,0,0,61,7421,toExport,9,2009
2,12,0,0,0,0,0,0,0,0,7421,toExport,9,2009
3,15,0,0,0,0,0,0,0,0,7421,toExport,9,2009
4,18,0,0,0,0,0,0,0,0,7421,toExport,9,2009
5,22,0,0,0,0,0,0,0,0,7421,toExport,9,2009
6,33,0,0,0,0,0,0,0,0,7421,toExport,9,2009
7,Total,0,62,0,0,0,0,0,62,7421,toExport,9,2009
8,3,2,0,0,0,0,0,0,2,7615,toExport,5,2015
9,4,1,114,41,0,0,2,0,158,7615,toExport,5,2015
10,12,0,1,10,0,0,6,0,17,7615,toExport,5,2015
11,15,0,0,0,0,0,0,0,0,7615,toExport,5,2015
12,18,0,0,0,0,0,0,0,0,7615,toExport,5,2015
13,22,0,1,1,0,0,1,0,3,7615,toExport,5,2015
14,33,0,0,0,0,0,0,2,2,7615,toExport,5,2015
15,Total,3,116,52,0,0,9,2,182,7615,toExport,5,2015
16,3,1,0,0,0,0,0,0,1,775,toExport,5,1996
17,4,0,4,0,0,0,0,0,4,775,toExport,5,1996
18,12,0,1,0,0,0,0,0,1,775,toExport,5,1996
19,15,0,0,0,0,0,0,0,0,775,toExport,5,1996
20,18,0,0,0,0,0,0,0,0,775,toExport,5,1996
21,22,0,0,0,0,0,0,0,0,775,toExport,5,1996
22,33,0,0,0,0,0,0,0,0,775,toExport,5,1996
23,Total,1,5,0,0,0,0,0,6,775,toExport,5,1996
24,3,0,1,0,0,0,0,0,1,7421,toExport,9,1995
25,4,0,60,0,0,0,0,0,60,7421,toExport,9,1995
26,12,0,1,0,0,0,1,0,2,7421,toExport,9,1995
27,15,0,0,0,0,0,0,0,0,7421,toExport,9,1995
28,18,0,0,0,0,0,0,0,0,7421,toExport,9,1995
29,22,0,0,0,0,0,0,0,0,7421,toExport,9,1995
30,33,0,0,0,0,0,0,0,0,7421,toExport,9,1995
31,Total,0,62,0,0,0,1,0,63,7421,toExport,9,1995
32,3,2,9,0,0,0,0,1,12,754,toExport,5,2022
33,4,15,391,14,0,0,1,3,424,754,toExport,5,2022
34,12,0,3,2,0,0,1,0,6,754,toExport,5,2022
35,15,0,0,0,0,0,0,0,0,754,toExport,5,2022
36,18,0,0,0,0,0,0,0,0,754,toExport,5,2022
37,22,0,1,0,0,0,2,0,3,754,toExport,5,2022
38,33,1,2,0,0,0,0,10,13,754,toExport,5,2022
39,Total,18,406,16,0,0,4,14,458,754,toExport,5,2022
40,3,3,8,1,0,0,0,0,12,744,toExport,5,1990
41,4,22,445,53,0,0,0,3,523,744,toExport,5,1990
42,12,0,2,14,0,0,2,0,18,744,toExport,5,1990
43,15,0,0,0,0,0,0,0,0,744,toExport,5,1990
44,18,0,0,0,0,0,0,0,0,744,toExport,5,1990
45,22,0,0,1,0,0,1,0,2,744,toExport,5,1990
46,33,0,0,1,0,0,0,1,2,744,toExport,5,1990
47,Total,25,455,70,0,0,3,4,557,744,toExport,5,1990
48,3,0,3,0,0,0,0,0,3,755,toExport,9,2020
49,4,0,144,0,0,0,1,0,145,755,toExport,9,2020
50,12,0,0,0,0,0,0,0,0,755,toExport,9,2020
51,15,0,0,0,0,0,0,0,0,755,toExport,9,2020
52,18,0,0,0,0,0,0,0,0,755,toExport,9,2020
53,22,0,2,0,0,0,7,0,9,755,toExport,9,2020
54,33,0,3,0,0,0,1,1,5,755,toExport,9,2020
55,Total,0,152,0,0,0,9,1,162,755,toExport,9,2020
56,3,1,1,0,0,0,0,0,2,741,toExport,5,2010
57,4,11,60,0,0,0,0,0,71,741,toExport,5,2010
58,12,0,1,0,0,0,0,0,1,741,toExport,5,2010
59,15,0,0,0,0,0,0,0,0,741,toExport,5,2010
60,18,0,0,0,0,0,0,0,0,741,toExport,5,2010
61,22,0,0,0,0,0,0,0,0,741,toExport,5,2010
62,33,0,0,0,0,0,0,2,2,741,toExport,5,2010
63,Total,12,62,0,0,0,0,2,76,741,toExport,5,2010
64,3,0,0,0,0,0,0,0,0,7614,toExport,5,2015
65,4,8,57,0,0,0,0,0,65,7614,toExport,5,2015
66,12,0,0,0,0,0,0,0,0,7614,toExport,5,2015
67,15,0,0,0,0,0,0,0,0,7614,toExport,5,2015
68,18,0,0,0,0,0,0,0,0,7614,toExport,5,2015
69,22,0,0,0,0,0,0,0,0,7614,toExport,5,2015
70,33,0,0,0,0,0,0,0,0,7614,toExport,5,2015
71,Total,8,57,0,0,0,0,0,65,7614,toExport,5,2015
72,3,0,0,0,0,0,0,0,0,7617,toExport,9,2018
73,4,0,116,5,0,0,1,0,122,7617,toExport,9,2018
74,12,0,2,0,0,0,1,0,3,7617,toExport,9,2018
