,classes,3,4,12,21,22,33,Total,bacia,model,version,year
0,3,1,1,0,0,0,0,2,76116,toExport,29,1995
1,4,3,111,2,25,0,0,141,76116,toExport,29,1995
2,12,0,1,0,3,1,0,5,76116,toExport,29,1995
3,21,0,17,0,54,4,0,75,76116,toExport,29,1995
4,22,0,0,0,0,0,0,0,76116,toExport,29,1995
5,33,0,0,0,0,0,9,9,76116,toExport,29,1995
6,Total,4,130,2,82,5,9,232,76116,toExport,29,1995
7,3,0,0,0,0,0,0,0,7616,toExport,29,2013
8,4,0,72,0,20,0,0,92,7616,toExport,29,2013
9,12,0,2,1,0,0,0,3,7616,toExport,29,2013
10,21,0,7,0,25,0,0,32,7616,toExport,29,2013
11,22,0,0,0,0,0,0,0,7616,toExport,29,2013
12,33,0,0,0,0,0,0,0,7616,toExport,29,2013
13,Total,0,81,1,45,0,0,127,7616,toExport,29,2013
14,3,3,11,0,0,0,0,14,744,toExport,29,1990
15,4,19,499,0,46,2,0,566,744,toExport,29,1990
16,12,0,8,3,9,2,0,22,744,toExport,29,1990
17,21,0,39,0,95,3,0,137,744,toExport,29,1990
18,22,0,1,0,1,0,0,2,744,toExport,29,1990
19,33,0,0,0,2,0,0,2,744,toExport,29,1990
20,Total,22,558,3,153,7,0,743,744,toExport,29,1990
21,3,0,1,0,0,0,0,1,7421,toExport,29,2009
22,4,0,69,0,3,0,0,72,7421,toExport,29,2009
23,12,0,1,0,1,0,0,2,7421,toExport,29,2009
24,21,0,6,0,8,0,0,14,7421,toExport,29,2009
25,22,0,0,0,0,0,0,0,7421,toExport,29,2009
26,33,0,0,0,0,0,0,0,7421,toExport,29,2009
27,Total,0,77,0,12,0,0,89,7421,toExport,29,2009
28,3,0,0,0,0,0,0,0,758,toExport,29,1987
29,4,0,74,2,20,0,0,96,758,toExport,29,1987
30,12,0,0,0,2,0,0,2,758,toExport,29,1987
31,21,0,21,0,44,0,0,65,758,toExport,29,1987
32,22,0,0,0,0,1,0,1,758,toExport,29,1987
33,33,0,0,0,0,1,1,2,758,toExport,29,1987
34,Total,0,95,2,66,2,1,166,758,toExport,29,1987
35,3,3,10,0,0,1,0,14,744,toExport,29,1997
36,4,16,504,0,33,1,0,554,744,toExport,29,1997
37,12,0,10,2,8,1,0,21,744,toExport,29,1997
38,21,0,49,0,98,3,0,150,744,toExport,29,1997
39,22,0,1,0,1,0,0,2,744,toExport,29,1997
40,33,0,1,0,1,0,0,2,744,toExport,29,1997
41,Total,19,575,2,141,6,0,743,744,toExport,29,1997
42,3,5,4,0,0,0,0,9,764,toExport,29,2003
43,4,6,32,0,6,0,0,44,764,toExport,29,2003
44,12,0,0,0,0,0,0,0,764,toExport,29,2003
45,21,1,6,0,37,0,0,44,764,toExport,29,2003
46,22,0,2,0,0,0,0,2,764,toExport,29,2003
47,33,0,0,0,0,0,0,0,764,toExport,29,2003
48,Total,12,44,0,43,0,0,99,764,toExport,29,2003
49,3,1,0,0,2,0,0,3,771,toExport,29,2013
50,4,6,84,0,20,0,0,110,771,toExport,29,2013
51,12,0,0,0,3,0,0,3,771,toExport,29,2013
52,21,0,7,0,131,1,0,139,771,toExport,29,2013
53,22,0,0,0,2,0,0,2,771,toExport,29,2013
54,33,0,0,0,0,0,0,0,771,toExport,29,2013
55,Total,7,91,0,158,1,0,257,771,toExport,29,2013
56,3,7,14,0,0,0,0,21,763,toExport,29,1987
57,4,9,222,0,35,0,0,266,763,toExport,29,1987
58,12,0,5,3,6,1,0,15,763,toExport,29,1987
59,21,0,17,0,97,1,0,115,763,toExport,29,1987
60,22,0,2,1,1,1,1,6,763,toExport,29,1987
61,33,1,0,0,0,0,1,2,763,toExport,29,1987
62,Total,17,260,4,139,3,2,425,763,toExport,29,1987
63,3,0,0,0,0,0,0,0,7614,toExport,29,2010
64,4,4,67,0,4,0,0,75,7614,toExport,29,2010
65,12,0,0,0,0,0,0,0,7614,toExport,29,2010
66,21,1,27,0,28,1,0,57,7614,toExport,29,2010
67,22,0,0,0,0,0,0,0,7614,toExport,29,2010
68,33,0,0,0,0,0,0,0,7614,toExport,29,2010
69,Total,5,94,0,32,1,0,132,7614,toExport,29,2010
70,3,2,2,0,1,0,0,5,7742,toExport,29,1994
71,4,6,10,0,8,0,0,24,7742,toExport,29,1994
72,12,0,0,0,0,2,0,2,7742,toExport,29,1994
73,21,2,9,0,103,0,0,114,7742,toExport,29,1994
74,22,0,0,0,0,1,0,1,7742,toExport,29,1994
75,33,0,0,0,0,0,2,2,7742,toExport,29,1994
76,Total,10,21,0,112,3,2,148,7742,toExport,29,1994
77,3,2,2,0,3,0,0,7,757,toExport,29,2002
78,4,1,113,0,33,0,0,147,757,toExport,29,2002
79,12,0,0,0,2,0,0,2,757,toExport,29,2002
80,21,0,28,0,100,2,0,130,757,toExport,29,2002
81,22,0,0,0,2,0,0,2,757,toExport,29,2002
82,33,0,1,0,3,0,3,7,757,toExport,29,2002
83,Total,3,144,0,143,2,3,295,757,toExport,29,2002
84,3,1,1,0,0,0,0,2,76116,toExport,29,2010
