,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
0,3,0,1,0,0,0,0,0,0,1,7421,toExport,9,2009
1,4,0,64,0,0,0,0,0,0,64,7421,toExport,9,2009
2,12,0,0,0,0,0,0,0,0,0,7421,toExport,9,2009
3,15,0,0,0,0,0,0,0,0,0,7421,toExport,9,2009
4,18,0,0,0,0,0,0,0,0,0,7421,toExport,9,2009
5,22,0,0,0,0,0,0,0,0,0,7421,toExport,9,2009
6,27,0,0,0,0,0,0,0,0,0,7421,toExport,9,2009
7,33,0,0,0,0,0,0,0,0,0,7421,toExport,9,2009
8,Total,0,65,0,0,0,0,0,0,65,7421,toExport,9,2009
9,3,2,0,0,0,0,0,0,0,2,7615,toExport,5,2015
10,4,1,115,44,0,0,2,0,0,162,7615,toExport,5,2015
11,12,0,1,10,0,0,6,0,0,17,7615,toExport,5,2015
12,15,0,0,0,0,0,0,0,0,0,7615,toExport,5,2015
13,18,0,0,0,0,0,0,0,0,0,7615,toExport,5,2015
14,22,0,1,1,0,0,1,0,0,3,7615,toExport,5,2015
15,27,0,0,0,0,0,0,0,0,0,7615,toExport,5,2015
16,33,0,0,0,0,0,0,0,2,2,7615,toExport,5,2015
17,Total,3,117,55,0,0,9,0,2,186,7615,toExport,5,2015
18,3,1,0,0,0,0,0,0,0,1,775,toExport,5,1996
19,4,0,5,0,0,0,0,0,0,5,775,toExport,5,1996
20,12,0,1,0,0,0,0,0,0,1,775,toExport,5,1996
21,15,0,0,0,0,0,0,0,0,0,775,toExport,5,1996
22,18,0,0,0,0,0,0,0,0,0,775,toExport,5,1996
23,22,0,0,0,0,0,0,0,0,0,775,toExport,5,1996
24,27,0,0,0,0,0,0,0,0,0,775,toExport,5,1996
25,33,0,0,0,0,0,0,0,0,0,775,toExport,5,1996
26,Total,1,6,0,0,0,0,0,0,7,775,toExport,5,1996
27,3,0,1,0,0,0,0,0,0,1,7421,toExport,9,1995
