,aggrement,area,bacia,classe,year,Models,version
0,1,29977.65984830366,765,22,1985,Frequency,10
1,2,72.5525539790135,765,22,1985,Frequency,10
2,3,13162.9531504405,765,22,1985,Frequency,10
3,1,25845.90878833473,765,22,1986,Frequency,10
4,2,20283.344007253905,765,22,1986,Frequency,10
5,3,16014.966739595127,765,22,1986,Frequency,10
6,1,22593.35010842464,765,22,1987,Frequency,10
7,2,23557.6039925889,765,22,1987,Frequency,10
8,3,19256.609054765755,765,22,1987,Frequency,10
9,1,23116.925071852027,765,22,1988,Frequency,10
10,2,23450.88705680171,765,22,1988,Frequency,10
11,3,12173.01919470021,765,22,1988,Frequency,10
12,1,24800.109879126343,765,22,1989,Frequency,10
13,2,58185.847512084976,765,22,1989,Frequency,10
14,3,11286.871009653169,765,22,1989,Frequency,10
15,1,25269.46319438863,765,22,1990,Frequency,10
16,2,47553.69557569604,765,22,1990,Frequency,10
17,3,11164.555543338492,765,22,1990,Frequency,10
18,1,24609.08129036642,765,22,1991,Frequency,10
19,2,32401.52319876132,765,22,1991,Frequency,10
20,3,12080.959430408013,765,22,1991,Frequency,10
21,1,25670.049926304346,765,22,1992,Frequency,10
22,2,29798.165768811778,765,22,1992,Frequency,10
23,3,10391.920522475924,765,22,1992,Frequency,10
24,1,25082.51221396207,765,22,1993,Frequency,10
25,2,26536.91594334859,765,22,1993,Frequency,10
26,3,11446.239872717417,765,22,1993,Frequency,10
27,1,23816.78754341525,765,22,1994,Frequency,10
28,2,21918.784847603147,765,22,1994,Frequency,10
29,3,12896.55297225887,765,22,1994,Frequency,10
30,1,25538.074145565464,765,22,1995,Frequency,10
31,2,30947.48708938585,765,22,1995,Frequency,10
32,3,11342.615661123618,765,22,1995,Frequency,10
33,1,26778.37109403318,765,22,1996,Frequency,10
34,2,25890.991252582506,765,22,1996,Frequency,10
35,3,9927.197410892202,765,22,1996,Frequency,10
36,1,25839.9902634885,765,22,1997,Frequency,10
37,2,25693.190669851025,765,22,1997,Frequency,10
38,3,13840.300872818714,765,22,1997,Frequency,10
39,1,22208.30222994742,765,22,1998,Frequency,10
40,2,18481.13770906425,765,22,1998,Frequency,10
41,3,17938.81772175446,765,22,1998,Frequency,10
42,1,24579.37937905598,765,22,1999,Frequency,10
43,2,19557.248209381727,765,22,1999,Frequency,10
44,3,15827.702991985012,765,22,1999,Frequency,10
45,1,25633.521947608337,765,22,2000,Frequency,10
46,2,16529.331070301276,765,22,2000,Frequency,10
47,3,15016.450832909666,765,22,2000,Frequency,10
48,1,26622.36624455805,765,22,2001,Frequency,10
49,2,24913.46040429254,765,22,2001,Frequency,10
50,3,11411.71146651683,765,22,2001,Frequency,10
51,1,26578.33837471132,765,22,2002,Frequency,10
52,2,32156.59944876503,765,22,2002,Frequency,10
53,3,11488.60642288817,765,22,2002,Frequency,10
54,1,24267.108337025384,765,22,2003,Frequency,10
55,2,30446.3929180322,765,22,2003,Frequency,10
56,3,15256.716061619312,765,22,2003,Frequency,10
57,1,26581.86840566551,765,22,2004,Frequency,10
58,2,15859.783726099504,765,22,2004,Frequency,10
59,3,11218.59094872506,765,22,2004,Frequency,10
60,1,28021.90941666302,765,22,2005,Frequency,10
61,2,26645.77070506316,765,22,2005,Frequency,10
62,3,9962.524185554308,765,22,2005,Frequency,10
63,1,28813.291494023146,765,22,2006,Frequency,10
64,2,28083.229314042477,765,22,2006,Frequency,10
65,3,9434.611396258812,765,22,2006,Frequency,10
66,1,27580.128831459155,765,22,2007,Frequency,10
67,2,24187.82565905812,765,22,2007,Frequency,10
68,3,8813.03444888807,765,22,2007,Frequency,10
69,1,28367.71445668985,765,22,2008,Frequency,10
70,2,25522.487787677743,765,22,2008,Frequency,10
71,3,7100.146670963237,765,22,2008,Frequency,10
72,1,27868.15555326158,765,22,2009,Frequency,10
73,2,28064.391576264534,765,22,2009,Frequency,10
74,3,5850.714723750274,765,22,2009,Frequency,10
75,1,26268.351398284885,765,22,2010,Frequency,10
76,2,35120.73313391865,765,22,2010,Frequency,10
77,3,6116.326129560008,765,22,2010,Frequency,10
78,1,25472.826709865312,765,22,2011,Frequency,10
79,2,34990.494715086505,765,22,2011,Frequency,10
80,3,5603.76529476663,765,22,2011,Frequency,10
81,1,22906.318574324287,765,22,2012,Frequency,10
82,2,26119.39100250408,765,22,2012,Frequency,10
83,3,7424.387817164705,765,22,2012,Frequency,10
84,1,21474.0195341334,765,22,2013,Frequency,10
85,2,39716.37795144007,765,22,2013,Frequency,10
86,3,7612.431187624913,765,22,2013,Frequency,10
87,1,23750.52100130276,765,22,2014,Frequency,10
88,2,59214.50110079612,765,22,2014,Frequency,10
89,3,4987.652157322495,765,22,2014,Frequency,10
90,1,23415.240169742465,765,22,2015,Frequency,10
91,2,45961.13347661717,765,22,2015,Frequency,10
92,3,4928.588609444103,765,22,2015,Frequency,10
93,1,22927.804000874945,765,22,2016,Frequency,10
94,2,35672.084764675354,765,22,2016,Frequency,10
95,3,5465.18685819445,765,22,2016,Frequency,10
96,1,23123.60920706582,765,22,2017,Frequency,10
97,2,38055.76690265472,765,22,2017,Frequency,10
98,3,5443.82202022334,765,22,2017,Frequency,10
99,1,19352.154181189173,765,22,2018,Frequency,10
100,2,42943.95580846214,765,22,2018,Frequency,10
101,3,4105.024543086169,765,22,2018,Frequency,10
102,1,8299.13759936775,765,22,2019,Frequency,10
103,2,69852.06369621294,765,22,2019,Frequency,10
104,3,2270.928403499825,765,22,2019,Frequency,10
105,1,8665.254323447089,765,22,2020,Frequency,10
106,2,65566.96184213298,765,22,2020,Frequency,10
107,3,2189.784628044143,765,22,2020,Frequency,10
108,1,8561.75188187337,765,22,2021,Frequency,10
109,2,56047.96051658368,765,22,2021,Frequency,10
110,3,2379.717954820966,765,22,2021,Frequency,10
111,1,8840.882817427888,765,22,2022,Frequency,10
112,2,48313.93558621907,765,22,2022,Frequency,10
113,3,2708.4511760608507,765,22,2022,Frequency,10
114,1,244912.62889378605,7612,21,1985,Frequency,10
115,2,35563.017767941536,7612,21,1985,Frequency,10
116,3,123716.37489598215,7612,21,1985,Frequency,10
117,1,236632.9187381053,7612,21,1986,Frequency,10
118,2,45208.52690424986,7612,21,1986,Frequency,10
119,3,136394.8453902715,7612,21,1986,Frequency,10
120,1,211229.6744109848,7612,21,1987,Frequency,10
121,2,34470.7179505872,7612,21,1987,Frequency,10
122,3,185598.02209401864,7612,21,1987,Frequency,10
123,1,244039.747721523,7612,21,1988,Frequency,10
124,2,60778.28468363087,7612,21,1988,Frequency,10
125,3,181401.01921506392,7612,21,1988,Frequency,10
126,1,262415.5374353381,7612,21,1989,Frequency,10
127,2,71929.67992311162,7612,21,1989,Frequency,10
128,3,183544.28347188685,7612,21,1989,Frequency,10
129,1,295983.79163074994,7612,21,1990,Frequency,10
130,2,74024.93475671616,7612,21,1990,Frequency,10
131,3,177208.0975939515,7612,21,1990,Frequency,10
132,1,327973.66898216703,7612,21,1991,Frequency,10
133,2,83312.28949665601,7612,21,1991,Frequency,10
134,3,159124.20613167586,7612,21,1991,Frequency,10
135,1,300348.5641587748,7612,21,1992,Frequency,10
136,2,48958.8092089616,7612,21,1992,Frequency,10
137,3,205805.13151605148,7612,21,1992,Frequency,10
138,1,279899.7713148076,7612,21,1993,Frequency,10
139,2,26686.471073665536,7612,21,1993,Frequency,10
140,3,237476.3945608539,7612,21,1993,Frequency,10
141,1,300574.4058498345,7612,21,1994,Frequency,10
142,2,59713.09002546728,7612,21,1994,Frequency,10
143,3,212651.9814212216,7612,21,1994,Frequency,10
144,1,319297.1297299677,7612,21,1995,Frequency,10
145,2,82337.47066970241,7612,21,1995,Frequency,10
146,3,198122.43206465675,7612,21,1995,Frequency,10
147,1,304664.38149691385,7612,21,1996,Frequency,10
148,2,77476.43130180468,7612,21,1996,Frequency,10
149,3,204192.18836838397,7612,21,1996,Frequency,10
150,1,293954.37860607635,7612,21,1997,Frequency,10
151,2,54858.77664895024,7612,21,1997,Frequency,10
152,3,210520.42945946648,7612,21,1997,Frequency,10
153,1,290459.6058826666,7612,21,1998,Frequency,10
154,2,26914.363839727976,7612,21,1998,Frequency,10
155,3,232215.37743132305,7612,21,1998,Frequency,10
156,1,290165.5508104854,7612,21,1999,Frequency,10
157,2,34964.257876936135,7612,21,1999,Frequency,10
158,3,221489.5968901766,7612,21,1999,Frequency,10
159,1,320683.1761739211,7612,21,2000,Frequency,10
160,2,52742.56643040051,7612,21,2000,Frequency,10
161,3,188731.86546733705,7612,21,2000,Frequency,10
162,1,309305.996178841,7612,21,2001,Frequency,10
163,2,48715.83064422452,7612,21,2001,Frequency,10
164,3,201437.68682025047,7612,21,2001,Frequency,10
165,1,277261.3011683589,7612,21,2002,Frequency,10
166,2,51538.77797345119,7612,21,2002,Frequency,10
167,3,219719.68703305145,7612,21,2002,Frequency,10
168,1,254465.26828856664,7612,21,2003,Frequency,10
169,2,46299.344028486936,7612,21,2003,Frequency,10
170,3,260292.90708477865,7612,21,2003,Frequency,10
171,1,256593.3596518768,7612,21,2004,Frequency,10
172,2,45688.97822629199,7612,21,2004,Frequency,10
173,3,243299.1466916529,7612,21,2004,Frequency,10
174,1,246369.81872896905,7612,21,2005,Frequency,10
175,2,36195.781121770895,7612,21,2005,Frequency,10
176,3,252282.0911828697,7612,21,2005,Frequency,10
177,1,273310.64248988184,7612,21,2006,Frequency,10
178,2,64359.35260607987,7612,21,2006,Frequency,10
179,3,228103.82705801903,7612,21,2006,Frequency,10
180,1,273804.1666628269,7612,21,2007,Frequency,10
181,2,68188.56018406307,7612,21,2007,Frequency,10
182,3,223422.08595927135,7612,21,2007,Frequency,10
183,1,291230.1373242646,7612,21,2008,Frequency,10
184,2,81606.0547912923,7612,21,2008,Frequency,10
185,3,206408.44793698748,7612,21,2008,Frequency,10
186,1,303814.9829754875,7612,21,2009,Frequency,10
187,2,83533.34555449487,7612,21,2009,Frequency,10
188,3,194127.08274909132,7612,21,2009,Frequency,10
189,1,315617.54284910235,7612,21,2010,Frequency,10
190,2,71177.08119508336,7612,21,2010,Frequency,10
191,3,166357.08739615075,7612,21,2010,Frequency,10
192,1,306486.16281164624,7612,21,2011,Frequency,10
193,2,61240.16764343284,7612,21,2011,Frequency,10
194,3,178827.0546923028,7612,21,2011,Frequency,10
195,1,291691.23549567955,7612,21,2012,Frequency,10
196,2,47514.08365233914,7612,21,2012,Frequency,10
197,3,201916.8063300243,7612,21,2012,Frequency,10
198,1,305075.11630864104,7612,21,2013,Frequency,10
199,2,45248.251976539,7612,21,2013,Frequency,10
