,aggrement,area,bacia,classe,year,Models,version
0,1,6356.518609070767,7616,22,1985,GTB,10
1,2,51834.23366589663,7616,22,1985,GTB,10
2,3,7305.311688617411,7616,22,1985,GTB,10
3,1,10431.219873188857,7616,22,1986,GTB,10
4,2,78647.36975114822,7616,22,1986,GTB,10
5,3,5664.476589229365,7616,22,1986,GTB,10
6,1,9421.141810272778,7616,22,1987,GTB,10
7,2,47724.75329502891,7616,22,1987,GTB,10
8,3,5426.647649559743,7616,22,1987,GTB,10
9,1,9013.979508752142,7616,22,1988,GTB,10
10,2,54101.637183078055,7616,22,1988,GTB,10
11,3,3951.890517747359,7616,22,1988,GTB,10
12,1,6609.147628945081,7616,22,1989,GTB,10
13,2,171085.04799794746,7616,22,1989,GTB,10
14,3,4894.070713944678,7616,22,1989,GTB,10
15,1,7797.198505054961,7616,22,1990,GTB,10
16,2,67593.79587523319,7616,22,1990,GTB,10
17,3,3583.754178357638,7616,22,1990,GTB,10
18,1,8746.247330414419,7616,22,1991,GTB,10
19,2,46671.977346121406,7616,22,1991,GTB,10
20,3,2683.1592439377,7616,22,1991,GTB,10
21,1,7383.789388584395,7616,22,1992,GTB,10
22,2,101042.01604461472,7616,22,1992,GTB,10
23,3,3653.6650580626474,7616,22,1992,GTB,10
24,1,8604.30435866557,7616,22,1993,GTB,10
25,2,59649.344603022015,7616,22,1993,GTB,10
26,3,3924.540007034472,7616,22,1993,GTB,10
27,1,7140.028909054056,7616,22,1994,GTB,10
28,2,57107.03018725249,7616,22,1994,GTB,10
29,3,5941.082604877004,7616,22,1994,GTB,10
30,1,7750.476584717038,7616,22,1995,GTB,10
31,2,99482.8967363588,7616,22,1995,GTB,10
32,3,5927.344786922737,7616,22,1995,GTB,10
33,1,9436.4068457473,7616,22,1996,GTB,10
34,2,71580.02271418316,7616,22,1996,GTB,10
35,3,5591.211713546231,7616,22,1996,GTB,10
36,1,10190.602627087115,7616,22,1997,GTB,10
37,2,92114.6411451614,7616,22,1997,GTB,10
38,3,5501.097596239223,7616,22,1997,GTB,10
39,1,6870.352238725774,7616,22,1998,GTB,10
40,2,116824.08213413772,7616,22,1998,GTB,10
41,3,7000.615839624867,7616,22,1998,GTB,10
42,1,8003.322433283624,7616,22,1999,GTB,10
43,2,81050.09353784859,7616,22,1999,GTB,10
44,3,5502.630059215079,7616,22,1999,GTB,10
45,1,9752.991196963436,7616,22,2000,GTB,10
46,2,63202.591257043365,7616,22,2000,GTB,10
47,3,4344.137011022756,7616,22,2000,GTB,10
48,1,9810.909180754734,7616,22,2001,GTB,10
49,2,92999.7906764511,7616,22,2001,GTB,10
50,3,3864.133662518369,7616,22,2001,GTB,10
51,1,8989.019704994973,7616,22,2002,GTB,10
52,2,82123.18982296153,7616,22,2002,GTB,10
53,3,4823.319065190957,7616,22,2002,GTB,10
54,1,6276.484610136068,7616,22,2003,GTB,10
55,2,57831.829148326055,7616,22,2003,GTB,10
56,3,7920.293235861445,7616,22,2003,GTB,10
57,1,9041.835955730818,7616,22,2004,GTB,10
58,2,77588.00777191792,7616,22,2004,GTB,10
59,3,5055.553779375833,7616,22,2004,GTB,10
60,1,8940.898592909933,7616,22,2005,GTB,10
61,2,66198.07121365878,7616,22,2005,GTB,10
62,3,5347.412405858809,7616,22,2005,GTB,10
63,1,9726.977281431196,7616,22,2006,GTB,10
64,2,48069.95613618479,7616,22,2006,GTB,10
65,3,5315.357911701991,7616,22,2006,GTB,10
66,1,8658.146000937872,7616,22,2007,GTB,10
67,2,75246.0715795476,7616,22,2007,GTB,10
68,3,5537.081208890212,7616,22,2007,GTB,10
69,1,9300.621524003933,7616,22,2008,GTB,10
70,2,95777.8839517626,7616,22,2008,GTB,10
71,3,5348.69356057699,7616,22,2008,GTB,10
72,1,9969.104071987793,7616,22,2009,GTB,10
73,2,82897.1478434498,7616,22,2009,GTB,10
74,3,4618.6608783244765,7616,22,2009,GTB,10
75,1,8324.184979919779,7616,22,2010,GTB,10
76,2,141236.3648930321,7616,22,2010,GTB,10
77,3,3939.9554474464,7616,22,2010,GTB,10
78,1,9026.55197585982,7616,22,2011,GTB,10
79,2,88854.84468665348,7616,22,2011,GTB,10
80,3,3926.86926674462,7616,22,2011,GTB,10
81,1,7818.525127838375,7616,22,2012,GTB,10
82,2,111223.1025780007,7616,22,2012,GTB,10
83,3,5914.435614814994,7616,22,2012,GTB,10
84,1,8661.653859658069,7616,22,2013,GTB,10
85,2,134503.82131364747,7616,22,2013,GTB,10
86,3,5441.922838123055,7616,22,2013,GTB,10
87,1,9340.048798956574,7616,22,2014,GTB,10
88,2,65584.8540047483,7616,22,2014,GTB,10
89,3,5056.062116782933,7616,22,2014,GTB,10
90,1,9920.263870930212,7616,22,2015,GTB,10
91,2,95550.04393623522,7616,22,2015,GTB,10
92,3,4722.963289149799,7616,22,2015,GTB,10
93,1,9592.445477105,7616,22,2016,GTB,10
94,2,70494.50936978296,7616,22,2016,GTB,10
95,3,5859.467102049425,7616,22,2016,GTB,10
96,1,10234.07096427984,7616,22,2017,GTB,10
97,2,85276.77281665607,7616,22,2017,GTB,10
98,3,6067.412634865871,7616,22,2017,GTB,10
99,1,11303.533608677508,7616,22,2018,GTB,10
100,2,131841.42098487652,7616,22,2018,GTB,10
101,3,6015.177719300501,7616,22,2018,GTB,10
102,1,10274.955696049114,7616,22,2019,GTB,10
103,2,61937.91895454843,7616,22,2019,GTB,10
104,3,5572.60723295033,7616,22,2019,GTB,10
105,1,10887.831512943623,7616,22,2020,GTB,10
106,2,80556.28171083589,7616,22,2020,GTB,10
107,3,4708.982210384222,7616,22,2020,GTB,10
108,1,9000.919798332812,7616,22,2021,GTB,10
109,2,55299.08368780701,7616,22,2021,GTB,10
110,3,5890.327914966677,7616,22,2021,GTB,10
111,1,9348.26960898386,7616,22,2022,GTB,10
112,2,90258.43187146708,7616,22,2022,GTB,10
113,3,4922.368387859537,7616,22,2022,GTB,10
114,1,53.5566986274031,775,33,1985,GTB,10
115,2,613.9417256420904,775,33,1985,GTB,10
116,3,83.20833473620849,775,33,1985,GTB,10
117,1,108.76139683150949,775,33,1986,GTB,10
118,2,328.6204277327236,775,33,1986,GTB,10
119,3,83.67512784395105,775,33,1986,GTB,10
120,1,56.404345308239485,775,33,1987,GTB,10
121,2,2264.260682835757,775,33,1987,GTB,10
122,3,113.12049836234304,775,33,1987,GTB,10
123,1,87.43774676638128,775,33,1988,GTB,10
124,2,309.86218943967407,775,33,1988,GTB,10
125,3,92.88956354750692,775,33,1988,GTB,10
126,1,79.70447232012579,775,33,1989,GTB,10
127,2,354.19496064656613,775,33,1989,GTB,10
128,3,95.85637437155331,775,33,1989,GTB,10
129,1,130.13105646601656,775,33,1990,GTB,10
130,2,843.3714281392432,775,33,1990,GTB,10
131,3,118.9252678421082,775,33,1990,GTB,10
132,1,64.78804866579537,775,33,1991,GTB,10
133,2,351.08758604154787,775,33,1991,GTB,10
134,3,142.65643175616103,775,33,1991,GTB,10
135,1,101.78332195724178,775,33,1992,GTB,10
136,2,1504.4797934353417,775,33,1992,GTB,10
137,3,106.11544999765434,775,33,1992,GTB,10
138,1,45.84885047679225,775,33,1993,GTB,10
139,2,2785.8984912057967,775,33,1993,GTB,10
140,3,95.0249980722704,775,33,1993,GTB,10
141,1,90.20146390591496,775,33,1994,GTB,10
142,2,1855.0495670535831,775,33,1994,GTB,10
143,3,68.73883923787432,775,33,1994,GTB,10
144,1,92.47318297621771,775,33,1995,GTB,10
145,2,397.0799730138456,775,33,1995,GTB,10
146,3,93.02606818440763,775,33,1995,GTB,10
147,1,92.17770640622597,775,33,1996,GTB,10
148,2,382.9637744970946,775,33,1996,GTB,10
149,3,86.63960519773005,775,33,1996,GTB,10
150,1,149.20305010232374,775,33,1997,GTB,10
151,2,246.88542515107983,775,33,1997,GTB,10
152,3,71.57252229549636,775,33,1997,GTB,10
153,1,51.81625901242725,775,33,1998,GTB,10
154,2,1186.10507035101,775,33,1998,GTB,10
155,3,68.74384363379384,775,33,1998,GTB,10
156,1,102.53829795627962,775,33,1999,GTB,10
157,2,705.707856349643,775,33,1999,GTB,10
158,3,132.2161425901884,775,33,1999,GTB,10
159,1,117.738716357374,775,33,2000,GTB,10
160,2,401.0910195546824,775,33,2000,GTB,10
161,3,52.78332983060949,775,33,2000,GTB,10
162,1,68.43193836665135,775,33,2001,GTB,10
163,2,304.04632583187333,775,33,2001,GTB,10
164,3,95.96240485502356,775,33,2001,GTB,10
165,1,132.23154647190466,775,33,2002,GTB,10
166,2,918.7506569213384,775,33,2002,GTB,10
167,3,69.46970029569742,775,33,2002,GTB,10
168,1,61.67190390483783,775,33,2003,GTB,10
169,2,2157.7962246016223,775,33,2003,GTB,10
170,3,119.05514490478518,775,33,2003,GTB,10
171,1,108.08340230277268,775,33,2004,GTB,10
172,2,553.833914803731,775,33,2004,GTB,10
173,3,83.19433419409663,775,33,2004,GTB,10
174,1,134.79651976909565,775,33,2005,GTB,10
175,2,640.9351068646121,775,33,2005,GTB,10
176,3,57.28174813447842,775,33,2005,GTB,10
177,1,107.68168830504176,775,33,2006,GTB,10
178,2,525.3146188288919,775,33,2006,GTB,10
179,3,67.57262409213199,775,33,2006,GTB,10
180,1,114.3229586939913,775,33,2007,GTB,10
181,2,407.23054085365504,775,33,2007,GTB,10
182,3,67.71883033914007,775,33,2007,GTB,10
183,1,82.9683025731704,775,33,2008,GTB,10
184,2,763.0961761978451,775,33,2008,GTB,10
185,3,84.53322576638615,775,33,2008,GTB,10
186,1,89.01899145323512,775,33,2009,GTB,10
187,2,310.2058105033128,775,33,2009,GTB,10
188,3,61.91857085678998,775,33,2009,GTB,10
189,1,48.46842673887963,775,33,2010,GTB,10
190,2,1283.7288143865871,775,33,2010,GTB,10
191,3,47.89633145163142,775,33,2010,GTB,10
192,1,73.22575299218269,775,33,2011,GTB,10
193,2,439.1243938683369,775,33,2011,GTB,10
194,3,72.67494536326689,775,33,2011,GTB,10
195,1,35.80718132324219,775,33,2012,GTB,10
196,2,761.6820588878676,775,33,2012,GTB,10
197,3,62.92776744473326,775,33,2012,GTB,10
198,1,72.23727067500096,775,33,2013,GTB,10
199,2,444.39761460971056,775,33,2013,GTB,10
200,3,65.85397062890145,775,33,2013,GTB,10
201,1,102.1634640219535,775,33,2014,GTB,10
202,2,520.7766295877611,775,33,2014,GTB,10
203,3,27.031709937050017,775,33,2014,GTB,10
204,1,81.1856670865885,775,33,2015,GTB,10
205,2,211.7013286982279,775,33,2015,GTB,10
206,3,36.18656830973308,775,33,2015,GTB,10
207,1,89.83528952708524,775,33,2016,GTB,10
208,2,86.81484248439413,775,33,2016,GTB,10
209,3,41.38079628422756,775,33,2016,GTB,10
210,1,46.52766926542392,775,33,2017,GTB,10
211,2,315.10815837265943,775,33,2017,GTB,10
212,3,71.97617171470492,775,33,2017,GTB,10
213,1,61.67027570444145,775,33,2018,GTB,10
214,2,217.07262229741127,775,33,2018,GTB,10
215,3,60.50695044495824,775,33,2018,GTB,10
216,1,130.25323118307657,775,33,2019,GTB,10
217,2,526.3810413498101,775,33,2019,GTB,10
218,3,38.14637462153415,775,33,2019,GTB,10
219,1,130.91268405151357,775,33,2020,GTB,10
220,2,640.1412686707503,775,33,2020,GTB,10
221,3,38.18691314871993,775,33,2020,GTB,10
222,1,113.27794772695496,775,33,2021,GTB,10
223,2,145.7516654988606,775,33,2021,GTB,10
224,3,60.46855508635876,775,33,2021,GTB,10
225,1,194.1258203808356,775,33,2022,GTB,10
226,2,416.3555442678404,775,33,2022,GTB,10
227,3,55.46018544699277,775,33,2022,GTB,10
228,3,0.9719859685680912,7622,12,1985,GTB,10
229,3,8781.97098350877,7622,12,1986,GTB,10
230,3,8745.919786280374,7622,12,1987,GTB,10
231,3,6443.016977926872,7622,12,1988,GTB,10
232,3,6546.8507399711125,7622,12,1989,GTB,10
233,3,1950.0122599261845,7622,12,1990,GTB,10
234,3,1233.930795072429,7622,12,1991,GTB,10
235,3,1247.549203345609,7622,12,1992,GTB,10
236,3,2427.257205043616,7622,12,1993,GTB,10
237,3,10786.17479607872,7622,12,1994,GTB,10
238,3,15082.113539709364,7622,12,1995,GTB,10
239,3,15827.549663295931,7622,12,1996,GTB,10
240,3,19820.44051297524,7622,12,1997,GTB,10
241,3,23170.29697145185,7622,12,1998,GTB,10
242,3,24146.24062644403,7622,12,1999,GTB,10
243,3,26723.86207403927,7622,12,2000,GTB,10
244,3,27104.427447404523,7622,12,2001,GTB,10
245,3,26662.78248147406,7622,12,2002,GTB,10
246,3,24027.2607645754,7622,12,2003,GTB,10
247,3,23537.48081210772,7622,12,2004,GTB,10
248,3,21311.860918563296,7622,12,2005,GTB,10
249,3,16588.491158464298,7622,12,2006,GTB,10
250,3,15634.28574148288,7622,12,2007,GTB,10
251,3,15512.690840591124,7622,12,2008,GTB,10
252,3,23635.03857708996,7622,12,2009,GTB,10
253,3,27248.945547858915,7622,12,2010,GTB,10
254,3,28028.35793690377,7622,12,2011,GTB,10
255,3,28351.181960129285,7622,12,2012,GTB,10
256,3,26228.473124344106,7622,12,2013,GTB,10
257,3,15268.724923965196,7622,12,2014,GTB,10
258,3,4606.891355207768,7622,12,2015,GTB,10
259,3,4256.098478866919,7622,12,2016,GTB,10
260,3,3088.3409455983824,7622,12,2017,GTB,10
261,3,2702.2331464271297,7622,12,2018,GTB,10
262,3,2902.293207427953,7622,12,2019,GTB,10
263,3,2564.571631739758,7622,12,2020,GTB,10
264,3,6168.666590125218,7622,12,2021,GTB,10
265,3,6040.556205780372,7622,12,2022,GTB,10
266,1,318.8155033564982,7616,33,1985,GTB,10
267,2,13687.569590924764,7616,33,1985,GTB,10
268,3,255.26993154160465,7616,33,1985,GTB,10
269,1,493.0396013000689,7616,33,1986,GTB,10
270,2,4556.321243793035,7616,33,1986,GTB,10
271,3,540.666038459736,7616,33,1986,GTB,10
272,1,572.6346028717351,7616,33,1987,GTB,10
273,2,8581.971515916377,7616,33,1987,GTB,10
274,3,322.0821444467582,7616,33,1987,GTB,10
275,1,694.9945807150156,7616,33,1988,GTB,10
276,2,18458.306717187414,7616,33,1988,GTB,10
277,3,520.7566722491334,7616,33,1988,GTB,10
278,1,615.6847623485085,7616,33,1989,GTB,10
279,2,32315.684374359724,7616,33,1989,GTB,10
280,3,467.1440431462785,7616,33,1989,GTB,10
281,1,597.6360451657484,7616,33,1990,GTB,10
282,2,12524.241801958666,7616,33,1990,GTB,10
283,3,490.3537384930298,7616,33,1990,GTB,10
284,1,615.8923912107427,7616,33,1991,GTB,10
285,2,8282.085622766179,7616,33,1991,GTB,10
286,3,1050.2736086004782,7616,33,1991,GTB,10
287,1,593.4585585465953,7616,33,1992,GTB,10
288,2,6371.617214782649,7616,33,1992,GTB,10
289,3,774.6063270699057,7616,33,1992,GTB,10
290,1,661.1899264323607,7616,33,1993,GTB,10
