,aggrement,area,bacia,classe,year,Models,version
0,1,10979.426299203822,765,3,1985,Gap-fill,5
1,2,1793.305544716346,765,3,1985,Gap-fill,5
2,3,9291.520791995104,765,3,1985,Gap-fill,5
3,1,19158.069126635663,765,3,1986,Gap-fill,5
4,2,96188.84667402852,765,3,1986,Gap-fill,5
5,3,1102.2197285749603,765,3,1986,Gap-fill,5
6,1,18697.4483046047,765,3,1987,Gap-fill,5
7,2,44273.09600565368,765,3,1987,Gap-fill,5
8,3,1625.5676882438108,765,3,1987,Gap-fill,5
9,1,19261.557050924384,765,3,1988,Gap-fill,5
10,2,42865.09595406665,765,3,1988,Gap-fill,5
11,3,1807.9977988927328,765,3,1988,Gap-fill,5
12,1,18463.484531040693,765,3,1989,Gap-fill,5
13,2,40290.13025145944,765,3,1989,Gap-fill,5
14,3,2648.8723540462947,765,3,1989,Gap-fill,5
15,1,19601.04471471348,765,3,1990,Gap-fill,5
16,2,79947.71242996199,765,3,1990,Gap-fill,5
17,3,1445.1358062121312,765,3,1990,Gap-fill,5
18,1,20606.26484127185,765,3,1991,Gap-fill,5
19,2,104696.06670443942,765,3,1991,Gap-fill,5
20,3,551.5640758828321,765,3,1991,Gap-fill,5
21,1,19747.56212375733,765,3,1992,Gap-fill,5
22,2,108809.75369521038,765,3,1992,Gap-fill,5
23,3,1429.5483033440328,765,3,1992,Gap-fill,5
24,1,20625.480228480417,765,3,1993,Gap-fill,5
25,2,40033.2694568693,765,3,1993,Gap-fill,5
26,3,681.3422938551483,765,3,1993,Gap-fill,5
27,1,19942.272230596143,765,3,1994,Gap-fill,5
28,2,81509.05276717534,765,3,1994,Gap-fill,5
29,3,1947.342896876416,765,3,1994,Gap-fill,5
30,1,21062.057968212743,765,3,1995,Gap-fill,5
31,2,52826.334844477824,765,3,1995,Gap-fill,5
32,3,1241.9881865487862,765,3,1995,Gap-fill,5
33,1,20740.58075842234,765,3,1996,Gap-fill,5
34,2,17427.751960477024,765,3,1996,Gap-fill,5
35,3,2640.372308210864,765,3,1996,Gap-fill,5
36,1,23173.57619365045,765,3,1997,Gap-fill,5
37,2,49007.44856413103,765,3,1997,Gap-fill,5
38,3,1362.364659687333,765,3,1997,Gap-fill,5
39,1,22096.046020274815,765,3,1998,Gap-fill,5
40,2,14532.5319141785,765,3,1998,Gap-fill,5
41,3,3183.6570466695366,765,3,1998,Gap-fill,5
42,1,25206.607227819703,765,3,1999,Gap-fill,5
43,2,54020.499096149615,765,3,1999,Gap-fill,5
44,3,2351.1429788954783,765,3,1999,Gap-fill,5
45,1,25244.502583466838,765,3,2000,Gap-fill,5
46,2,24972.15301891085,765,3,2000,Gap-fill,5
47,3,4716.356758726486,765,3,2000,Gap-fill,5
48,1,26780.06227711233,765,3,2001,Gap-fill,5
49,2,28606.68322256624,765,3,2001,Gap-fill,5
50,3,3214.943905919305,765,3,2001,Gap-fill,5
51,1,26237.686472330937,765,3,2002,Gap-fill,5
52,2,43764.0222142497,765,3,2002,Gap-fill,5
53,3,3599.22159453433,765,3,2002,Gap-fill,5
54,1,26387.47038210041,765,3,2003,Gap-fill,5
55,2,30960.961358895773,765,3,2003,Gap-fill,5
56,3,3008.600484931202,765,3,2003,Gap-fill,5
57,1,25091.86547244764,765,3,2004,Gap-fill,5
58,2,18216.434836708337,765,3,2004,Gap-fill,5
59,3,2734.036489400006,765,3,2004,Gap-fill,5
60,1,28394.02548543148,765,3,2005,Gap-fill,5
61,2,42952.32082074272,765,3,2005,Gap-fill,5
62,3,3179.463117981075,765,3,2005,Gap-fill,5
63,1,27446.57982364355,765,3,2006,Gap-fill,5
64,2,21489.859066212644,765,3,2006,Gap-fill,5
65,3,4839.748752144743,765,3,2006,Gap-fill,5
66,1,33936.65864765552,765,3,2007,Gap-fill,5
67,2,42302.942673629695,765,3,2007,Gap-fill,5
68,3,2688.544075227313,765,3,2007,Gap-fill,5
69,1,28780.875544006885,765,3,2008,Gap-fill,5
70,2,10489.493752204144,765,3,2008,Gap-fill,5
71,3,10152.561975467415,765,3,2008,Gap-fill,5
72,1,31332.72046552607,765,3,2009,Gap-fill,5
73,2,14024.32816763068,765,3,2009,Gap-fill,5
74,3,10439.495106838036,765,3,2009,Gap-fill,5
75,1,36521.837581955406,765,3,2010,Gap-fill,5
76,2,32091.490316087544,765,3,2010,Gap-fill,5
77,3,5092.514122733899,765,3,2010,Gap-fill,5
78,1,35562.644038010614,765,3,2011,Gap-fill,5
79,2,26051.7401971865,765,3,2011,Gap-fill,5
80,3,7483.82289573917,765,3,2011,Gap-fill,5
81,1,33591.14007016455,765,3,2012,Gap-fill,5
82,2,18002.176048990656,765,3,2012,Gap-fill,5
83,3,10650.011420974331,765,3,2012,Gap-fill,5
84,1,36690.523976231656,765,3,2013,Gap-fill,5
85,2,39484.168201809545,765,3,2013,Gap-fill,5
86,3,4483.0491244066025,765,3,2013,Gap-fill,5
87,1,37277.64814769752,765,3,2014,Gap-fill,5
88,2,27949.61462764971,765,3,2014,Gap-fill,5
89,3,4835.858002857426,765,3,2014,Gap-fill,5
