,aggrement,area,bacia,classe,year,Models,version
0,1,946.5648680294476,758,12,1985,RF,5
1,2,9578.264127437891,758,12,1985,RF,5
2,3,2001.7726383126817,758,12,1985,RF,5
3,1,1515.0390050535689,758,12,1986,RF,5
4,2,28498.722937935963,758,12,1986,RF,5
5,3,2659.91413287464,758,12,1986,RF,5
6,1,52.6847784362793,758,12,1987,RF,5
7,2,545.0349522354652,758,12,1987,RF,5
8,3,2802.495746064934,758,12,1987,RF,5
9,1,302.4972131408691,758,12,1988,RF,5
10,2,98722.22150877684,758,12,1988,RF,5
11,3,1911.5688018824733,758,12,1988,RF,5
12,1,3.989876062011719,758,12,1989,RF,5
13,2,45.78681272448969,758,12,1989,RF,5
14,3,1838.3576288554625,758,12,1989,RF,5
15,1,781.021299710764,758,12,1990,RF,5
16,2,181961.8493129529,758,12,1990,RF,5
17,3,1235.7005305247576,758,12,1990,RF,5
18,1,339.56369290759505,758,12,1991,RF,5
19,2,21353.68763594351,758,12,1991,RF,5
20,3,3804.505423368179,758,12,1991,RF,5
21,1,1.9512300720214848,758,12,1992,RF,5
22,2,37.78260398559569,758,12,1992,RF,5
23,3,3963.7433441963935,758,12,1992,RF,5
24,3,2539.682338787849,758,12,1993,RF,5
25,3,2004.2297249678572,758,12,1994,RF,5
26,1,62.05718034447764,758,12,1995,RF,5
27,2,6375.6197393135935,758,12,1995,RF,5
28,3,1094.6383472121054,758,12,1995,RF,5
29,1,21.563020703507966,758,12,1996,RF,5
30,2,2454.510400799752,758,12,1996,RF,5
31,3,709.2562875202497,758,12,1996,RF,5
32,1,26.710411097771136,758,12,1997,RF,5
33,2,1050.4856329037889,758,12,1997,RF,5
34,3,740.4999954145843,758,12,1997,RF,5
35,2,0.2222408695714613,758,12,1998,RF,5
36,3,855.9950902412683,758,12,1998,RF,5
37,1,116.07743564548872,758,12,1999,RF,5
38,2,2986.125909508416,758,12,1999,RF,5
39,3,716.5826490977804,758,12,1999,RF,5
40,1,22.96627914428711,758,12,2000,RF,5
41,2,595.498517934953,758,12,2000,RF,5
42,3,786.0452965270994,758,12,2000,RF,5
43,1,3.458347839355469,758,12,2001,RF,5
44,2,90.05831167169312,758,12,2001,RF,5
45,3,1129.962530210342,758,12,2001,RF,5
46,1,264.1818126675236,758,12,2002,RF,5
47,2,17472.52373778476,758,12,2002,RF,5
