,aggrement,area,bacia,classe,year,Models,version
0,1,4226218.55181642,754,4,1985,Spatial,5
1,2,632916.8214050998,754,4,1985,Spatial,5
2,3,432808.9258727183,754,4,1985,Spatial,5
3,1,3996160.291440629,754,4,1986,Spatial,5
4,2,481255.907136616,754,4,1986,Spatial,5
5,3,655707.2211049013,754,4,1986,Spatial,5
6,1,3913258.165943944,754,4,1987,Spatial,5
7,2,466719.07315986697,754,4,1987,Spatial,5
8,3,747294.1066666186,754,4,1987,Spatial,5
9,1,3951667.880376072,754,4,1988,Spatial,5
10,2,729388.1883403317,754,4,1988,Spatial,5
11,3,633518.5441551807,754,4,1988,Spatial,5
12,1,3633341.1962359855,754,4,1989,Spatial,5
13,2,530392.7814458963,754,4,1989,Spatial,5
14,3,925487.1629339226,754,4,1989,Spatial,5
15,1,3923265.269343693,754,4,1990,Spatial,5
16,2,798824.9159402957,754,4,1990,Spatial,5
17,3,506792.4532892247,754,4,1990,Spatial,5
18,1,3620415.6000861903,754,4,1991,Spatial,5
19,2,522295.8396106976,754,4,1991,Spatial,5
20,3,737252.582711073,754,4,1991,Spatial,5
21,1,3651960.405851085,754,4,1992,Spatial,5
22,2,439842.2025868346,754,4,1992,Spatial,5
23,3,739904.9818406275,754,4,1992,Spatial,5
24,1,3866597.3200653614,754,4,1993,Spatial,5
25,2,646854.8847638523,754,4,1993,Spatial,5
26,3,507143.1304452757,754,4,1993,Spatial,5
27,1,3808344.051747449,754,4,1994,Spatial,5
28,2,729416.4104463522,754,4,1994,Spatial,5
29,3,661369.0313557558,754,4,1994,Spatial,5
30,1,4209783.94641922,754,4,1995,Spatial,5
31,2,806505.8474543116,754,4,1995,Spatial,5
32,3,408269.78271775256,754,4,1995,Spatial,5
33,1,3944057.766098868,754,4,1996,Spatial,5
34,2,332744.0622383192,754,4,1996,Spatial,5
35,3,696667.7800649846,754,4,1996,Spatial,5
36,1,4270166.485562857,754,4,1997,Spatial,5
37,2,523786.8215972652,754,4,1997,Spatial,5
38,3,436597.6747730563,754,4,1997,Spatial,5
39,1,3896966.8733101767,754,4,1998,Spatial,5
40,2,250208.70645201916,754,4,1998,Spatial,5
41,3,773760.1828118191,754,4,1998,Spatial,5
42,1,3701232.067606152,754,4,1999,Spatial,5
43,2,337511.18099349027,754,4,1999,Spatial,5
44,3,950446.5296388288,754,4,1999,Spatial,5
45,1,3782143.02866224,754,4,2000,Spatial,5
46,2,447860.1443614582,754,4,2000,Spatial,5
47,3,875929.4867705256,754,4,2000,Spatial,5
48,1,3590278.366481645,754,4,2001,Spatial,5
49,2,465317.55261745857,754,4,2001,Spatial,5
50,3,1031461.2545134608,754,4,2001,Spatial,5
51,1,3520006.497274196,754,4,2002,Spatial,5
52,2,290058.1629330209,754,4,2002,Spatial,5
53,3,1049828.0424441309,754,4,2002,Spatial,5
54,1,3758962.696683863,754,4,2003,Spatial,5
55,2,302095.71326183697,754,4,2003,Spatial,5
56,3,727278.6569082142,754,4,2003,Spatial,5
57,1,3749539.2912881984,754,4,2004,Spatial,5
58,2,634332.743115574,754,4,2004,Spatial,5
59,3,519835.8166722748,754,4,2004,Spatial,5
60,1,3633103.806953764,754,4,2005,Spatial,5
61,2,459826.0398557539,754,4,2005,Spatial,5
62,3,536614.0825622538,754,4,2005,Spatial,5
63,1,3575613.968261369,754,4,2006,Spatial,5
64,2,564429.0871569453,754,4,2006,Spatial,5
65,3,529254.9640014168,754,4,2006,Spatial,5
66,1,3339276.270204314,754,4,2007,Spatial,5
