,aggrement,area,bacia,classe,year,Models,version
0,1,16543.366707139474,7422,12,1985,Temporal,5
1,2,93141.0481116898,7422,12,1985,Temporal,5
2,3,33975.46186803374,7422,12,1985,Temporal,5
3,1,14303.336750906848,7422,12,1986,Temporal,5
4,2,84816.69293065107,7422,12,1986,Temporal,5
5,3,34020.62463480532,7422,12,1986,Temporal,5
6,1,3068.130563893445,7422,12,1987,Temporal,5
7,2,57185.86435398589,7422,12,1987,Temporal,5
8,3,17117.432185773643,7422,12,1987,Temporal,5
9,1,3551.637814317893,7422,12,1988,Temporal,5
10,2,95558.671153855,7422,12,1988,Temporal,5
11,3,12632.107744005338,7422,12,1988,Temporal,5
12,1,1785.5461052152507,7422,12,1989,Temporal,5
13,2,50553.024551604896,7422,12,1989,Temporal,5
14,3,3910.817019251944,7422,12,1989,Temporal,5
15,1,412.0443746180398,7422,12,1990,Temporal,5
16,2,36671.69513849079,7422,12,1990,Temporal,5
17,3,1491.4120195618625,7422,12,1990,Temporal,5
18,1,37.23878882611443,7422,12,1991,Temporal,5
19,2,2268.421404744759,7422,12,1991,Temporal,5
20,3,1076.9259365359794,7422,12,1991,Temporal,5
21,1,710.6580837865251,7422,12,1992,Temporal,5
22,2,54856.2154229041,7422,12,1992,Temporal,5
23,3,1454.1683642688924,7422,12,1992,Temporal,5
24,1,506.6842031491271,7422,12,1993,Temporal,5
25,2,62999.95093599333,7422,12,1993,Temporal,5
26,3,1459.402193471175,7422,12,1993,Temporal,5
27,1,35.52589015711167,7422,12,1994,Temporal,5
28,2,4702.5115255929695,7422,12,1994,Temporal,5
29,3,915.1915469114302,7422,12,1994,Temporal,5
30,1,220.63324744092756,7422,12,1995,Temporal,5
31,2,27280.731041335624,7422,12,1995,Temporal,5
32,3,803.0611215071851,7422,12,1995,Temporal,5
33,1,429.87795915192254,7422,12,1996,Temporal,5
34,2,27176.157423223936,7422,12,1996,Temporal,5
35,3,644.3200603271002,7422,12,1996,Temporal,5
36,1,169.80705404828242,7422,12,1997,Temporal,5
37,2,36458.526156141656,7422,12,1997,Temporal,5
38,3,612.7848417153267,7422,12,1997,Temporal,5
39,1,37.63795915776271,7422,12,1998,Temporal,5
