,aggrement,area,bacia,classe,year,Models,version
0,1,1418421.3852785495,772,21,1985,toExport,10
1,2,33949.3781292669,772,21,1985,toExport,10
2,3,312682.6797683604,772,21,1985,toExport,10
3,1,1203121.565799909,772,21,1986,toExport,10
4,2,45801.81521635316,772,21,1986,toExport,10
5,3,537846.9606774938,772,21,1986,toExport,10
6,1,1059995.3061223384,772,21,1987,toExport,10
7,2,72501.7565523184,772,21,1987,toExport,10
8,3,673652.834551758,772,21,1987,toExport,10
9,1,1186120.2862305054,772,21,1988,toExport,10
10,2,86105.702560107,772,21,1988,toExport,10
11,3,546587.7400465121,772,21,1988,toExport,10
12,1,1255284.803477288,772,21,1989,toExport,10
13,2,61274.84875118669,772,21,1989,toExport,10
14,3,522241.32317678176,772,21,1989,toExport,10
15,1,1173048.825579085,772,21,1990,toExport,10
16,2,52375.18202731518,772,21,1990,toExport,10
17,3,635231.7556996624,772,21,1990,toExport,10
18,1,1181298.614064528,772,21,1991,toExport,10
19,2,74745.95273314626,772,21,1991,toExport,10
20,3,693624.9812193614,772,21,1991,toExport,10
21,1,1267553.5685946078,772,21,1992,toExport,10
22,2,83404.01803470499,772,21,1992,toExport,10
23,3,718003.2017805123,772,21,1992,toExport,10
24,1,1396727.1863731362,772,21,1993,toExport,10
25,2,105556.24215838408,772,21,1993,toExport,10
26,3,647171.3953686843,772,21,1993,toExport,10
27,1,1381691.6887097373,772,21,1994,toExport,10
28,2,99090.2732892709,772,21,1994,toExport,10
29,3,689276.1022220267,772,21,1994,toExport,10
30,1,1328805.7278530782,772,21,1995,toExport,10
31,2,75282.37123409029,772,21,1995,toExport,10
32,3,755691.3327330207,772,21,1995,toExport,10
33,1,1347310.9645292603,772,21,1996,toExport,10
34,2,88335.23315705059,772,21,1996,toExport,10
35,3,733859.3489078737,772,21,1996,toExport,10
36,1,1240693.113313649,772,21,1997,toExport,10
37,2,81038.52476004264,772,21,1997,toExport,10
38,3,810921.6630771991,772,21,1997,toExport,10
39,1,1059923.3916432706,772,21,1998,toExport,10
40,2,34275.697745283614,772,21,1998,toExport,10
41,3,1005797.6939539532,772,21,1998,toExport,10
42,1,1055969.8914632555,772,21,1999,toExport,10
43,2,33303.98618952802,772,21,1999,toExport,10
44,3,1027169.5010866034,772,21,1999,toExport,10
45,1,1328030.6017159284,772,21,2000,toExport,10
46,2,44862.50595073828,772,21,2000,toExport,10
47,3,771049.0916114239,772,21,2000,toExport,10
48,1,1366788.7701438735,772,21,2001,toExport,10
49,2,50882.75710702629,772,21,2001,toExport,10
50,3,755791.8319312728,772,21,2001,toExport,10
51,1,1157907.0476452296,772,21,2002,toExport,10
52,2,27985.186170561337,772,21,2002,toExport,10
53,3,977097.645434222,772,21,2002,toExport,10
54,1,1025131.762563758,772,21,2003,toExport,10
55,2,26113.50836379589,772,21,2003,toExport,10
56,3,1155775.299945516,772,21,2003,toExport,10
57,1,1107852.139001063,772,21,2004,toExport,10
58,2,26619.708338844965,772,21,2004,toExport,10
59,3,1097285.5123494428,772,21,2004,toExport,10
60,1,1325848.2578612147,772,21,2005,toExport,10
61,2,42284.94578369067,772,21,2005,toExport,10
62,3,888163.319582304,772,21,2005,toExport,10
63,1,1492612.6724638992,772,21,2006,toExport,10
64,2,34430.6918402197,772,21,2006,toExport,10
65,3,737046.8360998904,772,21,2006,toExport,10
66,1,1597945.3711252466,772,21,2007,toExport,10
67,2,46631.24905630623,772,21,2007,toExport,10
68,3,625485.7035874134,772,21,2007,toExport,10
69,1,1579514.0810036135,772,21,2008,toExport,10
70,2,75919.6089175274,772,21,2008,toExport,10
71,3,636279.568203532,772,21,2008,toExport,10
72,1,1491605.0016271246,772,21,2009,toExport,10
73,2,70306.63903228678,772,21,2009,toExport,10
74,3,707932.9043533441,772,21,2009,toExport,10
75,1,1472795.7083284245,772,21,2010,toExport,10
76,2,51704.59666896158,772,21,2010,toExport,10
77,3,711252.703941286,772,21,2010,toExport,10
78,1,1372398.6799087522,772,21,2011,toExport,10
79,2,41260.46623289373,772,21,2011,toExport,10
80,3,804409.2905738335,772,21,2011,toExport,10
81,1,1252044.504530955,772,21,2012,toExport,10
82,2,33740.628202350126,772,21,2012,toExport,10
83,3,907955.6328635828,772,21,2012,toExport,10
84,1,1332346.5423854587,772,21,2013,toExport,10
85,2,39128.874779404505,772,21,2013,toExport,10
86,3,813537.3995724733,772,21,2013,toExport,10
87,1,1319210.043762443,772,21,2014,toExport,10
88,2,39473.813021048365,772,21,2014,toExport,10
89,3,803234.0995170622,772,21,2014,toExport,10
90,1,1371887.6993372736,772,21,2015,toExport,10
91,2,54586.51895862153,772,21,2015,toExport,10
92,3,747763.1944128578,772,21,2015,toExport,10
93,1,1445590.446377949,772,21,2016,toExport,10
94,2,60566.96341618597,772,21,2016,toExport,10
95,3,652460.0655715634,772,21,2016,toExport,10
96,1,1437798.7734387426,772,21,2017,toExport,10
97,2,46422.83299773235,772,21,2017,toExport,10
98,3,659787.3165971293,772,21,2017,toExport,10
99,1,1415838.8022990697,772,21,2018,toExport,10
100,2,54293.028982558026,772,21,2018,toExport,10
101,3,686996.5835066042,772,21,2018,toExport,10
102,1,1382889.7447619257,772,21,2019,toExport,10
103,2,60040.36097374659,772,21,2019,toExport,10
104,3,722983.0726012393,772,21,2019,toExport,10
105,1,1257654.2014226906,772,21,2020,toExport,10
106,2,66888.73004339916,772,21,2020,toExport,10
107,3,848841.9677074098,772,21,2020,toExport,10
108,1,1270329.4540403497,772,21,2021,toExport,10
109,2,85070.13166405378,772,21,2021,toExport,10
