,area,classe,year,Colacao,Bacia,cobertura,cob_level1,cob_color,nat_color,total
0,10139.743936399567,3,1985,Col80,767,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,452187.6527424877,4,1985,Col80,767,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,1425.855617504167,12,1985,Col80,767,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,343493.3048758255,21,1985,Col80,767,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
4,5315.833188947922,22,1985,Col80,767,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
5,603.7230886724498,29,1985,Col80,767,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
6,20555.273714215364,33,1985,Col80,767,Water,Natural,#112013,#32a65e,cobertura
7,10130.88729902374,3,1986,Col80,767,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
8,450735.7953918013,4,1986,Col80,767,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
9,1400.7390066325129,12,1986,Col80,767,Grassland,Natural,#d6bc74,#32a65e,cobertura
10,345150.7374987014,21,1986,Col80,767,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
11,5153.887091597761,22,1986,Col80,767,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
12,608.206067639735,29,1986,Col80,767,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
13,20541.134808635656,33,1986,Col80,767,Water,Natural,#112013,#32a65e,cobertura
14,10202.530906960576,3,1987,Col80,767,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
15,446886.8405745474,4,1987,Col80,767,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
16,1640.4965909081334,12,1987,Col80,767,Grassland,Natural,#d6bc74,#32a65e,cobertura
17,349570.25957901275,21,1987,Col80,767,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
18,4965.996443859723,22,1987,Col80,767,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
19,592.9282595604035,29,1987,Col80,767,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
