,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,42723.57183993501,3,1985,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,575751.8905852484,4,1985,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,9993.842004372926,12,1985,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,29495.812436064305,21,1985,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
4,8165.697114346451,22,1985,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
5,3292.923735462896,33,1985,Estavel,741,26,Water,Natural,#112013,#32a65e,cobertura
6,42293.28181847069,3,1986,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
7,575043.0254418093,4,1986,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
8,9741.217635783309,12,1986,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
9,31689.20520182728,21,1986,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
10,7818.670502737181,22,1986,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
11,2838.3371148015267,33,1986,Estavel,741,26,Water,Natural,#112013,#32a65e,cobertura
12,42067.23112679713,3,1987,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
13,568737.8239578053,4,1987,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
14,8303.727400786122,12,1987,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
15,38222.25959382085,21,1987,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
16,9390.457698831364,22,1987,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
17,2702.2379373795243,33,1987,Estavel,741,26,Water,Natural,#112013,#32a65e,cobertura
18,42760.43511226291,3,1988,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
19,568485.5548197195,4,1988,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
20,8132.679217542472,12,1988,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
21,37681.6981425123,21,1988,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
22,9678.328042863057,22,1988,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
23,2685.04238051482,33,1988,Estavel,741,26,Water,Natural,#112013,#32a65e,cobertura
24,42308.953379488936,3,1989,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
25,572852.5670117831,4,1989,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
26,8467.27558547025,12,1989,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
27,31157.01263991796,21,1989,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
28,12013.987375302457,22,1989,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
29,2623.9417234566363,33,1989,Estavel,741,26,Water,Natural,#112013,#32a65e,cobertura
30,42225.322411710666,3,1990,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
31,570970.0639623827,4,1990,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
32,8389.191533879277,12,1990,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
33,36696.25298542717,21,1990,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
34,8506.412539519923,22,1990,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
35,2636.4942824647296,33,1990,Estavel,741,26,Water,Natural,#112013,#32a65e,cobertura
36,41995.653515368205,3,1991,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
37,569885.7859839397,4,1991,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
38,7897.479864281419,12,1991,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
39,35853.16575777478,21,1991,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
40,11175.966434422902,22,1991,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
41,2615.6861595861574,33,1991,Estavel,741,26,Water,Natural,#112013,#32a65e,cobertura
42,40931.60342632751,3,1992,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
43,572715.8251623319,4,1992,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
44,8358.735566969142,12,1992,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
45,37730.261450271646,21,1992,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
46,7296.007755604238,22,1992,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
47,2391.3043538661486,33,1992,Estavel,741,26,Water,Natural,#112013,#32a65e,cobertura
48,40756.62126407855,3,1993,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
49,571053.8391695211,4,1993,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
50,6358.570431211911,12,1993,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
51,34344.05386737885,21,1993,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
52,14584.99234418395,22,1993,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
53,2325.6606389845083,33,1993,Estavel,741,26,Water,Natural,#112013,#32a65e,cobertura
54,41263.41314710968,3,1994,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
55,570049.7280266435,4,1994,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
56,5699.7699328,12,1994,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
57,35376.814093552115,21,1994,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
58,14595.121552160788,22,1994,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
59,2438.8909630915814,33,1994,Estavel,741,26,Water,Natural,#112013,#32a65e,cobertura
60,42036.75819599896,3,1995,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
61,569998.5879711625,4,1995,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
62,5228.756618294015,12,1995,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
63,34122.36451888769,21,1995,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
64,15128.933923741595,22,1995,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
65,2908.336487275476,33,1995,Estavel,741,26,Water,Natural,#112013,#32a65e,cobertura
66,42312.45072345382,3,1996,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
67,569941.2097183013,4,1996,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
68,6041.972746689375,12,1996,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
69,36062.21312166622,21,1996,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
70,12098.464368658926,22,1996,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
71,2967.427036589392,33,1996,Estavel,741,26,Water,Natural,#112013,#32a65e,cobertura
72,42548.575717936,3,1997,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
73,568494.64793956,4,1997,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
74,6262.1356999559,12,1997,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
75,38499.22359824481,21,1997,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
76,10677.482022108788,22,1997,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
77,2941.6727375516434,33,1997,Estavel,741,26,Water,Natural,#112013,#32a65e,cobertura
78,42338.87819731519,3,1998,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
79,565969.3435052112,4,1998,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
80,6002.352113810599,12,1998,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
81,34409.49820936375,21,1998,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
82,18063.152544809785,22,1998,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
83,2640.513144827696,33,1998,Estavel,741,26,Water,Natural,#112013,#32a65e,cobertura
84,43216.07464701012,3,1999,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
85,564208.7916988691,4,1999,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
86,7743.244649471727,12,1999,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
87,43604.20079538928,21,1999,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
88,8128.130641007984,22,1999,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
89,2523.2952836063296,33,1999,Estavel,741,26,Water,Natural,#112013,#32a65e,cobertura
90,43559.62707352675,3,2000,Estavel,741,26,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
91,560243.4305749941,4,2000,Estavel,741,26,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
92,7542.783864549911,12,2000,Estavel,741,26,Grassland,Natural,#d6bc74,#32a65e,cobertura
93,45797.11764168806,21,2000,Estavel,741,26,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
94,9561.29170428168,22,2000,Estavel,741,26,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
