,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,122928.0571447016,3,1985,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,502894.6898114605,4,1985,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,112666.49369457828,12,1985,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,1136138.5587242078,21,1985,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
4,800.580844855984,22,1985,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
5,3115.283100087865,33,1985,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
6,121120.1790727509,3,1986,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
7,493237.4669368678,4,1986,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
8,120277.83423323907,12,1986,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
9,1137997.127106178,21,1986,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
10,756.898282865256,22,1986,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
11,5154.15768805625,33,1986,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
12,116041.77884689136,3,1987,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
13,463796.34909047023,4,1987,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
14,73348.44449776462,12,1987,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
15,1220932.1766103357,21,1987,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
16,564.8708515169742,22,1987,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
17,3860.043422896875,33,1987,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
18,109562.8482312616,3,1988,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
19,447356.6544570812,4,1988,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
20,62382.83862489368,12,1988,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
21,1254874.6526249065,21,1988,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
22,189.2659810974122,22,1988,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
23,4177.403400698629,33,1988,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
24,108764.87829405443,3,1989,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
25,430928.8109944081,4,1989,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
26,77019.97727905484,12,1989,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
27,1254668.7521193223,21,1989,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
28,1500.8818799842982,22,1989,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
29,5660.362753053081,33,1989,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
30,95096.99091214384,3,1990,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
31,427287.6399745984,4,1990,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
32,93021.01216920612,12,1990,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
33,1252816.9904217029,21,1990,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
34,2338.4227410102408,22,1990,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
35,7982.6071012799075,33,1990,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
36,106441.89470077268,3,1991,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
37,429245.8502808641,4,1991,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
38,59946.90418155319,12,1991,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
39,1274472.269925686,21,1991,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
40,287.92363802653,22,1991,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
41,8148.820592996581,33,1991,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
42,99760.5674246992,3,1992,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
43,438286.2248815313,4,1992,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
44,51073.80231414528,12,1992,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
45,1282910.899905458,21,1992,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
46,323.094557792825,22,1992,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
47,6189.074236200631,33,1992,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
48,86198.49970468364,3,1993,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
49,473746.0308759724,4,1993,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
50,56920.36349643779,12,1993,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
51,1255115.611676339,21,1993,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
52,591.0557578236059,22,1993,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
53,5972.101808641882,33,1993,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
54,100767.29240081756,3,1994,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
55,489562.4662675037,4,1994,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
56,40385.60354910506,12,1994,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
57,1240673.359285919,21,1994,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
58,443.2906303633383,22,1994,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
59,6711.65118619657,33,1994,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
60,88182.67052284455,3,1995,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
61,501088.0629153787,4,1995,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
62,45585.49626081442,12,1995,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
63,1237196.0968161146,21,1995,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
64,450.2658303426347,22,1995,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
65,6041.070974376978,33,1995,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
66,81251.20698539318,3,1996,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
67,495020.8830676109,4,1996,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
68,49933.13342691622,12,1996,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
69,1246997.071236553,21,1996,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
70,905.2695267765292,22,1996,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
71,4436.099076636468,33,1996,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
72,98603.58204401108,3,1997,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
73,461136.15016747726,4,1997,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
74,63071.10145799118,12,1997,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
75,1249401.4825506257,21,1997,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
76,1396.3647883533429,22,1997,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
77,4934.982311487908,33,1997,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
78,85844.57003563181,3,1998,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
79,432440.5791441062,4,1998,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
80,107971.47005320352,12,1998,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
81,1243913.8013412685,21,1998,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
82,1029.259197132688,22,1998,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
83,7343.983548673675,33,1998,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
84,86505.15627446823,3,1999,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
85,397265.1456784321,4,1999,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
86,111947.13756537212,12,1999,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
87,1275289.1249891212,21,1999,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
88,1305.6512952299236,22,1999,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
89,6231.447517441542,33,1999,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
90,89675.34505515917,3,2000,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
91,359136.0097483934,4,2000,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
92,69728.60876083795,12,2000,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
93,1350875.3558206758,21,2000,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
94,2548.550598725224,22,2000,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
95,6579.79333624123,33,2000,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
96,82772.75258633432,3,2001,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
97,346431.0852121276,4,2001,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
98,80816.51582658173,12,2001,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
99,1362150.4473648774,21,2001,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
100,1532.3607152440968,22,2001,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
101,4840.501614819223,33,2001,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
102,86224.39933066645,3,2002,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
103,360227.5246198102,4,2002,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
104,60432.99911309739,12,2002,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
105,1366292.4882011032,21,2002,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
106,374.8178800713512,22,2002,FrequencyV2natUso,7742,16,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
107,4991.434175173733,33,2002,FrequencyV2natUso,7742,16,Water,Natural,#112013,#32a65e,cobertura
108,87146.81743240675,3,2003,FrequencyV2natUso,7742,16,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
109,366350.0342944847,4,2003,FrequencyV2natUso,7742,16,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
110,42818.70958976374,12,2003,FrequencyV2natUso,7742,16,Grassland,Natural,#d6bc74,#32a65e,cobertura
111,1377402.414707195,21,2003,FrequencyV2natUso,7742,16,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
