,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,2895276.430319228,4,1985,FrequencyV3St2,7619,18,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1,129582.07275863596,12,1985,FrequencyV3St2,7619,18,Grassland,Natural,#d6bc74,#32a65e,cobertura
2,523498.8224282455,21,1985,FrequencyV3St2,7619,18,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
3,3946.3563489444464,22,1985,FrequencyV3St2,7619,18,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
4,62054.42892408568,33,1985,FrequencyV3St2,7619,18,Water,Natural,#112013,#32a65e,cobertura
5,2895033.781162617,4,1986,FrequencyV3St2,7619,18,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
6,129533.69841296978,12,1986,FrequencyV3St2,7619,18,Grassland,Natural,#d6bc74,#32a65e,cobertura
7,523774.3947994905,21,1986,FrequencyV3St2,7619,18,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
8,3891.829243390247,22,1986,FrequencyV3St2,7619,18,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
9,62124.40716067225,33,1986,FrequencyV3St2,7619,18,Water,Natural,#112013,#32a65e,cobertura
10,2844642.445951454,4,1987,FrequencyV3St2,7619,18,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
11,105471.45919528134,12,1987,FrequencyV3St2,7619,18,Grassland,Natural,#d6bc74,#32a65e,cobertura
12,620751.2291595375,21,1987,FrequencyV3St2,7619,18,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
13,6470.576703755315,22,1987,FrequencyV3St2,7619,18,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
14,37022.39976915087,33,1987,FrequencyV3St2,7619,18,Water,Natural,#112013,#32a65e,cobertura
15,2809721.3060993566,4,1988,FrequencyV3St2,7619,18,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
16,84711.5844725634,12,1988,FrequencyV3St2,7619,18,Grassland,Natural,#d6bc74,#32a65e,cobertura
17,674388.2465042741,21,1988,FrequencyV3St2,7619,18,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
18,5615.667554136538,22,1988,FrequencyV3St2,7619,18,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
19,39921.30614883402,33,1988,FrequencyV3St2,7619,18,Water,Natural,#112013,#32a65e,cobertura
