,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,8358.384096893862,3,1985,FrequencyV3St1,757,31,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,1244569.7139458074,4,1985,FrequencyV3St1,757,31,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,13901.363353803825,12,1985,FrequencyV3St1,757,31,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,1380265.1836144233,21,1985,FrequencyV3St1,757,31,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
4,3688.084204826689,22,1985,FrequencyV3St1,757,31,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
5,33994.22318525461,33,1985,FrequencyV3St1,757,31,Water,Natural,#112013,#32a65e,cobertura
6,8778.489571478382,3,1986,FrequencyV3St1,757,31,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
7,1206036.057928346,4,1986,FrequencyV3St1,757,31,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
8,13984.1472661623,12,1986,FrequencyV3St1,757,31,Grassland,Natural,#d6bc74,#32a65e,cobertura
9,1416366.8423586148,21,1986,FrequencyV3St1,757,31,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
10,4513.332736414321,22,1986,FrequencyV3St1,757,31,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
11,35098.08253999305,33,1986,FrequencyV3St1,757,31,Water,Natural,#112013,#32a65e,cobertura
12,9593.608178170882,3,1987,FrequencyV3St1,757,31,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
13,1114409.1463836925,4,1987,FrequencyV3St1,757,31,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
14,15678.430055613157,12,1987,FrequencyV3St1,757,31,Grassland,Natural,#d6bc74,#32a65e,cobertura
15,1511484.2974691272,21,1987,FrequencyV3St1,757,31,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
