,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,202089.16673017296,3,1985,GTB,7741,12,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,1334822.0278125063,4,1985,GTB,7741,12,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,209489.44163281255,12,1985,GTB,7741,12,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,628588.0883948525,21,1985,GTB,7741,12,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
4,4639.143039931151,22,1985,GTB,7741,12,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
5,7525.766440420214,33,1985,GTB,7741,12,Water,Natural,#112013,#32a65e,cobertura
6,329515.02677862585,3,1986,GTB,7741,12,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
7,1757925.1829912104,4,1986,GTB,7741,12,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
8,356148.6110099425,12,1986,GTB,7741,12,Grassland,Natural,#d6bc74,#32a65e,cobertura
9,608095.3873298329,21,1986,GTB,7741,12,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
10,11897.42500641357,22,1986,GTB,7741,12,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
11,22605.46201926697,33,1986,GTB,7741,12,Water,Natural,#112013,#32a65e,cobertura
12,543813.2142430127,3,1987,GTB,7741,12,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
13,1481043.7415587576,4,1987,GTB,7741,12,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
14,213289.9618342185,12,1987,GTB,7741,12,Grassland,Natural,#d6bc74,#32a65e,cobertura
15,819227.485668866,21,1987,GTB,7741,12,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
16,19965.091863062706,22,1987,GTB,7741,12,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
17,17541.883609710298,33,1987,GTB,7741,12,Water,Natural,#112013,#32a65e,cobertura
18,488001.13992013846,3,1988,GTB,7741,12,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
19,1718303.5885352914,4,1988,GTB,7741,12,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
20,249798.7015864536,12,1988,GTB,7741,12,Grassland,Natural,#d6bc74,#32a65e,cobertura
21,668103.7770097238,21,1988,GTB,7741,12,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
22,4664.624442958697,22,1988,GTB,7741,12,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
23,17312.224742670507,33,1988,GTB,7741,12,Water,Natural,#112013,#32a65e,cobertura
24,169122.32242885022,3,1989,GTB,7741,12,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
25,1479370.8479784273,4,1989,GTB,7741,12,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
