,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,2718236.910856297,4,1985,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1,278581.87481163314,12,1985,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
2,544943.1595143036,21,1985,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
3,9983.59493448264,22,1985,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
4,62612.57066243727,33,1985,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
5,2710569.045554436,4,1986,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
6,279093.3349165946,12,1986,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
7,551973.0198117053,21,1986,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
8,10154.11237091841,22,1986,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
9,62568.59812551359,33,1986,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
10,2624955.055073196,4,1987,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
11,285202.8420020626,12,1987,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
12,644724.6769552835,21,1987,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
13,19562.173254116355,22,1987,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
14,39913.3634945396,33,1987,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
15,2404224.1030488377,4,1988,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
16,452588.21526725177,12,1988,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
17,677353.894270929,21,1988,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
18,33768.46330969441,22,1988,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
19,46423.43488264076,33,1988,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
20,2555747.844050948,4,1989,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
21,386488.05969979713,12,1989,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
22,610919.0511535609,21,1989,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
23,19918.0990288366,22,1989,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
24,41285.056846090665,33,1989,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
25,2544507.390969482,4,1990,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
26,367835.8788326078,12,1990,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
27,602423.1076168539,21,1990,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
28,26583.72728680719,22,1990,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
29,73008.0060735012,33,1990,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
30,2389335.9459125106,4,1991,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
31,423415.6536036877,12,1991,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
32,706519.0515107233,21,1991,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
33,13583.275332443243,22,1991,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
34,81504.18442006377,33,1991,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
35,2628176.621282506,4,1992,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
36,317057.0180851815,12,1992,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
37,579245.4016468491,21,1992,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
38,6267.423998558619,22,1992,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
39,83611.64576622088,33,1992,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
40,2536364.2434639204,4,1993,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
41,376609.8187287041,12,1993,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
42,617885.3224240185,21,1993,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
43,10271.294130332151,22,1993,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
44,73227.43203233038,33,1993,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
45,2362437.0758674485,4,1994,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
46,486277.81950011646,12,1994,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
47,667004.2377572121,21,1994,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
48,19193.94490059461,22,1994,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
49,79445.03275390426,33,1994,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
50,2453244.831229467,4,1995,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
51,359398.8903321915,12,1995,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
52,735671.3215953147,21,1995,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
53,25914.07574025248,22,1995,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
54,40128.99188200246,33,1995,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
55,2443861.11106254,4,1996,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
56,438623.5857175932,12,1996,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
57,670131.6332233268,21,1996,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
58,21567.430628169044,22,1996,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
59,40174.35014756132,33,1996,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
60,2572539.4117393573,4,1997,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
61,314029.5308943606,12,1997,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
62,634800.7100362516,21,1997,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
63,17182.68305312896,22,1997,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
64,75805.7750561733,33,1997,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
65,2579902.1749120136,4,1998,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
66,373600.28024771775,12,1998,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
67,601336.4060110373,21,1998,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
68,7041.945990229267,22,1998,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
69,52477.30361837884,33,1998,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
70,2462341.3316589007,4,1999,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
71,448808.5166798403,12,1999,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
72,646767.3516409559,21,1999,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
73,22452.42948777277,22,1999,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
74,33988.48131185474,33,1999,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
75,2535706.177043417,4,2000,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
76,434911.8646332596,12,2000,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
77,562362.3964686258,21,2000,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
78,27677.895393922245,22,2000,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
79,53699.77724005539,33,2000,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
80,2580304.194769294,4,2001,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
81,354481.8405652186,12,2001,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
82,619514.1983479222,21,2001,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
83,27269.33728432184,22,2001,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
84,32788.539812570874,33,2001,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
85,2556223.154173319,4,2002,Gap-fillV2,7619,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
86,344386.0448332608,12,2002,Gap-fillV2,7619,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
87,653909.5271246434,21,2002,Gap-fillV2,7619,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
88,22075.29437210145,22,2002,Gap-fillV2,7619,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
89,37764.09027601797,33,2002,Gap-fillV2,7619,15,Water,Natural,#112013,#32a65e,cobertura
