,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,2033.3802738228037,3,1985,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,201442.59120614335,4,1985,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,22932.69790278654,12,1985,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,21171.11464251829,21,1985,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
4,4266.942429445027,22,1985,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
5,141.15055294041042,33,1985,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
6,116376.09831918884,3,1986,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
7,726456.0586335208,4,1986,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
8,16293.784482620924,12,1986,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
9,39791.149935159694,21,1986,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
10,23242.67956858053,22,1986,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
11,1344.8291480102296,33,1986,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
12,10868.010560571634,3,1987,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
13,721110.7303654981,4,1987,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
14,84431.73202343416,12,1987,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
15,68329.16544046004,21,1987,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
16,37831.35419835655,22,1987,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
17,468.9886611094518,33,1987,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
18,34009.87215225286,3,1988,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
19,751768.5405400096,4,1988,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
20,53825.56433856924,12,1988,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
21,71135.91125836865,21,1988,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
22,12193.698383538242,22,1988,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
23,570.3871458695719,33,1988,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
24,150513.13446173776,3,1989,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
25,652480.8313470527,4,1989,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
26,39093.99447753308,12,1989,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
27,65290.002301812114,21,1989,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
28,15818.073484818857,22,1989,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
29,305.717052640166,33,1989,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
30,20339.291025724287,3,1990,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
31,670713.8147669458,4,1990,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
32,130706.07725484377,12,1990,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
33,76248.03307949983,21,1990,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
34,20868.47514946136,22,1990,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
35,3492.800894697581,33,1990,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
36,4923.536573213532,3,1991,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
37,785260.8474225269,4,1991,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
38,26262.15464550941,12,1991,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
39,86572.55923072835,21,1991,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
40,20430.607593621266,22,1991,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
41,5292.504241994554,3,1992,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
42,697408.9445889498,4,1992,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
43,108277.6528401737,12,1992,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
44,61349.2432395305,21,1992,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
45,49604.4148895093,22,1992,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
46,31990.40095915105,3,1993,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
47,717514.4413219295,4,1993,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
48,70711.23475211042,12,1993,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
49,51124.95234965745,21,1993,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
50,46825.162853621245,22,1993,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
51,4289.660600801504,33,1993,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
52,2494.0387797871454,3,1994,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
53,729033.0688954074,4,1994,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
54,35317.66548099783,12,1994,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
55,64272.952255691445,21,1994,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
56,91066.57598033817,22,1994,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
57,802.2578929232749,33,1994,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
58,2312.8391704345718,3,1995,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
59,721331.0435026017,4,1995,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
60,62122.36209368522,12,1995,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
61,89055.27572234308,21,1995,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
62,45961.1402841917,22,1995,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
63,2609.570438407316,33,1995,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
64,12373.743210873765,3,1996,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
65,747717.5395625703,4,1996,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
66,35982.56119180554,12,1996,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
67,99703.69497413104,21,1996,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
68,26384.364371651303,22,1996,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
69,1305.3540486623708,33,1996,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
70,5005.4063000165615,3,1997,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
71,740944.4430228164,4,1997,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
72,67333.75267802809,12,1997,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
73,79309.83802106489,21,1997,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
74,27226.47162922303,22,1997,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
75,3409.5531880397907,33,1997,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
76,6212.325297554076,3,1998,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
77,627518.3712137594,4,1998,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
78,159197.0088983292,12,1998,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
79,62550.90408882728,21,1998,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
80,54738.08027408787,22,1998,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
81,6672.392157488803,33,1998,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
82,18654.85445642481,3,1999,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
83,695209.4294876469,4,1999,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
84,77603.48498872352,12,1999,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
85,99880.9059790981,21,1999,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
86,31028.77803963144,22,1999,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
87,698.3380214967734,33,1999,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
88,9486.823412446263,3,2000,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
89,700287.5898692459,4,2000,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
90,71835.75064043651,12,2000,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
91,105915.186288396,21,2000,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
92,35084.41183809299,22,2000,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
93,459.4265619084868,33,2000,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
94,698.3476413411213,3,2001,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
95,687006.0503577427,4,2001,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
96,82124.82792352162,12,2001,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
97,103976.99696239966,21,2001,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
98,48752.97719415238,22,2001,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
99,385.22839491208526,33,2001,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
100,10314.520641666337,3,2002,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
101,759569.586740624,4,2002,RF,7421,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
102,30183.596303234364,12,2002,RF,7421,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
103,102907.247788063,21,2002,RF,7421,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
104,20428.774802740656,22,2002,RF,7421,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
105,138.66481465975883,33,2002,RF,7421,5,Water,Natural,#0000FF,#32a65e,cobertura
106,13631.935066811024,3,2003,RF,7421,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
