,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,179737.07347668422,3,1985,SpatialV2St3,746,15,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,1480730.407721144,4,1985,SpatialV2St3,746,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,142249.07985220815,21,1985,SpatialV2St3,746,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
3,522.1451234116263,22,1985,SpatialV2St3,746,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
4,3465.325779083348,33,1985,SpatialV2St3,746,15,Water,Natural,#112013,#32a65e,cobertura
5,178165.42491820504,3,1986,SpatialV2St3,746,15,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
6,1478421.614097843,4,1986,SpatialV2St3,746,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
7,146453.85460452287,21,1986,SpatialV2St3,746,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
8,310.8833457077686,22,1986,SpatialV2St3,746,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
9,3352.25498624659,33,1986,SpatialV2St3,746,15,Water,Natural,#112013,#32a65e,cobertura
10,179970.1249139509,3,1987,SpatialV2St3,746,15,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
11,1475877.779334223,4,1987,SpatialV2St3,746,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
12,146749.47474910878,21,1987,SpatialV2St3,746,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
13,1190.794401147559,22,1987,SpatialV2St3,746,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
14,2915.8585540953954,33,1987,SpatialV2St3,746,15,Water,Natural,#112013,#32a65e,cobertura
15,177165.7620930024,3,1988,SpatialV2St3,746,15,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
16,1469660.0932362725,4,1988,SpatialV2St3,746,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
17,154836.38492562424,21,1988,SpatialV2St3,746,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
18,2312.498629646508,22,1988,SpatialV2St3,746,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
19,2729.2930679827023,33,1988,SpatialV2St3,746,15,Water,Natural,#112013,#32a65e,cobertura
20,175712.3474701675,3,1989,SpatialV2St3,746,15,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
21,1468948.1660346144,4,1989,SpatialV2St3,746,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
22,158484.08675527674,21,1989,SpatialV2St3,746,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
23,434.70687348829136,22,1989,SpatialV2St3,746,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
24,3124.7248189886063,33,1989,SpatialV2St3,746,15,Water,Natural,#112013,#32a65e,cobertura
25,173995.67700314012,3,1990,SpatialV2St3,746,15,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
26,1473953.049563527,4,1990,SpatialV2St3,746,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
27,155016.35305215878,21,1990,SpatialV2St3,746,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
28,498.4633189651312,22,1990,SpatialV2St3,746,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
29,3240.489014716481,33,1990,SpatialV2St3,746,15,Water,Natural,#112013,#32a65e,cobertura
30,167561.65480603446,3,1991,SpatialV2St3,746,15,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
31,1485536.1819435188,4,1991,SpatialV2St3,746,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
32,149385.81900498245,21,1991,SpatialV2St3,746,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
33,1321.810899728932,22,1991,SpatialV2St3,746,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
34,2898.5652982893653,33,1991,SpatialV2St3,746,15,Water,Natural,#112013,#32a65e,cobertura
35,166093.33831731463,3,1992,SpatialV2St3,746,15,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
36,1498114.5893020986,4,1992,SpatialV2St3,746,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
37,138531.96028862326,21,1992,SpatialV2St3,746,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
38,1093.225039400059,22,1992,SpatialV2St3,746,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
39,2870.919005128868,33,1992,SpatialV2St3,746,15,Water,Natural,#112013,#32a65e,cobertura
40,169309.8535539067,3,1993,SpatialV2St3,746,15,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
41,1498102.3744041296,4,1993,SpatialV2St3,746,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
42,134912.67701876286,21,1993,SpatialV2St3,746,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
