,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,210892.57733337503,3,1985,SpatialV2,754,15,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,4962439.701819093,4,1985,SpatialV2,754,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,69292.47982435393,12,1985,SpatialV2,754,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,1907992.039917184,21,1985,SpatialV2,754,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
4,6100.8077486131615,22,1985,SpatialV2,754,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
5,146935.6468834387,33,1985,SpatialV2,754,15,Water,Natural,#112013,#32a65e,cobertura
6,206217.56493249987,3,1986,SpatialV2,754,15,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
7,5001662.5280832965,4,1986,SpatialV2,754,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
8,88803.1248579985,12,1986,SpatialV2,754,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
9,1865101.326956024,21,1986,SpatialV2,754,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
10,6527.360989584946,22,1986,SpatialV2,754,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
11,135341.3477067045,33,1986,SpatialV2,754,15,Water,Natural,#112013,#32a65e,cobertura
12,218264.51801444305,3,1987,SpatialV2,754,15,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
13,4898654.281793272,4,1987,SpatialV2,754,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
14,75717.56633001253,12,1987,SpatialV2,754,15,Grassland,Natural,#d6bc74,#32a65e,cobertura
15,2001983.111397406,21,1987,SpatialV2,754,15,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
16,6822.322772349386,22,1987,SpatialV2,754,15,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
17,102211.45321848616,33,1987,SpatialV2,754,15,Water,Natural,#112013,#32a65e,cobertura
18,207804.31924548565,3,1988,SpatialV2,754,15,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
19,4939947.074075629,4,1988,SpatialV2,754,15,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
