,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,542860.9060231305,3,1985,SpatialV3su,753,36,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,2269157.6396907554,4,1985,SpatialV3su,753,36,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,43061.16487022189,12,1985,SpatialV3su,753,36,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,241237.4611703532,21,1985,SpatialV3su,753,36,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
4,69592.023955935,22,1985,SpatialV3su,753,36,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
5,51333.928233452985,33,1985,SpatialV3su,753,36,Water,Natural,#112013,#32a65e,cobertura
6,534484.7841671283,3,1986,SpatialV3su,753,36,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
7,2244501.0039026947,4,1986,SpatialV3su,753,36,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
8,44523.06406836756,12,1986,SpatialV3su,753,36,Grassland,Natural,#d6bc74,#32a65e,cobertura
9,259723.04156434376,21,1986,SpatialV3su,753,36,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
10,82087.94130975964,22,1986,SpatialV3su,753,36,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
11,51923.28893149984,33,1986,SpatialV3su,753,36,Water,Natural,#112013,#32a65e,cobertura
12,575443.6906532645,3,1987,SpatialV3su,753,36,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
13,2243917.813562196,4,1987,SpatialV3su,753,36,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
14,46971.609114590174,12,1987,SpatialV3su,753,36,Grassland,Natural,#d6bc74,#32a65e,cobertura
15,258713.74041597176,21,1987,SpatialV3su,753,36,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
16,48710.22277780816,22,1987,SpatialV3su,753,36,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
17,43486.04741999308,33,1987,SpatialV3su,753,36,Water,Natural,#112013,#32a65e,cobertura
18,574392.8006562608,3,1988,SpatialV3su,753,36,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
19,2268250.592478334,4,1988,SpatialV3su,753,36,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
20,39322.17317175485,12,1988,SpatialV3su,753,36,Grassland,Natural,#d6bc74,#32a65e,cobertura
21,257142.21537030928,21,1988,SpatialV3su,753,36,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
22,34700.88311583181,22,1988,SpatialV3su,753,36,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
23,43434.45915131971,33,1988,SpatialV3su,753,36,Water,Natural,#112013,#32a65e,cobertura
24,559689.0962477144,3,1989,SpatialV3su,753,36,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
25,2243860.999004696,4,1989,SpatialV3su,753,36,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
26,38869.92359439873,12,1989,SpatialV3su,753,36,Grassland,Natural,#d6bc74,#32a65e,cobertura
27,304567.0509668207,21,1989,SpatialV3su,753,36,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
28,26506.352752747283,22,1989,SpatialV3su,753,36,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
29,43749.701377442114,33,1989,SpatialV3su,753,36,Water,Natural,#112013,#32a65e,cobertura
30,536506.1525109423,3,1990,SpatialV3su,753,36,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
31,2237357.5601851773,4,1990,SpatialV3su,753,36,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
32,36234.46226981206,12,1990,SpatialV3su,753,36,Grassland,Natural,#d6bc74,#32a65e,cobertura
33,339963.3760431949,21,1990,SpatialV3su,753,36,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
34,29903.87871080463,22,1990,SpatialV3su,753,36,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
35,37277.69422383794,33,1990,SpatialV3su,753,36,Water,Natural,#112013,#32a65e,cobertura
36,531679.0169013311,3,1991,SpatialV3su,753,36,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
37,2221971.5209695664,4,1991,SpatialV3su,753,36,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
38,36216.01182830388,12,1991,SpatialV3su,753,36,Grassland,Natural,#d6bc74,#32a65e,cobertura
39,362504.2080126781,21,1991,SpatialV3su,753,36,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
40,32093.484278992597,22,1991,SpatialV3su,753,36,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
41,32778.88195291688,33,1991,SpatialV3su,753,36,Water,Natural,#112013,#32a65e,cobertura
42,539459.1621241996,3,1992,SpatialV3su,753,36,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
43,2226177.564797436,4,1992,SpatialV3su,753,36,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
44,41304.57186486961,12,1992,SpatialV3su,753,36,Grassland,Natural,#d6bc74,#32a65e,cobertura
45,344266.9486840852,21,1992,SpatialV3su,753,36,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
46,37560.54290877524,22,1992,SpatialV3su,753,36,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
47,28474.33356439836,33,1992,SpatialV3su,753,36,Water,Natural,#112013,#32a65e,cobertura
48,539014.5787440006,3,1993,SpatialV3su,753,36,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
49,2247442.723437804,4,1993,SpatialV3su,753,36,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
50,43785.98859352772,12,1993,SpatialV3su,753,36,Grassland,Natural,#d6bc74,#32a65e,cobertura
51,342466.8168098537,21,1993,SpatialV3su,753,36,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
52,24403.02871256596,22,1993,SpatialV3su,753,36,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
53,20129.98764600296,33,1993,SpatialV3su,753,36,Water,Natural,#112013,#32a65e,cobertura
