,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,1639.828495550205,3,1985,Spatial,758,10,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,1043956.324607609,4,1985,Spatial,758,10,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,4531.144257678298,12,1985,Spatial,758,10,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,761570.3625779448,21,1985,Spatial,758,10,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
4,44662.940846698686,22,1985,Spatial,758,10,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
5,2.036126470947266,29,1985,Spatial,758,10,Rocky Outcrop,Natural,#FF8C00,#32a65e,cobertura
6,20626.176053842504,33,1985,Spatial,758,10,Water,Natural,#0000FF,#32a65e,cobertura
7,72.8196666296865,3,1986,Spatial,758,10,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
8,1176342.741553825,4,1986,Spatial,758,10,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
9,71697.6968285887,12,1986,Spatial,758,10,Grassland,Natural,#d6bc74,#32a65e,cobertura
10,384842.2532624818,21,1986,Spatial,758,10,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
11,224426.28044895548,22,1986,Spatial,758,10,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
12,19607.021205337875,33,1986,Spatial,758,10,Water,Natural,#0000FF,#32a65e,cobertura
13,165.98145449965529,3,1987,Spatial,758,10,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
14,1214282.983842812,4,1987,Spatial,758,10,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
15,69463.39746957677,12,1987,Spatial,758,10,Grassland,Natural,#d6bc74,#32a65e,cobertura
16,452402.76427718566,21,1987,Spatial,758,10,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
17,119213.64903615868,22,1987,Spatial,758,10,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
18,21460.0368857041,33,1987,Spatial,758,10,Water,Natural,#0000FF,#32a65e,cobertura
19,194.18532990557475,3,1988,Spatial,758,10,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
