,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,6138.87118251643,3,1985,TemporalV3J3,775,20,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,60610.788860220186,4,1985,TemporalV3J3,775,20,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,6251.697019354053,12,1985,TemporalV3J3,775,20,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,109184.33538786037,21,1985,TemporalV3J3,775,20,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
4,861.0789905551557,22,1985,TemporalV3J3,775,20,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
5,96.53940577090992,33,1985,TemporalV3J3,775,20,Water,Natural,#112013,#32a65e,cobertura
6,5910.331398570785,3,1986,TemporalV3J3,775,20,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
7,62811.87442242076,4,1986,TemporalV3J3,775,20,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
8,6495.715830589839,12,1986,TemporalV3J3,775,20,Grassland,Natural,#d6bc74,#32a65e,cobertura
9,107315.36785274198,21,1986,TemporalV3J3,775,20,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
10,432.3731739715946,22,1986,TemporalV3J3,775,20,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
11,177.64816797470982,33,1986,TemporalV3J3,775,20,Water,Natural,#112013,#32a65e,cobertura
12,4416.595966523285,3,1987,TemporalV3J3,775,20,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
13,65326.7617744044,4,1987,TemporalV3J3,775,20,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
14,5199.622306681312,12,1987,TemporalV3J3,775,20,Grassland,Natural,#d6bc74,#32a65e,cobertura
15,106723.85858751636,21,1987,TemporalV3J3,775,20,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
16,1296.591857755912,22,1987,TemporalV3J3,775,20,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
17,179.88035339118505,33,1987,TemporalV3J3,775,20,Water,Natural,#112013,#32a65e,cobertura
18,5014.319463441759,3,1988,TemporalV3J3,775,20,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
19,70699.7764363651,4,1988,TemporalV3J3,775,20,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
20,2489.654354742853,12,1988,TemporalV3J3,775,20,Grassland,Natural,#d6bc74,#32a65e,cobertura
21,104629.3414582737,21,1988,TemporalV3J3,775,20,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
22,185.03143964391376,22,1988,TemporalV3J3,775,20,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
23,125.18769380045568,33,1988,TemporalV3J3,775,20,Water,Natural,#112013,#32a65e,cobertura
24,5451.042650211183,3,1989,TemporalV3J3,775,20,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
25,71407.13615829345,4,1989,TemporalV3J3,775,20,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
26,2759.0793573081783,12,1989,TemporalV3J3,775,20,Grassland,Natural,#d6bc74,#32a65e,cobertura
27,103058.94083518937,21,1989,TemporalV3J3,775,20,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
28,354.02057142020453,22,1989,TemporalV3J3,775,20,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
29,113.0912738420554,33,1989,TemporalV3J3,775,20,Water,Natural,#112013,#32a65e,cobertura
30,6299.163846313144,3,1990,TemporalV3J3,775,20,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
31,69636.45534295871,4,1990,TemporalV3J3,775,20,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
32,5789.025104202128,12,1990,TemporalV3J3,775,20,Grassland,Natural,#d6bc74,#32a65e,cobertura
33,100817.4776146157,21,1990,TemporalV3J3,775,20,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
34,346.2781265049112,22,1990,TemporalV3J3,775,20,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
35,254.9108116711184,33,1990,TemporalV3J3,775,20,Water,Natural,#112013,#32a65e,cobertura
36,5600.329450140469,3,1991,TemporalV3J3,775,20,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
37,70819.58684360507,4,1991,TemporalV3J3,775,20,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
38,4036.152007188128,12,1991,TemporalV3J3,775,20,Grassland,Natural,#d6bc74,#32a65e,cobertura
39,102519.55710457815,21,1991,TemporalV3J3,775,20,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
40,45.10489972146425,22,1991,TemporalV3J3,775,20,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
41,122.5805410339116,33,1991,TemporalV3J3,775,20,Water,Natural,#112013,#32a65e,cobertura
42,5218.756411414433,3,1992,TemporalV3J3,775,20,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
43,65385.5947353048,4,1992,TemporalV3J3,775,20,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
44,7261.135252118123,12,1992,TemporalV3J3,775,20,Grassland,Natural,#d6bc74,#32a65e,cobertura
45,103977.03895030214,21,1992,TemporalV3J3,775,20,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
46,938.3240782781868,22,1992,TemporalV3J3,775,20,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
47,362.4614188534243,33,1992,TemporalV3J3,775,20,Water,Natural,#112013,#32a65e,cobertura
48,4220.053527737589,3,1993,TemporalV3J3,775,20,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
49,67361.19927393671,4,1993,TemporalV3J3,775,20,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
50,8388.323695024608,12,1993,TemporalV3J3,775,20,Grassland,Natural,#d6bc74,#32a65e,cobertura
51,100556.5512998138,21,1993,TemporalV3J3,775,20,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
52,1638.1234161714187,22,1993,TemporalV3J3,775,20,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
53,979.0596335804628,33,1993,TemporalV3J3,775,20,Water,Natural,#112013,#32a65e,cobertura
54,4776.803311051333,3,1994,TemporalV3J3,775,20,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
55,73236.80251057344,4,1994,TemporalV3J3,775,20,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
56,7107.088041161348,12,1994,TemporalV3J3,775,20,Grassland,Natural,#d6bc74,#32a65e,cobertura
