,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,20613.756585682502,3,1985,toExport,7616,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,887730.6825073218,4,1985,toExport,7616,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,150674.64124433862,12,1985,toExport,7616,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,324924.91794375627,21,1985,toExport,7616,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
4,11643.985786507796,22,1985,toExport,7616,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
5,22633.542388377235,22,1985,toExport,7616,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
6,3081.70532610097,33,1985,toExport,7616,5,Water,Natural,#0000FF,#32a65e,cobertura
7,17899.222362021766,3,1986,toExport,7616,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
8,880040.8854054371,4,1986,toExport,7616,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
9,149533.59071002886,12,1986,toExport,7616,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
10,329821.5718036175,21,1986,toExport,7616,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
11,19706.40159849396,22,1986,toExport,7616,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
12,22633.10395077958,22,1986,toExport,7616,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
13,1668.4559517124023,33,1986,toExport,7616,5,Water,Natural,#0000FF,#32a65e,cobertura
14,18263.30306750816,3,1987,toExport,7616,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
15,919455.9986058304,4,1987,toExport,7616,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
16,86990.59470065957,12,1987,toExport,7616,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
17,343308.8394698607,21,1987,toExport,7616,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
18,28747.767815632385,22,1987,toExport,7616,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
19,22633.10395077958,22,1987,toExport,7616,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
20,1903.624171862332,33,1987,toExport,7616,5,Water,Natural,#0000FF,#32a65e,cobertura
21,15488.496795546836,3,1988,toExport,7616,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
22,854667.6117622681,4,1988,toExport,7616,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
23,161588.12845162026,12,1988,toExport,7616,5,Grassland,Natural,#d6bc74,#32a65e,cobertura
24,339084.6268790224,21,1988,toExport,7616,5,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
25,23382.69703466079,22,1988,toExport,7616,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
26,22633.10395077958,22,1988,toExport,7616,5,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
27,4458.5669082149925,33,1988,toExport,7616,5,Water,Natural,#0000FF,#32a65e,cobertura
28,14268.893192704,3,1989,toExport,7616,5,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
29,762827.1003504295,4,1989,toExport,7616,5,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
