,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,476109.5762175809,3,1985,toExport,7741,31,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,1829289.6203988325,4,1985,toExport,7741,31,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,62376.88115116861,12,1985,toExport,7741,31,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,806536.6778039866,21,1985,toExport,7741,31,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
4,5598.956656168977,22,1985,toExport,7741,31,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
5,451.74787975149934,29,1985,toExport,7741,31,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
6,3937.302121156503,33,1985,toExport,7741,31,Water,Natural,#112013,#32a65e,cobertura
7,474770.2893554515,3,1986,toExport,7741,31,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
8,1810052.781812632,4,1986,toExport,7741,31,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
9,70044.83775946322,12,1986,toExport,7741,31,Grassland,Natural,#d6bc74,#32a65e,cobertura
10,819473.2861373064,21,1986,toExport,7741,31,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
11,5275.932293771974,22,1986,toExport,7741,31,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
12,451.74787975149934,29,1986,toExport,7741,31,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
13,4231.88699037497,33,1986,toExport,7741,31,Water,Natural,#112013,#32a65e,cobertura
14,478456.4109858574,3,1987,toExport,7741,31,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
15,1757535.823937712,4,1987,toExport,7741,31,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
16,65779.12282538429,12,1987,toExport,7741,31,Grassland,Natural,#d6bc74,#32a65e,cobertura
17,873203.1456437566,21,1987,toExport,7741,31,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
18,6278.873081580205,22,1987,toExport,7741,31,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
19,451.74787975149934,29,1987,toExport,7741,31,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
20,2595.637874706119,33,1987,toExport,7741,31,Water,Natural,#112013,#32a65e,cobertura
21,477355.8801969221,3,1988,toExport,7741,31,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
22,1744860.6993850416,4,1988,toExport,7741,31,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
23,76148.71552896473,12,1988,toExport,7741,31,Grassland,Natural,#d6bc74,#32a65e,cobertura
24,878666.0345967902,21,1988,toExport,7741,31,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
25,4405.863440729171,22,1988,toExport,7741,31,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
26,451.74787975149934,29,1988,toExport,7741,31,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
27,2411.8212004873667,33,1988,toExport,7741,31,Water,Natural,#112013,#32a65e,cobertura
28,474931.1021036039,3,1989,toExport,7741,31,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
29,1691349.9541450231,4,1989,toExport,7741,31,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
30,64529.78341413768,12,1989,toExport,7741,31,Grassland,Natural,#d6bc74,#32a65e,cobertura
31,943241.572583904,21,1989,toExport,7741,31,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
32,7566.657764410091,22,1989,toExport,7741,31,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
33,451.74787975149934,29,1989,toExport,7741,31,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
34,2229.9443378666124,33,1989,toExport,7741,31,Water,Natural,#112013,#32a65e,cobertura
35,474683.58251950337,3,1990,toExport,7741,31,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
36,1675153.5996716009,4,1990,toExport,7741,31,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
37,60029.40112914357,12,1990,toExport,7741,31,Grassland,Natural,#d6bc74,#32a65e,cobertura
