,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,5973.470109576447,3,1985,Gap-fill,755,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,1284004.44448096,4,1985,Gap-fill,755,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,58.53646069900812,12,1985,Gap-fill,755,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,477976.52019002434,21,1985,Gap-fill,755,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
4,90166.45616719071,22,1985,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
5,1761.666606529824,22,1985,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
6,54517.256738012176,33,1985,Gap-fill,755,9,Water,Natural,#0000FF,#32a65e,cobertura
7,21.78517108154293,3,1986,Gap-fill,755,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
8,1179245.3103940657,4,1986,Gap-fill,755,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
9,1.4818659378590304,12,1986,Gap-fill,755,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
10,540350.5130450778,21,1986,Gap-fill,755,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
11,148812.4285682318,22,1986,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
12,0.1777367736816406,22,1986,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
13,46022.86950972466,33,1986,Gap-fill,755,9,Water,Natural,#0000FF,#32a65e,cobertura
14,1.9594755493164064,3,1987,Gap-fill,755,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
15,1213781.9146391992,4,1987,Gap-fill,755,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
16,4.811335321044923,12,1987,Gap-fill,755,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
17,521169.80227185145,21,1987,Gap-fill,755,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
18,139005.3477770048,22,1987,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
19,0.1777804870605469,22,1987,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
20,40491.30394148197,33,1987,Gap-fill,755,9,Water,Natural,#0000FF,#32a65e,cobertura
21,1333078.5545298385,4,1988,Gap-fill,755,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
22,5.167991772460934,12,1988,Gap-fill,755,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
23,442553.8496608207,21,1988,Gap-fill,755,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
24,94524.79228338554,22,1988,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
25,0.2665947875976562,22,1988,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
26,44290.127353633645,33,1988,Gap-fill,755,9,Water,Natural,#0000FF,#32a65e,cobertura
27,1330868.629268044,4,1989,Gap-fill,755,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
28,2.583602325439453,12,1989,Gap-fill,755,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
29,439869.3549127004,21,1989,Gap-fill,755,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
30,94124.21550824236,22,1989,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
31,0.0888583312988281,22,1989,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
32,49592.11719965737,33,1989,Gap-fill,755,9,Water,Natural,#0000FF,#32a65e,cobertura
33,90.39318068847666,3,1990,Gap-fill,755,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
34,1190068.5265926486,4,1990,Gap-fill,755,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
35,20.484802978515624,12,1990,Gap-fill,755,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
36,528153.5827581481,21,1990,Gap-fill,755,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
37,155634.39297984002,22,1990,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
38,2.0439207946777347,22,1990,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
39,40479.62697677872,33,1990,Gap-fill,755,9,Water,Natural,#0000FF,#32a65e,cobertura
40,23.554481762695342,3,1991,Gap-fill,755,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
41,1252594.5345703815,4,1991,Gap-fill,755,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
42,23.29162140440699,12,1991,Gap-fill,755,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
43,466368.39547938673,21,1991,Gap-fill,755,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
44,158700.7230081601,22,1991,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
45,0.8000997436523438,22,1991,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
46,36738.8208869142,33,1991,Gap-fill,755,9,Water,Natural,#0000FF,#32a65e,cobertura
47,0.8910235046386719,3,1992,Gap-fill,755,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
48,1233507.1176932,4,1992,Gap-fill,755,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
49,14.672749261929376,12,1992,Gap-fill,755,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
50,523010.3156714498,21,1992,Gap-fill,755,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
51,115800.09106526391,22,1992,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
52,0.3555336608886719,22,1992,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
53,42112.48531269071,33,1992,Gap-fill,755,9,Water,Natural,#0000FF,#32a65e,cobertura
54,3.2055032653808584,3,1993,Gap-fill,755,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
55,1091686.8703802791,4,1993,Gap-fill,755,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
56,114.870121081543,12,1993,Gap-fill,755,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
57,406704.2100520091,21,1993,Gap-fill,755,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
58,388043.60088828806,22,1993,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
59,1.5999364196777344,22,1993,Gap-fill,755,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
60,27897.44708550405,33,1993,Gap-fill,755,9,Water,Natural,#0000FF,#32a65e,cobertura
