,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,10831.8101766723,3,1985,Spatial,756,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,2631008.092325823,4,1985,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,48068.38062715981,12,1985,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,1139162.3055021926,21,1985,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
4,118546.30043300184,22,1985,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
5,106.46811106907268,22,1985,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
6,82924.32748355919,33,1985,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
7,4.889298120117188,3,1986,Spatial,756,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
8,2485941.8577460274,4,1986,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
9,13.062577330011106,12,1986,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
10,1104356.8893580523,21,1986,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
11,342309.47185330547,22,1986,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
12,98021.51382661198,33,1986,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
13,0.8001565673828126,3,1987,Spatial,756,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
14,2744352.5466015497,4,1987,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
15,0.7994825622558595,12,1987,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
16,933448.2855738763,21,1987,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
17,273478.6107983503,22,1987,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
18,79366.64204657954,33,1987,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
19,2216566.546074664,4,1988,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
20,1.5987613830566407,12,1988,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
21,1281534.387563394,21,1988,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
22,451847.78196360177,22,1988,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
23,80697.37029651638,33,1988,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
24,3.6434417907714822,3,1989,Spatial,756,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
25,2586679.683889301,4,1989,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
26,3.1971990966796877,12,1989,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
27,1047612.8894750214,21,1989,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
28,303936.0028502203,22,1989,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
29,92412.2678040523,33,1989,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
30,2656206.379545034,4,1990,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
31,3.1086046508789065,12,1990,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
32,1003287.4938995122,21,1990,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
33,298791.3704821188,22,1990,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
34,72359.33212814291,33,1990,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
35,1.3334445251464844,3,1991,Spatial,756,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
36,2470210.879668095,4,1991,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
37,21.05118299560547,12,1991,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
38,1051259.277380366,21,1991,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
39,432562.9857986844,22,1991,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
40,76592.1571849084,33,1991,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
41,2392855.913961584,4,1992,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
42,15.638607220458988,12,1992,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
43,993530.8105682058,21,1992,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
44,580927.0193980973,22,1992,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
45,63318.30212439796,33,1992,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
46,2540382.2836026093,4,1993,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
47,87.68168592919443,12,1993,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
48,862590.921887797,21,1993,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
49,583436.8112126257,22,1993,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
50,44149.986270605936,33,1993,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
51,2645990.235241515,4,1994,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
52,13.86401396484375,12,1994,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
53,1107873.2598850457,21,1994,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
54,204077.46868873364,22,1994,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
55,72692.85683016849,33,1994,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
56,2364434.897226786,4,1995,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
57,26.656665747070317,12,1995,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
58,1321324.9659903026,21,1995,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
59,257221.95360496,22,1995,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
60,87639.21117176561,33,1995,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
61,2704526.9235798013,4,1996,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
62,10.303048797607422,12,1996,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
63,1056879.431818386,21,1996,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
64,186673.0270040784,22,1996,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
65,82557.9992086078,33,1996,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
66,6.229791583251955,3,1997,Spatial,756,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
67,2674962.2427055207,4,1997,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
68,28.90110026855469,12,1997,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
69,795421.1483153218,21,1997,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
70,491942.0638485532,22,1997,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
71,68287.09889831675,33,1997,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
72,0.0890515441894531,3,1998,Spatial,756,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
73,2368682.8120330013,4,1998,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
74,383.3137898197912,12,1998,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
75,1024063.988873193,21,1998,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
76,595056.2086247499,22,1998,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
77,42461.27228721713,33,1998,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
78,2805646.7500410317,4,1999,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
79,60.210845185810186,12,1999,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
80,819650.3395749015,21,1999,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
81,354393.6517186808,22,1999,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
82,50896.73247982143,33,1999,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
83,2306468.369807892,4,2000,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
84,2.3117512939453126,12,2000,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
85,1374315.951087142,21,2000,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
86,286503.4092888526,22,2000,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
87,63357.64272434559,33,2000,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
88,2441129.4012110992,4,2001,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
89,1.6883330688476563,12,2001,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
90,1188577.015383472,21,2001,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
91,349249.78419555974,22,2001,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
92,51689.79553630504,33,2001,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
93,2832780.4604453705,4,2002,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
94,0.4440576721191406,12,2002,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
95,990805.8790945776,21,2002,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
96,132949.2370879507,22,2002,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
97,74111.66397400442,33,2002,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
98,2.5777397827148434,3,2003,Spatial,756,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
99,2900155.5571931954,4,2003,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
100,153.80837666322014,12,2003,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
101,666259.2970123256,21,2003,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
102,394728.7578046981,22,2003,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
103,69347.68653303779,33,2003,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
104,2714007.8115762025,4,2004,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
105,2.3977948852539064,12,2004,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
106,1042591.7163758458,21,2004,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
107,168569.30031688794,22,2004,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
108,105476.45859564132,33,2004,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
109,2537364.997319066,4,2005,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
110,5.151053192138675,12,2005,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
111,1183001.5955510086,21,2005,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
112,218863.2965431513,22,2005,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
113,91412.64419304044,33,2005,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
114,2682973.4757609176,4,2006,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
115,0.7997056884765624,12,2006,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
116,1107712.946735793,21,2006,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
117,144246.31604179138,22,2006,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
118,95714.14641538072,33,2006,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
119,2679631.7940614885,4,2007,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
120,6.129883807373046,12,2007,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
121,1032369.2017050084,21,2007,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
122,233623.07052549324,22,2007,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
123,85017.48848382957,33,2007,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
124,0.2669616821289062,3,2008,Spatial,756,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
125,2284763.959733387,4,2008,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
126,2.4862140563964847,12,2008,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
127,1464373.2671686185,21,2008,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
128,157131.41147423856,22,2008,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
129,124376.29310750127,33,2008,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
130,2537578.4278173186,4,2009,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
131,1.5989841369628903,12,2009,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
132,1269512.9484195863,21,2009,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
133,111584.95316559076,22,2009,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
134,111969.75627285526,33,2009,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
135,2537582.154282168,4,2010,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
136,73.26223870849606,12,2010,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
137,1197494.9843593305,21,2010,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
138,200225.2710878104,22,2010,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
139,95272.01269132608,33,2010,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
140,8507.159225796695,3,2011,Spatial,756,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
141,2150491.197917782,4,2011,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
142,11064.451688558403,12,2011,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
143,1423579.6087150911,21,2011,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
144,335356.7506201141,22,2011,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
145,1.4219341369628902,22,2011,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
146,101647.0945581124,33,2011,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
147,2702317.7855261406,4,2012,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
148,23.715462176513668,12,2012,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
149,909122.3652338064,21,2012,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
150,348879.19426978735,22,2012,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
151,70304.6241675226,33,2012,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
152,0.8905584960937498,3,2013,Spatial,756,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
153,2685369.984589951,4,2013,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
154,27.03812206971412,12,2013,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
155,940023.933367452,21,2013,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
156,355180.7288545129,22,2013,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
157,50045.10916699229,33,2013,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
158,2340146.663625963,4,2014,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
159,3.553402770996094,12,2014,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
160,1449516.8321028012,21,2014,Spatial,756,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
161,190225.19401862472,22,2014,Spatial,756,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
162,50755.441509263255,33,2014,Spatial,756,9,Water,Natural,#0000FF,#32a65e,cobertura
163,2518740.9029585365,4,2015,Spatial,756,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
164,9.414644775390624,12,2015,Spatial,756,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
