,area,classe,year,Models,Bacia,version,cobertura,cob_level1,cob_color,nat_color,total
0,102.31630191650392,3,1985,Temporal,7612,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1,1326342.8420571953,4,1985,Temporal,7612,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
2,30314.77180101945,12,1985,Temporal,7612,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
3,286886.1884580471,21,1985,Temporal,7612,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
4,36630.26835331213,22,1985,Temporal,7612,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
5,8338.286121669615,33,1985,Temporal,7612,9,Water,Natural,#0000FF,#32a65e,cobertura
6,0.3545657104492187,3,1986,Temporal,7612,9,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
7,1331481.1332583532,4,1986,Temporal,7612,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
8,33944.73050276116,12,1986,Temporal,7612,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
9,286795.42682731693,21,1986,Temporal,7612,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
10,28111.18505055721,22,1986,Temporal,7612,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
11,8281.842888447554,33,1986,Temporal,7612,9,Water,Natural,#0000FF,#32a65e,cobertura
12,1340667.4703989034,4,1987,Temporal,7612,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
13,54592.44667719781,12,1987,Temporal,7612,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
14,248100.20880033413,21,1987,Temporal,7612,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
15,38433.1729783397,22,1987,Temporal,7612,9,Non vegetated area,Antrópico,#db4d4f,#FFFFB2,cobertura
16,6821.374238360953,33,1987,Temporal,7612,9,Water,Natural,#0000FF,#32a65e,cobertura
17,1273486.0836059623,4,1988,Temporal,7612,9,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
18,55644.67715268209,12,1988,Temporal,7612,9,Grassland,Natural,#d6bc74,#32a65e,cobertura
19,295126.4551997878,21,1988,Temporal,7612,9,Mosaic of Uses,Antrópico,#ffefc3,#FFFFB2,cobertura
