version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
5,Temporal,Caatinga,1985,69.98,7.82,22.199999999999996,19.99,2.21
5,Temporal,Caatinga,1986,69.24,8.2,22.560000000000006,20.9,1.66
5,Temporal,Caatinga,1987,69.05,8.52,22.430000000000003,21.18,1.26
5,Temporal,Caatinga,1988,69.21,8.54,22.250000000000007,20.65,1.61
5,Temporal,Caatinga,1989,68.75,8.96,22.29,20.44,1.84
5,Temporal,Caatinga,1990,69.37,8.43,22.199999999999996,20.55,1.64
5,Temporal,Caatinga,1991,69.14,8.57,22.29,20.4,1.9
5,Temporal,Caatinga,1992,68.44,8.23,23.330000000000002,21.13,2.2
5,Temporal,Caatinga,1993,68.05,9.2,22.750000000000004,20.38,2.38
5,Temporal,Caatinga,1994,68.44,8.22,23.340000000000003,20.28,3.06
5,Temporal,Caatinga,1995,68.71,7.2,24.090000000000007,19.92,4.18
5,Temporal,Caatinga,1996,68.38,7.6,24.020000000000003,19.88,4.15
5,Temporal,Caatinga,1997,68.47,8.07,23.46,20.08,3.38
5,Temporal,Caatinga,1998,67.43,9.64,22.929999999999993,20.1,2.83
5,Temporal,Caatinga,1999,68.19,8.54,23.270000000000003,20.38,2.88
5,Temporal,Caatinga,2000,69.06,7.33,23.61,20.58,3.03
5,Temporal,Caatinga,2001,69.68,7.54,22.779999999999994,19.4,3.4
5,Temporal,Caatinga,2002,69.86,7.21,22.93,19.94,2.99
5,Temporal,Caatinga,2003,69.08,7.94,22.98,20.12,2.85
5,Temporal,Caatinga,2004,68.87,7.55,23.579999999999995,20.38,3.2
5,Temporal,Caatinga,2005,68.0,8.71,23.29,20.4,2.88
5,Temporal,Caatinga,2006,68.16,8.18,23.660000000000004,21.38,2.28
5,Temporal,Caatinga,2007,69.14,7.37,23.49,21.24,2.24
5,Temporal,Caatinga,2008,69.94,6.44,23.62,21.18,2.45
5,Temporal,Caatinga,2009,70.05,6.83,23.120000000000005,20.5,2.63
5,Temporal,Caatinga,2010,70.19,6.62,23.19,20.58,2.61
5,Temporal,Caatinga,2011,70.45,6.8,22.749999999999996,19.46,3.28
5,Temporal,Caatinga,2012,69.21,10.14,20.650000000000006,17.84,2.8
5,Temporal,Caatinga,2013,69.63,9.68,20.690000000000005,17.5,3.18
5,Temporal,Caatinga,2014,69.87,9.25,20.879999999999995,18.6,2.28
5,Temporal,Caatinga,2015,69.85,8.76,21.390000000000008,19.56,1.84
5,Temporal,Caatinga,2016,70.3,7.99,21.71,19.37,2.34
5,Temporal,Caatinga,2017,69.55,8.23,22.220000000000002,19.56,2.66
5,Temporal,Caatinga,2018,69.78,6.91,23.31,19.7,3.62
5,Temporal,Caatinga,2019,69.4,7.85,22.749999999999993,19.26,3.5
5,Temporal,Caatinga,2020,69.56,7.72,22.72,18.48,4.22
5,Temporal,Caatinga,2021,70.12,6.78,23.099999999999994,18.9,4.2
5,Temporal,Caatinga,2022,69.26,7.49,23.249999999999993,18.62,4.63
5,Temporal,741,1985,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,1986,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,1987,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,1988,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,1989,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,1990,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,1991,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,1992,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,1993,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,1994,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,1995,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,1996,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,1997,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,1998,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,1999,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2000,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2001,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2002,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2003,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2004,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2005,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2006,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2007,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2008,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2009,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2010,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2011,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2012,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2013,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2014,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2015,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2016,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2017,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2018,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2019,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2020,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2021,0.0,0.0,0.0,0.0,0.0
5,Temporal,741,2022,0.0,0.0,0.0,0.0,0.0
5,Temporal,7421,1985,85.0,5.0,10.0,7.5,2.5
5,Temporal,7421,1986,88.75,6.25,5.0,2.5,2.5
5,Temporal,7421,1987,85.0,7.5,7.5,5.0,2.5
5,Temporal,7421,1988,86.25,5.0,8.75,7.5,1.25
5,Temporal,7421,1989,86.25,3.75,10.0,7.5,2.5
5,Temporal,7421,1990,83.75,3.75,12.5,10.0,2.5
5,Temporal,7421,1991,85.0,3.75,11.25,7.5,3.75
5,Temporal,7421,1992,83.75,3.75,12.5,5.0,7.5
5,Temporal,7421,1993,85.0,7.5,7.5,2.5,5.0
5,Temporal,7421,1994,83.75,10.0,6.25,0.0,6.25
5,Temporal,7421,1995,85.0,7.5,7.5,2.5,5.0
5,Temporal,7421,1996,83.75,6.25,10.0,5.0,5.0
5,Temporal,7421,1997,78.75,8.75,12.5,7.5,5.0
5,Temporal,7421,1998,73.75,10.0,16.25,10.0,6.25
5,Temporal,7421,1999,76.25,6.25,17.5,15.0,2.5
5,Temporal,7421,2000,78.75,6.25,15.0,12.5,2.5
5,Temporal,7421,2001,80.0,3.75,16.25,15.0,1.25
5,Temporal,7421,2002,83.75,10.0,6.25,5.0,1.25
5,Temporal,7421,2003,80.0,11.25,8.75,5.0,3.75
5,Temporal,7421,2004,75.0,7.5,17.5,10.0,7.5
5,Temporal,7421,2005,77.5,7.5,15.0,10.0,5.0
5,Temporal,7421,2006,81.25,8.75,10.0,7.5,2.5
5,Temporal,7421,2007,81.25,6.25,12.5,10.0,2.5
5,Temporal,7421,2008,83.75,5.0,11.25,10.0,1.25
5,Temporal,7421,2009,81.25,5.0,13.75,7.5,6.25
5,Temporal,7421,2010,80.0,6.25,13.75,7.5,6.25
5,Temporal,7421,2011,83.75,5.0,11.25,5.0,6.25
5,Temporal,7421,2012,82.5,5.0,12.5,10.0,2.5
5,Temporal,7421,2013,82.5,5.0,12.5,12.5,0.0
5,Temporal,7421,2014,82.5,6.25,11.25,10.0,1.25
5,Temporal,7421,2015,82.5,8.75,8.75,7.5,1.25
5,Temporal,7421,2016,81.25,7.5,11.25,10.0,1.25
5,Temporal,7421,2017,80.0,7.5,12.5,10.0,2.5
5,Temporal,7421,2018,78.75,8.75,12.5,10.0,2.5
5,Temporal,7421,2019,80.0,5.0,15.0,12.5,2.5
5,Temporal,7421,2020,81.25,7.5,11.25,7.5,3.75
5,Temporal,7421,2021,80.0,8.75,11.25,7.5,3.75
5,Temporal,7421,2022,81.25,6.25,12.5,5.0,7.5
5,Temporal,7422,1985,75.14,8.28,16.58,12.15,4.42
5,Temporal,7422,1986,71.82,7.18,21.000000000000007,15.47,5.52
5,Temporal,7422,1987,71.27,8.84,19.890000000000004,17.68,2.2
5,Temporal,7422,1988,72.38,8.84,18.780000000000005,15.47,3.31
5,Temporal,7422,1989,74.03,7.18,18.79,16.57,2.2
5,Temporal,7422,1990,72.38,8.28,19.340000000000003,14.36,4.96
5,Temporal,7422,1991,72.38,9.39,18.230000000000004,13.26,4.97
5,Temporal,7422,1992,71.27,7.18,21.550000000000004,17.68,3.86
