version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
9,GTB,Caatinga,1985,60.23,14.87,24.900000000000006,21.05,3.85
9,GTB,Caatinga,1986,59.86,14.56,25.58,21.11,4.47
9,GTB,Caatinga,1987,63.74,12.08,24.18,21.54,2.64
9,GTB,Caatinga,1988,63.43,11.77,24.8,23.17,1.65
9,GTB,Caatinga,1989,60.2,14.72,25.08,21.54,3.54
9,GTB,Caatinga,1990,61.91,10.77,27.320000000000004,23.17,4.16
9,GTB,Caatinga,1991,61.41,12.49,26.1,23.97,2.14
9,GTB,Caatinga,1992,59.21,14.43,26.36,23.71,2.64
9,GTB,Caatinga,1993,60.48,15.27,24.250000000000004,21.36,2.88
9,GTB,Caatinga,1994,59.92,12.57,27.509999999999998,25.96,1.56
9,GTB,Caatinga,1995,57.87,13.72,28.410000000000004,25.83,2.57
9,GTB,Caatinga,1996,58.89,14.84,26.27,24.59,1.68
9,GTB,Caatinga,1997,59.95,12.76,27.29,25.64,1.64
9,GTB,Caatinga,1998,56.38,17.7,25.919999999999998,23.91,2.02
9,GTB,Caatinga,1999,58.68,13.69,27.630000000000003,25.52,2.11
9,GTB,Caatinga,2000,60.85,12.23,26.919999999999998,25.46,1.46
9,GTB,Caatinga,2001,60.48,13.57,25.950000000000003,22.79,3.16
9,GTB,Caatinga,2002,62.65,10.3,27.05,25.27,1.77
9,GTB,Caatinga,2003,59.8,13.01,27.190000000000005,25.76,1.43
9,GTB,Caatinga,2004,61.94,10.96,27.1,25.52,1.58
9,GTB,Caatinga,2005,58.62,13.13,28.25,26.08,2.17
9,GTB,Caatinga,2006,59.08,12.29,28.630000000000003,26.14,2.48
9,GTB,Caatinga,2007,60.17,11.5,28.33,25.72,2.64
9,GTB,Caatinga,2008,58.71,12.42,28.869999999999997,25.6,3.29
9,GTB,Caatinga,2009,60.04,10.9,29.060000000000002,26.64,2.42
9,GTB,Caatinga,2010,57.9,13.16,28.94,27.44,1.48
9,GTB,Caatinga,2011,57.44,13.28,29.28,27.69,1.58
9,GTB,Caatinga,2012,58.12,16.74,25.140000000000004,22.92,2.23
9,GTB,Caatinga,2013,60.57,14.22,25.21,21.42,3.78
9,GTB,Caatinga,2014,62.34,11.86,25.799999999999997,23.84,1.95
9,GTB,Caatinga,2015,61.19,12.64,26.17,23.9,2.26
9,GTB,Caatinga,2016,61.69,12.48,25.830000000000002,23.96,1.86
9,GTB,Caatinga,2017,61.29,12.08,26.630000000000003,24.91,1.74
