version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
9,Gap-fill,Caatinga,1985,66.0,9.02,24.98,11.88,0.8
9,Gap-fill,Caatinga,1986,61.02,11.53,27.449999999999996,11.92,0.89
9,Gap-fill,Caatinga,1987,64.4,9.26,26.339999999999996,11.38,0.79
9,Gap-fill,Caatinga,1988,63.4,10.38,26.22,11.17,0.92
9,Gap-fill,Caatinga,1989,62.13,11.25,26.619999999999997,11.53,0.97
9,Gap-fill,Caatinga,1990,63.41,8.59,28.000000000000004,12.31,1.09
9,Gap-fill,Caatinga,1991,63.38,9.8,26.819999999999997,11.53,0.8
9,Gap-fill,Caatinga,1992,61.37,10.66,27.970000000000002,12.18,1.19
9,Gap-fill,Caatinga,1993,62.43,10.61,26.96,11.93,1.0
9,Gap-fill,Caatinga,1994,61.85,10.5,27.65,12.0,0.89
9,Gap-fill,Caatinga,1995,60.63,11.38,27.989999999999995,11.98,0.92
9,Gap-fill,Caatinga,1996,61.49,11.06,27.449999999999996,11.7,1.12
9,Gap-fill,Caatinga,1997,61.38,10.06,28.559999999999995,11.67,1.2
9,Gap-fill,Caatinga,1998,59.91,13.8,26.290000000000003,12.02,1.3
9,Gap-fill,Caatinga,1999,61.06,9.84,29.099999999999998,12.07,1.02
9,Gap-fill,Caatinga,2000,63.65,9.17,27.18,11.54,1.23
9,Gap-fill,Caatinga,2001,63.8,8.64,27.560000000000002,11.26,1.05
9,Gap-fill,Caatinga,2002,64.98,8.06,26.959999999999994,11.48,0.82
9,Gap-fill,Caatinga,2003,60.93,10.4,28.67,11.42,1.1
9,Gap-fill,Caatinga,2004,63.74,8.33,27.93,11.76,1.1
9,Gap-fill,Caatinga,2005,61.29,10.46,28.25,12.09,0.96
9,Gap-fill,Caatinga,2006,62.58,9.33,28.090000000000003,11.52,1.18
9,Gap-fill,Caatinga,2007,63.46,7.67,28.869999999999997,11.99,1.13
9,Gap-fill,Caatinga,2008,63.0,8.16,28.84,11.61,0.75
9,Gap-fill,Caatinga,2009,62.96,9.58,27.46,11.74,0.74
9,Gap-fill,Caatinga,2010,62.1,9.35,28.549999999999997,12.38,1.14
9,Gap-fill,Caatinga,2011,60.63,12.49,26.879999999999995,11.72,0.83
9,Gap-fill,Caatinga,2012,61.19,11.3,27.51,11.78,0.8
9,Gap-fill,Caatinga,2013,63.34,10.82,25.839999999999996,11.58,1.17
9,Gap-fill,Caatinga,2014,64.39,8.72,26.89,11.52,1.1
9,Gap-fill,Caatinga,2015,65.07,8.58,26.35000000000001,11.37,0.97
9,Gap-fill,Caatinga,2016,65.57,7.99,26.440000000000005,11.58,0.85
9,Gap-fill,Caatinga,2017,64.3,8.48,27.220000000000002,12.14,1.1
9,Gap-fill,Caatinga,2018,65.23,7.34,27.429999999999996,11.87,0.83
9,Gap-fill,Caatinga,2019,64.54,8.52,26.939999999999994,11.22,0.87
9,Gap-fill,Caatinga,2020,64.72,8.24,27.04,11.28,0.89
