version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
7,RF,Caatinga,1985,47.96,27.56,24.48,17.6,6.88
7,RF,Caatinga,1986,46.78,29.83,23.39,16.95,6.44
7,RF,Caatinga,1987,52.92,25.16,21.919999999999998,16.18,5.72
7,RF,Caatinga,1988,50.47,26.82,22.71,19.38,3.33
7,RF,Caatinga,1989,48.41,29.24,22.350000000000005,15.89,6.47
7,RF,Caatinga,1990,49.59,25.87,24.539999999999996,17.37,7.18
7,RF,Caatinga,1991,51.92,23.86,24.22,19.55,4.67
7,RF,Caatinga,1992,48.97,28.44,22.59,17.37,5.23
7,RF,Caatinga,1993,49.32,31.46,19.22,17.02,2.22
7,RF,Caatinga,1994,48.46,24.42,27.119999999999997,21.56,5.55
7,RF,Caatinga,1995,48.32,25.75,25.93,19.84,6.08
7,RF,Caatinga,1996,49.56,25.04,25.4,18.6,6.8
7,RF,Caatinga,1997,51.3,22.96,25.740000000000002,21.74,4.01
7,RF,Caatinga,1998,44.92,31.12,23.959999999999997,20.84,3.1
7,RF,Caatinga,1999,47.78,25.83,26.39,20.61,5.76
7,RF,Caatinga,2000,50.35,26.08,23.57,20.14,3.42
7,RF,Caatinga,2001,49.68,27.28,23.04,19.73,3.31
7,RF,Caatinga,2002,50.86,22.41,26.73,20.97,5.76
7,RF,Caatinga,2003,48.46,25.45,26.09,19.49,6.59
7,RF,Caatinga,2004,54.37,19.94,25.69,21.38,4.32
7,RF,Caatinga,2005,47.14,28.06,24.8,20.73,4.08
7,RF,Caatinga,2006,48.91,24.24,26.850000000000005,22.39,4.46
7,RF,Caatinga,2007,48.94,25.34,25.720000000000002,20.62,5.11
7,RF,Caatinga,2008,49.85,22.27,27.88,20.2,7.68
7,RF,Caatinga,2009,48.49,24.31,27.2,19.97,7.24
7,RF,Caatinga,2010,47.28,25.81,26.91,22.08,4.81
7,RF,Caatinga,2011,47.67,26.08,26.25,22.34,3.93
7,RF,Caatinga,2012,49.14,30.98,19.88,18.26,1.62
7,RF,Caatinga,2013,52.92,23.96,23.119999999999997,21.8,1.33
7,RF,Caatinga,2014,53.87,21.94,24.19,20.49,3.69
7,RF,Caatinga,2015,53.43,22.68,23.89,18.85,5.06
7,RF,Caatinga,2016,53.04,25.14,21.82,19.6,2.22
7,RF,Caatinga,2017,52.27,22.39,25.339999999999996,21.86,3.49
7,RF,Caatinga,2018,51.89,20.4,27.71,20.91,6.8
7,RF,Caatinga,2019,52.6,22.12,25.279999999999998,20.79,4.49
7,RF,Caatinga,2020,53.63,19.37,26.999999999999996,23.27,3.72
7,RF,Caatinga,2021,56.82,17.04,26.14,23.33,2.81
7,RF,Caatinga,2022,52.95,20.02,27.029999999999998,24.86,2.16
7,RF,741,1985,70.97,16.13,12.900000000000002,6.45,6.45
7,RF,741,1986,48.39,32.26,19.35,6.45,12.9
7,RF,741,1987,61.29,29.03,9.68,6.45,3.22
7,RF,741,1988,67.74,12.9,19.360000000000007,6.45,12.9
7,RF,741,1989,54.84,29.04,16.119999999999997,0.0,16.13
7,RF,741,1990,51.61,32.26,16.130000000000003,0.0,16.13
7,RF,741,1991,48.39,35.48,16.130000000000003,0.0,16.13
7,RF,741,1992,48.39,38.72,12.89,0.0,12.9
7,RF,741,1993,45.16,22.58,32.260000000000005,12.9,19.35
7,RF,741,1994,35.48,41.94,22.580000000000013,12.9,9.68
7,RF,741,1995,32.26,25.8,41.94000000000001,25.81,16.12
7,RF,741,1996,51.61,35.48,12.910000000000004,0.0,12.9
7,RF,741,1997,58.06,25.81,16.13,6.45,9.68
7,RF,741,1998,58.06,22.58,19.36,12.9,6.45
7,RF,741,1999,51.61,32.25,16.14,6.45,9.68
7,RF,741,2000,58.06,38.72,3.219999999999999,0.0,3.22
7,RF,741,2001,45.16,41.94,12.900000000000006,6.45,6.45
7,RF,741,2002,61.29,25.8,12.91,6.45,6.45
7,RF,741,2003,32.26,38.71,29.03000000000001,12.9,16.12
7,RF,741,2004,51.61,16.13,32.260000000000005,19.35,12.9
7,RF,741,2005,61.29,22.58,16.130000000000003,0.0,16.13
7,RF,741,2006,51.61,35.48,12.910000000000004,0.0,12.9
7,RF,741,2007,51.61,16.13,32.260000000000005,19.35,12.9
7,RF,741,2008,64.52,22.58,12.900000000000006,6.45,6.45
7,RF,741,2009,48.39,19.35,32.26,12.9,19.36
7,RF,741,2010,58.06,29.03,12.909999999999997,0.0,12.9
7,RF,741,2011,35.48,45.16,19.360000000000014,12.9,6.45
7,RF,741,2012,38.71,41.93,19.36,0.0,19.35
7,RF,741,2013,38.71,38.71,22.58,12.9,9.68
7,RF,741,2014,41.94,35.48,22.580000000000005,12.9,9.68
7,RF,741,2015,41.94,35.48,22.580000000000005,6.45,16.13
7,RF,741,2016,45.16,45.16,9.680000000000007,6.45,3.22
7,RF,741,2017,29.03,51.61,19.36,12.9,6.45
7,RF,741,2018,58.06,22.58,19.36,12.9,6.45
7,RF,741,2019,41.94,32.26,25.800000000000004,6.45,19.36
7,RF,741,2020,54.84,12.9,32.26,12.9,19.36
7,RF,741,2021,38.71,32.26,29.03,19.35,9.68
7,RF,741,2022,61.29,16.13,22.580000000000002,12.9,9.68
7,RF,7421,1985,52.63,21.05,26.319999999999997,21.06,5.26
7,RF,7421,1986,47.37,47.36,5.270000000000003,0.0,5.26
7,RF,7421,1987,63.16,21.05,15.790000000000003,10.53,5.26
7,RF,7421,1988,47.37,36.84,15.79,10.53,5.26
7,RF,7421,1989,68.42,15.79,15.79,10.53,5.26
7,RF,7421,1990,31.58,52.63,15.79,0.0,15.79
7,RF,7421,1991,57.89,26.32,15.79,10.53,5.26
7,RF,7421,1992,31.58,42.1,26.32,10.53,15.79
7,RF,7421,1993,42.11,42.11,15.780000000000001,0.0,15.79
7,RF,7421,1994,36.84,47.37,15.79,0.0,15.79
7,RF,7421,1995,52.63,31.58,15.79,0.0,15.79
7,RF,7421,1996,57.89,15.79,26.32,21.05,5.26
7,RF,7421,1997,36.84,31.58,31.58,21.05,10.53
7,RF,7421,1998,10.53,78.95,10.519999999999996,0.0,10.53
7,RF,7421,1999,47.37,21.05,31.580000000000002,21.05,10.53
7,RF,7421,2000,57.89,10.52,31.59,21.05,10.53
7,RF,7421,2001,36.84,36.84,26.319999999999993,10.53,15.79
7,RF,7421,2002,31.58,36.84,31.58,10.53,21.06
7,RF,7421,2003,42.11,36.84,21.049999999999997,0.0,21.06
7,RF,7421,2004,31.58,31.58,36.84,21.05,15.79
7,RF,7421,2005,36.84,5.26,57.9,52.64,5.26
7,RF,7421,2006,47.37,36.84,15.79,10.53,5.26
7,RF,7421,2007,42.11,0.0,57.89,42.11,15.79
7,RF,7421,2008,42.11,31.58,26.310000000000002,21.05,5.26
7,RF,7421,2009,52.63,26.32,21.049999999999997,10.53,10.53
7,RF,7421,2010,57.89,31.58,10.530000000000001,10.53,0.0
7,RF,7421,2011,42.11,31.58,26.310000000000002,21.05,5.26
