,version,Models,Bacia,Years,Accuracy,Accuracy_Bal,Precision,ReCall,F1-Score,Jaccard
0,6,GTB,741,1985,,,,,,
1,6,GTB,741,1986,,,,,,
2,6,GTB,741,1987,,,,,,
3,6,GTB,741,1988,,,,,,
4,6,GTB,741,1989,,,,,,
5,6,GTB,741,1990,,,,,,
6,6,GTB,741,1991,,,,,,
7,6,GTB,741,1992,,,,,,
8,6,GTB,741,1993,,,,,,
9,6,GTB,741,1994,,,,,,
10,6,GTB,741,1995,,,,,,
11,6,GTB,741,1996,,,,,,
12,6,GTB,741,1997,,,,,,
13,6,GTB,741,1998,,,,,,
14,6,GTB,741,1999,,,,,,
15,6,GTB,741,2000,,,,,,
16,6,GTB,741,2001,,,,,,
17,6,GTB,741,2002,,,,,,
18,6,GTB,741,2003,,,,,,
19,6,GTB,741,2004,,,,,,
20,6,GTB,741,2005,,,,,,
21,6,GTB,741,2006,,,,,,
22,6,GTB,741,2007,,,,,,
23,6,GTB,741,2008,,,,,,
24,6,GTB,741,2009,,,,,,
25,6,GTB,741,2010,,,,,,
26,6,GTB,741,2011,,,,,,
27,6,GTB,741,2012,,,,,,
28,6,GTB,741,2013,,,,,,
29,6,GTB,741,2014,,,,,,
30,6,GTB,741,2015,,,,,,
31,6,GTB,741,2016,,,,,,
32,6,GTB,741,2017,,,,,,
33,6,GTB,741,2018,,,,,,
34,6,GTB,741,2019,,,,,,
35,6,GTB,741,2020,,,,,,
36,6,GTB,741,2021,,,,,,
37,6,GTB,741,2022,,,,,,
38,6,GTB,7421,1985,0.5789473684210527,0.32142857142857145,0.2897727272727273,0.24107142857142858,0.2625,0.20238095238095238
39,6,GTB,7421,1986,0.7368421052631579,0.4523809523809524,0.35,0.3392857142857143,0.3418803418803419,0.2857142857142857
40,6,GTB,7421,1987,0.6842105263157895,0.42857142857142855,0.3125,0.3214285714285714,0.31153846153846154,0.24583333333333332
41,6,GTB,7421,1988,0.7368421052631579,0.7487179487179487,0.47916666666666663,0.5615384615384615,0.47,0.3630952380952381
42,6,GTB,7421,1989,0.7368421052631579,0.7487179487179487,0.611111111111111,0.7487179487179487,0.5933333333333334,0.4563492063492063
43,6,GTB,7421,1990,0.631578947368421,0.43076923076923074,0.4,0.32307692307692304,0.35454545454545455,0.2802197802197802
44,6,GTB,7421,1991,0.6842105263157895,0.4564102564102564,0.3522727272727273,0.3423076923076923,0.3446969696969697,0.2723214285714286
45,6,GTB,7421,1992,0.6842105263157895,0.4564102564102564,0.4444444444444445,0.4564102564102564,0.4484848484848485,0.34722222222222215
46,6,GTB,7421,1993,0.631578947368421,0.6974358974358975,0.5045454545454546,0.5230769230769231,0.41369047619047616,0.30000000000000004
47,6,GTB,7421,1994,0.6842105263157895,0.75,0.5625,0.5625,0.5208333333333333,0.4
48,6,GTB,7421,1995,0.6842105263157895,0.4632034632034632,0.4632034632034632,0.4632034632034632,0.4632034632034632,0.36410256410256414
49,6,GTB,7421,1996,0.7368421052631579,0.49350649350649345,0.47863247863247865,0.49350649350649345,0.48290598290598297,0.3862433862433862
50,6,GTB,7421,1997,0.5263157894736842,0.6406926406926406,0.40909090909090906,0.48051948051948046,0.38409090909090904,0.2625
51,6,GTB,7421,1998,0.5263157894736842,0.6406926406926406,0.42113095238095233,0.48051948051948046,0.34671052631578947,0.24404761904761907
52,6,GTB,7421,1999,0.5789473684210527,0.367965367965368,0.2980769230769231,0.275974025974026,0.27840909090909094,0.20555555555555555
53,6,GTB,7421,2000,0.5789473684210527,0.367965367965368,0.31666666666666665,0.275974025974026,0.2730769230769231,0.1948529411764706
54,6,GTB,7421,2001,0.631578947368421,0.41558441558441556,0.4142857142857143,0.41558441558441556,0.4066666666666667,0.2986111111111111
55,6,GTB,7421,2002,0.631578947368421,0.3888888888888889,0.4444444444444444,0.3888888888888889,0.3950617283950617,0.2913165266106443
56,6,GTB,7421,2003,0.5789473684210527,0.3055555555555555,0.22916666666666666,0.3055555555555555,0.2619047619047619,0.21568627450980393
57,6,GTB,7421,2004,0.42105263157894735,0.5800865800865801,0.3972222222222222,0.5800865800865801,0.3817878028404344,0.2412698412698413
58,6,GTB,7421,2005,0.631578947368421,0.7012987012987013,0.6031746031746031,0.7012987012987013,0.5955555555555555,0.4375
59,6,GTB,7421,2006,0.5263157894736842,0.3376623376623377,0.3162393162393162,0.3376623376623377,0.3247863247863248,0.2272727272727273
60,6,GTB,7421,2007,0.47368421052631576,0.30735930735930733,0.3055555555555556,0.30735930735930733,0.3054626532887403,0.20643939393939395
61,6,GTB,7421,2008,0.6842105263157895,0.47222222222222215,0.43939393939393945,0.47222222222222215,0.4513457556935818,0.34761904761904766
62,6,GTB,7421,2009,0.631578947368421,0.3888888888888889,0.2923076923076923,0.2916666666666667,0.2909090909090909,0.2222222222222222
63,6,GTB,7421,2010,0.6842105263157895,0.4444444444444445,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.2619047619047619
