version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
6,GTB,Caatinga,1985,64.38,15.54,20.080000000000005,17.04,3.04
6,GTB,Caatinga,1986,63.76,15.07,21.17,17.99,3.19
6,GTB,Caatinga,1987,65.87,12.06,22.069999999999993,17.92,4.14
6,GTB,Caatinga,1988,66.2,11.38,22.419999999999995,19.06,3.36
6,GTB,Caatinga,1989,64.74,13.02,22.240000000000006,18.7,3.54
6,GTB,Caatinga,1990,64.71,13.7,21.590000000000007,17.51,4.08
6,GTB,Caatinga,1991,66.23,11.23,22.539999999999996,19.54,3.01
6,GTB,Caatinga,1992,64.09,13.49,22.419999999999995,18.64,3.78
6,GTB,Caatinga,1993,63.43,15.96,20.61,17.93,2.68
6,GTB,Caatinga,1994,64.41,11.44,24.150000000000006,21.67,2.47
6,GTB,Caatinga,1995,64.71,11.26,24.03000000000001,21.68,2.35
6,GTB,Caatinga,1996,63.34,13.82,22.839999999999996,20.07,2.77
6,GTB,Caatinga,1997,64.15,11.61,24.239999999999995,21.56,2.68
6,GTB,Caatinga,1998,63.46,13.71,22.83,20.37,2.48
6,GTB,Caatinga,1999,62.45,14.0,23.549999999999997,19.78,3.78
6,GTB,Caatinga,2000,64.74,11.98,23.280000000000005,20.13,3.16
6,GTB,Caatinga,2001,63.52,11.38,25.099999999999994,22.52,2.59
6,GTB,Caatinga,2002,64.44,10.75,24.810000000000002,21.03,3.78
6,GTB,Caatinga,2003,63.49,12.39,24.119999999999997,20.24,3.88
6,GTB,Caatinga,2004,64.86,10.84,24.3,22.1,2.2
6,GTB,Caatinga,2005,63.58,12.3,24.12,20.19,3.93
6,GTB,Caatinga,2006,63.22,12.36,24.42,21.09,3.34
6,GTB,Caatinga,2007,64.26,12.54,23.199999999999996,19.18,4.02
6,GTB,Caatinga,2008,63.85,12.27,23.88,19.96,3.93
6,GTB,Caatinga,2009,64.8,11.94,23.260000000000005,19.66,3.6
6,GTB,Caatinga,2010,62.72,12.06,25.22,21.26,3.96
6,GTB,Caatinga,2011,62.45,11.14,26.409999999999997,22.1,4.32
6,GTB,Caatinga,2012,63.7,14.03,22.269999999999996,18.7,3.58
6,GTB,Caatinga,2013,64.06,13.2,22.74,19.77,2.98
6,GTB,Caatinga,2014,64.5,13.97,21.53,17.81,3.72
6,GTB,Caatinga,2015,64.95,13.55,21.499999999999996,17.15,4.34
6,GTB,Caatinga,2016,65.01,12.71,22.279999999999994,18.17,4.11
6,GTB,Caatinga,2017,63.58,12.78,23.64,19.77,3.87
6,GTB,Caatinga,2018,65.25,11.23,23.52,19.6,3.93
6,GTB,Caatinga,2019,63.73,13.02,23.250000000000004,18.64,4.62
6,GTB,Caatinga,2020,64.95,11.76,23.29,19.66,3.64
6,GTB,Caatinga,2021,65.9,11.26,22.839999999999996,19.12,3.72
6,GTB,Caatinga,2022,64.77,11.43,23.800000000000004,21.45,2.35
6,GTB,741,1985,,,,,
6,GTB,741,1986,,,,,
6,GTB,741,1987,,,,,
6,GTB,741,1988,,,,,
6,GTB,741,1989,,,,,
6,GTB,741,1990,,,,,
6,GTB,741,1991,,,,,
6,GTB,741,1992,,,,,
6,GTB,741,1993,,,,,
6,GTB,741,1994,,,,,
6,GTB,741,1995,,,,,
6,GTB,741,1996,,,,,
6,GTB,741,1997,,,,,
6,GTB,741,1998,,,,,
6,GTB,741,1999,,,,,
6,GTB,741,2000,,,,,
6,GTB,741,2001,,,,,
6,GTB,741,2002,,,,,
6,GTB,741,2003,,,,,
6,GTB,741,2004,,,,,
6,GTB,741,2005,,,,,
6,GTB,741,2006,,,,,
6,GTB,741,2007,,,,,
6,GTB,741,2008,,,,,
6,GTB,741,2009,,,,,
6,GTB,741,2010,,,,,
6,GTB,741,2011,,,,,
6,GTB,741,2012,,,,,
6,GTB,741,2013,,,,,
6,GTB,741,2014,,,,,
6,GTB,741,2015,,,,,
6,GTB,741,2016,,,,,
6,GTB,741,2017,,,,,
6,GTB,741,2018,,,,,
6,GTB,741,2019,,,,,
6,GTB,741,2020,,,,,
6,GTB,741,2021,,,,,
6,GTB,741,2022,,,,,
6,GTB,7421,1985,57.89,15.79,26.32,21.06,5.26
6,GTB,7421,1986,73.68,10.52,15.799999999999994,10.53,5.26
6,GTB,7421,1987,68.42,15.79,15.79,10.53,5.26
6,GTB,7421,1988,73.68,15.79,10.529999999999994,10.53,0.0
6,GTB,7421,1989,73.68,15.79,10.529999999999994,10.53,0.0
6,GTB,7421,1990,63.16,21.06,15.780000000000005,10.53,5.26
6,GTB,7421,1991,68.42,10.52,21.06,10.53,10.53
6,GTB,7421,1992,68.42,5.26,26.32,21.05,5.26
6,GTB,7421,1993,63.16,26.32,10.520000000000003,0.0,10.52
6,GTB,7421,1994,68.42,15.79,15.79,0.0,15.79
6,GTB,7421,1995,68.42,0.0,31.58,31.58,0.0
6,GTB,7421,1996,73.68,10.52,15.799999999999994,10.53,5.26
6,GTB,7421,1997,52.63,21.06,26.31,10.53,15.79
6,GTB,7421,1998,52.63,36.84,10.529999999999994,10.53,0.0
6,GTB,7421,1999,57.89,15.79,26.32,21.06,5.26
6,GTB,7421,2000,57.89,26.31,15.8,10.53,5.26
6,GTB,7421,2001,63.16,15.79,21.050000000000004,21.05,0.0
6,GTB,7421,2002,63.16,15.79,21.050000000000004,21.06,0.0
6,GTB,7421,2003,57.89,26.32,15.79,10.53,5.26
6,GTB,7421,2004,42.11,26.32,31.57,31.58,0.0
6,GTB,7421,2005,63.16,21.05,15.790000000000003,10.53,5.26
6,GTB,7421,2006,52.63,10.52,36.849999999999994,31.58,5.26
6,GTB,7421,2007,47.37,5.26,47.370000000000005,31.58,15.79
6,GTB,7421,2008,68.42,10.52,21.06,21.05,0.0
6,GTB,7421,2009,63.16,10.52,26.320000000000004,21.05,5.26
