Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
26,Estavel,Caatinga,1985,71.51,5.04,23.449999999999996,22.72,0.74
26,Estavel,Caatinga,1986,71.67,4.72,23.61,22.86,0.74
26,Estavel,Caatinga,1987,72.07,6.9,21.03000000000001,20.38,0.65
26,Estavel,Caatinga,1988,73.02,6.28,20.700000000000003,19.93,0.77
26,Estavel,Caatinga,1989,73.27,6.1,20.630000000000003,19.85,0.8
26,Estavel,Caatinga,1990,73.24,6.08,20.680000000000007,20.1,0.57
26,Estavel,Caatinga,1991,72.94,5.91,21.150000000000002,20.63,0.52
26,Estavel,Caatinga,1992,72.55,5.58,21.870000000000005,21.0,0.87
26,Estavel,Caatinga,1993,72.95,5.17,21.879999999999995,21.08,0.79
26,Estavel,Caatinga,1994,72.81,5.5,21.689999999999998,20.96,0.74
26,Estavel,Caatinga,1995,72.5,5.52,21.98,21.24,0.76
26,Estavel,Caatinga,1996,72.6,5.24,22.160000000000004,21.4,0.75
26,Estavel,Caatinga,1997,72.46,4.9,22.640000000000008,21.94,0.68
26,Estavel,Caatinga,1998,72.79,4.42,22.789999999999992,21.99,0.8
26,Estavel,Caatinga,1999,72.84,4.26,22.9,22.1,0.8
26,Estavel,Caatinga,2000,72.97,4.39,22.64,22.03,0.62
26,Estavel,Caatinga,2001,72.69,4.36,22.950000000000003,22.18,0.77
26,Estavel,Caatinga,2002,72.9,4.19,22.909999999999993,22.31,0.61
26,Estavel,Caatinga,2003,73.03,4.5,22.47,21.8,0.68
26,Estavel,Caatinga,2004,72.78,4.18,23.04,22.45,0.59
26,Estavel,Caatinga,2005,72.95,4.47,22.58,22.07,0.51
26,Estavel,Caatinga,2006,72.79,4.49,22.71999999999999,22.2,0.52
26,Estavel,Caatinga,2007,73.0,4.76,22.240000000000002,21.58,0.66
26,Estavel,Caatinga,2008,73.02,5.14,21.840000000000003,21.04,0.81
26,Estavel,Caatinga,2009,73.0,4.96,22.04,21.19,0.84
26,Estavel,Caatinga,2010,73.12,4.6,22.279999999999994,21.38,0.89
26,Estavel,Caatinga,2011,73.56,4.24,22.199999999999996,21.39,0.82
26,Estavel,Caatinga,2012,73.98,5.12,20.899999999999995,20.11,0.78
26,Estavel,Caatinga,2013,74.02,5.57,20.410000000000004,19.62,0.78
26,Estavel,Caatinga,2014,73.74,6.54,19.720000000000006,18.96,0.76
26,Estavel,Caatinga,2015,73.61,7.37,19.02,18.29,0.73
26,Estavel,Caatinga,2016,73.38,7.64,18.980000000000004,18.23,0.75
26,Estavel,Caatinga,2017,73.2,8.12,18.68,17.88,0.79
26,Estavel,Caatinga,2018,72.97,8.67,18.36,17.68,0.69
26,Estavel,Caatinga,2019,72.64,9.38,17.979999999999997,17.26,0.73
26,Estavel,Caatinga,2020,72.58,9.64,17.78,17.14,0.64
26,Estavel,Caatinga,2021,72.24,9.98,17.780000000000005,17.2,0.59
26,Estavel,Caatinga,2022,72.05,10.42,17.53,16.92,0.61
26,Estavel,741,1985,81.88,12.31,5.810000000000004,1.45,4.35
26,Estavel,741,1986,80.43,12.32,7.249999999999993,2.9,4.35
26,Estavel,741,1987,79.71,13.76,6.5300000000000065,2.9,3.62
26,Estavel,741,1988,77.54,15.22,7.239999999999993,2.9,4.35
26,Estavel,741,1989,76.81,15.21,7.979999999999997,4.35,3.62
26,Estavel,741,1990,76.81,15.21,7.979999999999997,4.35,3.62
26,Estavel,741,1991,74.64,15.94,9.42,5.8,3.62
26,Estavel,741,1992,75.36,17.39,7.25,2.9,4.35
