Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
16,FrequencyV2natUso,Caatinga,1985,72.6,6.6,20.800000000000004,19.09,1.7
16,FrequencyV2natUso,Caatinga,1986,72.25,5.64,22.11,20.48,1.64
16,FrequencyV2natUso,Caatinga,1987,73.11,4.89,22.0,19.95,2.05
16,FrequencyV2natUso,Caatinga,1988,73.13,3.45,23.420000000000005,21.29,2.12
16,FrequencyV2natUso,Caatinga,1989,73.0,3.08,23.92,22.38,1.54
16,FrequencyV2natUso,Caatinga,1990,72.84,3.16,23.999999999999996,23.46,0.55
16,FrequencyV2natUso,Caatinga,1991,72.55,3.12,24.330000000000002,23.8,0.54
16,FrequencyV2natUso,Caatinga,1992,72.22,3.08,24.700000000000003,23.73,0.97
16,FrequencyV2natUso,Caatinga,1993,72.38,3.56,24.060000000000006,22.74,1.34
16,FrequencyV2natUso,Caatinga,1994,72.78,4.19,23.029999999999998,21.79,1.24
16,FrequencyV2natUso,Caatinga,1995,72.77,4.11,23.120000000000005,21.88,1.24
16,FrequencyV2natUso,Caatinga,1996,72.55,3.49,23.96,22.6,1.37
16,FrequencyV2natUso,Caatinga,1997,73.21,3.02,23.770000000000007,22.49,1.27
16,FrequencyV2natUso,Caatinga,1998,72.68,3.07,24.249999999999993,23.04,1.21
16,FrequencyV2natUso,Caatinga,1999,72.57,2.97,24.460000000000008,23.37,1.1
16,FrequencyV2natUso,Caatinga,2000,72.57,2.88,24.550000000000008,23.46,1.09
16,FrequencyV2natUso,Caatinga,2001,72.28,2.98,24.74,23.84,0.9
16,FrequencyV2natUso,Caatinga,2002,72.12,3.02,24.859999999999996,23.89,0.98
16,FrequencyV2natUso,Caatinga,2003,72.22,3.02,24.76,24.0,0.76
16,FrequencyV2natUso,Caatinga,2004,72.83,2.96,24.21,23.12,1.09
16,FrequencyV2natUso,Caatinga,2005,72.88,3.01,24.110000000000007,22.81,1.3
16,FrequencyV2natUso,Caatinga,2006,73.3,3.25,23.450000000000003,22.02,1.43
16,FrequencyV2natUso,Caatinga,2007,73.65,3.44,22.909999999999993,21.74,1.16
16,FrequencyV2natUso,Caatinga,2008,74.54,4.16,21.299999999999994,19.99,1.32
16,FrequencyV2natUso,Caatinga,2009,74.9,4.36,20.739999999999995,19.65,1.1
16,FrequencyV2natUso,Caatinga,2010,74.58,4.28,21.14,20.06,1.08
16,FrequencyV2natUso,Caatinga,2011,74.8,4.0,21.200000000000003,20.06,1.15
16,FrequencyV2natUso,Caatinga,2012,74.91,3.89,21.200000000000003,19.81,1.38
16,FrequencyV2natUso,Caatinga,2013,74.97,4.56,20.470000000000002,18.91,1.56
16,FrequencyV2natUso,Caatinga,2014,74.64,4.92,20.439999999999998,19.0,1.45
16,FrequencyV2natUso,Caatinga,2015,74.11,5.13,20.76,19.31,1.44
16,FrequencyV2natUso,Caatinga,2016,73.83,5.57,20.6,19.2,1.4
16,FrequencyV2natUso,Caatinga,2017,73.04,5.95,21.009999999999994,19.29,1.72
16,FrequencyV2natUso,Caatinga,2018,73.18,5.61,21.209999999999994,19.54,1.67
16,FrequencyV2natUso,Caatinga,2019,73.29,5.26,21.449999999999996,19.79,1.66
16,FrequencyV2natUso,Caatinga,2020,73.82,5.22,20.960000000000008,19.56,1.4
16,FrequencyV2natUso,Caatinga,2021,73.85,5.44,20.710000000000004,19.29,1.41
16,FrequencyV2natUso,Caatinga,2022,74.0,5.63,20.37,19.24,1.12
16,FrequencyV2natUso,741,1985,84.11,11.21,4.68,3.74,0.94
16,FrequencyV2natUso,741,1986,81.31,13.08,5.609999999999998,5.61,0.0
16,FrequencyV2natUso,741,1987,78.5,17.76,3.7399999999999984,3.74,0.0
16,FrequencyV2natUso,741,1988,76.64,17.76,5.599999999999998,5.61,0.0
16,FrequencyV2natUso,741,1989,77.57,16.82,5.6100000000000065,5.61,0.0
16,FrequencyV2natUso,741,1990,79.44,15.89,4.670000000000002,3.74,0.94
16,FrequencyV2natUso,741,1991,77.57,17.76,4.670000000000005,3.74,0.94
16,FrequencyV2natUso,741,1992,76.64,19.62,3.7399999999999984,1.87,1.87
16,FrequencyV2natUso,741,1993,77.57,20.55,1.880000000000006,0.0,1.87
16,FrequencyV2natUso,741,1994,77.57,20.55,1.880000000000006,0.0,1.87
16,FrequencyV2natUso,741,1995,78.5,18.68,2.8200000000000003,1.87,0.94
16,FrequencyV2natUso,741,1996,79.44,16.82,3.740000000000002,1.87,1.87
16,FrequencyV2natUso,741,1997,80.37,16.82,2.809999999999995,1.87,0.94
16,FrequencyV2natUso,741,1998,80.37,16.82,2.809999999999995,1.87,0.94
16,FrequencyV2natUso,741,1999,80.37,16.82,2.809999999999995,1.87,0.94
16,FrequencyV2natUso,741,2000,82.24,16.82,0.9400000000000048,0.0,0.94
16,FrequencyV2natUso,741,2001,80.37,16.82,2.809999999999995,1.87,0.94
16,FrequencyV2natUso,741,2002,79.44,19.62,0.9400000000000013,0.0,0.94
16,FrequencyV2natUso,741,2003,79.44,19.62,0.9400000000000013,0.0,0.94
16,FrequencyV2natUso,741,2004,79.44,19.62,0.9400000000000013,0.0,0.94
16,FrequencyV2natUso,741,2005,79.44,19.62,0.9400000000000013,0.0,0.94
16,FrequencyV2natUso,741,2006,80.37,17.76,1.869999999999994,0.0,1.87
16,FrequencyV2natUso,741,2007,79.44,18.69,1.870000000000001,0.0,1.87
16,FrequencyV2natUso,741,2008,80.37,16.82,2.809999999999995,0.0,2.8
16,FrequencyV2natUso,741,2009,78.5,16.82,4.68,1.87,2.8
16,FrequencyV2natUso,741,2010,78.5,16.82,4.68,1.87,2.8
16,FrequencyV2natUso,741,2011,79.44,15.89,4.670000000000002,1.87,2.8
16,FrequencyV2natUso,741,2012,79.44,15.89,4.670000000000002,1.87,2.8
16,FrequencyV2natUso,741,2013,78.5,16.82,4.68,1.87,2.8
16,FrequencyV2natUso,741,2014,78.5,17.75,3.75,0.0,3.74
16,FrequencyV2natUso,741,2015,79.44,16.82,3.740000000000002,0.0,3.74
16,FrequencyV2natUso,741,2016,77.57,18.68,3.750000000000007,1.87,1.87
16,FrequencyV2natUso,741,2017,77.57,18.68,3.750000000000007,1.87,1.87
