Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
16,FrequencyV2nat,Caatinga,1985,0,0,0,0,0
16,FrequencyV2nat,Caatinga,1986,0,0,0,0,0
16,FrequencyV2nat,Caatinga,1987,0,0,0,0,0
16,FrequencyV2nat,Caatinga,1988,0,0,0,0,0
16,FrequencyV2nat,Caatinga,1989,0,0,0,0,0
16,FrequencyV2nat,Caatinga,1990,0,0,0,0,0
16,FrequencyV2nat,Caatinga,1991,0,0,0,0,0
16,FrequencyV2nat,Caatinga,1992,0,0,0,0,0
16,FrequencyV2nat,Caatinga,1993,0,0,0,0,0
16,FrequencyV2nat,Caatinga,1994,0,0,0,0,0
16,FrequencyV2nat,Caatinga,1995,0,0,0,0,0
16,FrequencyV2nat,Caatinga,1996,0,0,0,0,0
16,FrequencyV2nat,Caatinga,1997,0,0,0,0,0
16,FrequencyV2nat,Caatinga,1998,0,0,0,0,0
16,FrequencyV2nat,Caatinga,1999,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2000,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2001,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2002,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2003,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2004,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2005,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2006,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2007,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2008,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2009,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2010,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2011,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2012,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2013,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2014,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2015,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2016,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2017,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2018,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2019,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2020,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2021,0,0,0,0,0
16,FrequencyV2nat,Caatinga,2022,0,0,0,0,0
16,FrequencyV2nat,741,1985,0,0,0,0,0
16,FrequencyV2nat,741,1986,0,0,0,0,0
16,FrequencyV2nat,741,1987,0,0,0,0,0
16,FrequencyV2nat,741,1988,0,0,0,0,0
16,FrequencyV2nat,741,1989,0,0,0,0,0
16,FrequencyV2nat,741,1990,0,0,0,0,0
16,FrequencyV2nat,741,1991,0,0,0,0,0
16,FrequencyV2nat,741,1992,0,0,0,0,0
16,FrequencyV2nat,741,1993,0,0,0,0,0
16,FrequencyV2nat,741,1994,0,0,0,0,0
